source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/1900Reach,1899,Interstate League,altrock,B01431,Altrock,,1,Grand Rapids,,
minoraverages/1900Reach,1899,Interstate League,altrock,B01431,Altrock,,2,Columbus,,
minoraverages/1900Reach,1899,Interstate League,altrock,B01431,Altrock,,T,,,B29
minoraverages/1900Reach,1899,Interstate League,altrock,F20240,Altrock,,1,Grand Rapids,,p
minoraverages/1900Reach,1899,Interstate League,altrock,F20240,Altrock,,2,Columbus,,p
minoraverages/1900Reach,1899,Interstate League,altrock,F20240,Altrock,,T,,,p17
minoraverages/1900Reach,1899,Interstate League,altrock,F21264,Altrock,,0,Grand Rapids,,lf10
minoraverages/1900Reach,1899,Interstate League,altrock,P10336,Altrock,,0,all,,
minoraverages/1900Reach,1899,Interstate League,arthur,B00794,Arthur,,0,Toledo,,B126
minoraverages/1900Reach,1899,Interstate League,arthur,F21614,Arthur,,0,Toledo,,c126
minoraverages/1900Reach,1899,Interstate League,ashenback,B01275,Ashenback,,0,New Castle,,B29
minoraverages/1900Reach,1899,Interstate League,ashenback,F21335,Ashenback,,0,New Castle,,cf29
minoraverages/1900Reach,1899,Interstate League,babb,B00293,Babb,,1,Wheeling,,
minoraverages/1900Reach,1899,Interstate League,babb,B00293,Babb,,2,Fort Wayne,,
minoraverages/1900Reach,1899,Interstate League,babb,B00293,Babb,,T,,,B124
minoraverages/1900Reach,1899,Interstate League,babb,F20855,Babb,,0,Fort Wayne,,3b89
minoraverages/1900Reach,1899,Interstate League,babb,F21013,Babb,,1,Fort Wayne,,ss
minoraverages/1900Reach,1899,Interstate League,babb,F21013,Babb,,2,Wheeling,,ss
minoraverages/1900Reach,1899,Interstate League,babb,F21013,Babb,,T,,,ss35
minoraverages/1900Reach,1899,Interstate League,bailey,B01135,Bailey,,1,Grand Rapids,,
minoraverages/1900Reach,1899,Interstate League,bailey,B01135,Bailey,,2,Columbus,,
minoraverages/1900Reach,1899,Interstate League,bailey,B01135,Bailey,,T,,,B56
minoraverages/1900Reach,1899,Interstate League,bailey,F21286,Bailey,,1,Grand Rapids,,cf
minoraverages/1900Reach,1899,Interstate League,bailey,F21286,Bailey,,2,Columbus,,cf
minoraverages/1900Reach,1899,Interstate League,bailey,F21286,Bailey,,T,,,cf40
minoraverages/1900Reach,1899,Interstate League,barber,B00130,Barber,,1,Grand Rapids,,
minoraverages/1900Reach,1899,Interstate League,barber,B00130,Barber,,2,Columbus,,
minoraverages/1900Reach,1899,Interstate League,barber,B00130,Barber,,3,Springfield,,
minoraverages/1900Reach,1899,Interstate League,barber,B00130,Barber,,T,,,B11
minoraverages/1900Reach,1899,Interstate League,barclay,F21609,Barckley,,0,New Castle,,c60
minoraverages/1900Reach,1899,Interstate League,barclay,B01124,Barclay,,0,New Castle,,B101
minoraverages/1900Reach,1899,Interstate League,barclay,F20547,Barclay,,0,New Castle,,1b16
minoraverages/1900Reach,1899,Interstate League,barclay,F21450,Barclay,,0,New Castle,,rf22
minoraverages/1900Reach,1899,Interstate League,beck,B00101,Beck,,0,Toledo,,B132
minoraverages/1900Reach,1899,Interstate League,beck,F20700,Beck,,0,Toledo,,2b132
minoraverages/1900Reach,1899,Interstate League,beecher,B00531,Beecher,,0,Mansfield,,B128
minoraverages/1900Reach,1899,Interstate League,beecher,F21149,Beecher,,0,Mansfield,,lf123
minoraverages/1900Reach,1899,Interstate League,beldon,B00264,Beldon,,0,Fort Wayne,,B140
minoraverages/1900Reach,1899,Interstate League,beldon,F21101,Beldon,,0,Fort Wayne,,lf123
minoraverages/1900Reach,1899,Interstate League,beldon,F21427,Beldon,,0,Fort Wayne,,rf17
minoraverages/1900Reach,1899,Interstate League,belt,B00865,Belt,,0,Mansfield,,B120
minoraverages/1900Reach,1899,Interstate League,belt,F21680,Belt,,0,Mansfield,,c94
minoraverages/1900Reach,1899,Interstate League,bergen,B01162,Bergen,,0,Fort Wayne,,B122
minoraverages/1900Reach,1899,Interstate League,bergen,F21667,Bergen,,0,Fort Wayne,,c122
minoraverages/1900Reach,1899,Interstate League,berte,B01064,Berte,,0,Youngstown,,B139
minoraverages/1900Reach,1899,Interstate League,berte,F20956,Berte,,0,Youngstown,,ss139
minoraverages/1900Reach,1899,Interstate League,beville,B00343,Bevelle,,1,Grand Rapids,,
