source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1908Reach,1907,Northwestern League,B00614,Adams,,1,Spokane,,,adams
1908Reach,1907,Northwestern League,B00614,Adams,,2,Butte,,,adams
1908Reach,1907,Northwestern League,B00614,Adams,,T,,,B104,adams
1908Reach,1907,Northwestern League,F20768,Adams,,1,Spokane,,3b,adams
1908Reach,1907,Northwestern League,F20768,Adams,,2,Butte,,3b,adams
1908Reach,1907,Northwestern League,F20768,Adams,,T,,,3b94,adams
1908Reach,1907,Northwestern League,B00590,Allen,,0,Seattle,,B64,allen
1908Reach,1907,Northwestern League,F20102,Allen,,0,Seattle,,p43,allen
1908Reach,1907,Northwestern League,F21182,Allen,,0,Seattle,,of12,allen
1908Reach,1907,Northwestern League,P10097,Allen,,0,Seattle,,P43,allen
1908Reach,1907,Northwestern League,B00442,Altman,,0,Spokane,,B145,altman
1908Reach,1907,Northwestern League,F20327,Altman,,0,Spokane,,c27,altman
1908Reach,1907,Northwestern League,F20759,Altman,,0,Spokane,,3b118,altman
1908Reach,1907,Northwestern League,B00370,Anderson,,0,Aberdeen,,B134,anderson
1908Reach,1907,Northwestern League,F20594,Anderson,,0,Aberdeen,,2b134,anderson
1908Reach,1907,Northwestern League,B00623,Arbogast,,0,Seattle,,B95,arbogast
1908Reach,1907,Northwestern League,F20430,Arbogast,,0,Seattle,,c46,arbogast
1908Reach,1907,Northwestern League,F20547,Arbogast,,0,Seattle,,1b40,arbogast
1908Reach,1907,Northwestern League,B00059,Bell,,0,Butte,,B119,bell
1908Reach,1907,Northwestern League,F21149,Bell,,0,Butte,,of113,bell
1908Reach,1907,Northwestern League,B00207,Bender,,0,Spokane,,B22,bender
1908Reach,1907,Northwestern League,F21210,Bender,,0,Spokane,,of12,bender
1908Reach,1907,Northwestern League,B00125,Boettiger,,0,Aberdeen,,B65,boettiger
1908Reach,1907,Northwestern League,F20316,Boettiger,,0,Aberdeen,,c57,boettiger
1908Reach,1907,Northwestern League,B00904,Bradley,,1,Spokane,,,bradley
1908Reach,1907,Northwestern League,B00904,Bradley,,2,Seattle,,,bradley
