source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1908Reach,1907,Southern Michigan League,B00515,Agler,,0,Lansing,,B73,agler
1908Reach,1907,Southern Michigan League,F20115,Agler,,0,Lansing,,1b73,agler
1908Reach,1907,Southern Michigan League,B00502,Andrews,,0,Kalamazoo,,B112,andrews
1908Reach,1907,Southern Michigan League,F20222,Andrews,,0,Kalamazoo,,3b113,andrews
1908Reach,1907,Southern Michigan League,B00747,Atkins,,0,Bay City,,B35,atkins
1908Reach,1907,Southern Michigan League,F20970,Atkins,,0,Battle Creek,,p35,atkins
1908Reach,1907,Southern Michigan League,P10097,Atkins,,0,Bay City,,P34,atkins
1908Reach,1907,Southern Michigan League,B00469,Barber,,0,Battle Creek,,B43,barber
1908Reach,1907,Southern Michigan League,F21163,Barber,,0,Battle Creek,,c43,barber
1908Reach,1907,Southern Michigan League,B00920,Barney,,0,Flint,,B82,barney
1908Reach,1907,Southern Michigan League,F20190,Barney,,0,Bay City,,2b82,barney
1908Reach,1907,Southern Michigan League,B01093,Beasley,,0,Flint,,B12,beasley
1908Reach,1907,Southern Michigan League,F20067,Beasley,,0,Flint,,1b12,beasley
1908Reach,1907,Southern Michigan League,P10429,Behrendt,,0,Flint,,P6,behrendt
1908Reach,1907,Southern Michigan League,B00308,Bell,,0,Kalamazoo,,B112,bell
1908Reach,1907,Southern Michigan League,F20131,Bell,,0,Kalamazoo,,2b112,bell
1908Reach,1907,Southern Michigan League,B00174,Bensley,,0,Bay City,,B97,bensley
1908Reach,1907,Southern Michigan League,F20648,Bensley,,0,Bay City,,of97,bensley
1908Reach,1907,Southern Michigan League,B00149,Blair,,0,Bay City,,B99,blair
1908Reach,1907,Southern Michigan League,F20425,Blair,,0,Bay City,,ss99,blair
1908Reach,1907,Southern Michigan League,B00362,Blake,,0,Kalamazoo,,B108,blake
1908Reach,1907,Southern Michigan League,F20474,Blake,,0,Kalamazoo,,of107,blake
1908Reach,1907,Southern Michigan League,B00912,Bouckart,,0,Flint,,B50,bouckart
1908Reach,1907,Southern Michigan League,F21196,Bouckart,,0,Flint,,c50,bouckart
1908Reach,1907,Southern Michigan League,B00427,Bradley,,0,Tecumseh,,B81,bradley
1908Reach,1907,Southern Michigan League,F20233,Bradley,,0,Tecumseh,,3b81,bradley
1908Reach,1907,Southern Michigan League,B01156,Brannick,,0,Kalamazoo,,B26,brannick
1908Reach,1907,Southern Michigan League,F20886,Brannick,,0,Kalamazoo,,p26,brannick
1908Reach,1907,Southern Michigan League,P10145,Brannick,,0,Kalamazoo,,P26,brannick
1908Reach,1907,Southern Michigan League,B00255,Burns,,0,Lansing,,B97,burns
1908Reach,1907,Southern Michigan League,F20685,Burns,,0,Lansing,,of97,burns
1908Reach,1907,Southern Michigan League,B00739,Cadman,,0,Mount Clemens,,B26,cadman
1908Reach,1907,Southern Michigan League,F21125,Cadman,,0,Mount Clemens,,c26,cadman
1908Reach,1907,Southern Michigan League,P10407,Cannon,,0,Flint,,P7,cannon
1908Reach,1907,Southern Michigan League,B00013,Chiesman,,0,Mount Clemens,,B17,chiesman
1908Reach,1907,Southern Michigan League,F20919,Chiesman,,0,Mount Clemens,,p17,chiesman
1908Reach,1907,Southern Michigan League,P10062,Chiesman,,0,Mount Clemens,,P15,chiesman
1908Reach,1907,Southern Michigan League,B00264,Cobb,,0,Kalamazoo,,B34,cobb
1908Reach,1907,Southern Michigan League,F20745,Cobb,,0,Kalamazoo,,of34,cobb
1908Reach,1907,Southern Michigan League,B00037,Cocash,,0,Flint,,B88,cocash
1908Reach,1907,Southern Michigan League,F20700,Cocash,,0,Flint,,of88,cocash
1908Reach,1907,Southern Michigan League,B00092,Craven,,0,Flint,,B103,craven
1908Reach,1907,Southern Michigan League,F20254,Craven,,0,Flint,,3b103,craven
1908Reach,1907,Southern Michigan League,B00865,Cross,,0,Battle Creek,,B82,cross
1908Reach,1907,Southern Michigan League,F20298,Cross,,0,Battle Creek,,3b82,cross
1908Reach,1907,Southern Michigan League,B00771,Crotty,,0,Flint,,B17,crotty
1908Reach,1907,Southern Michigan League,F20458,Crotty,,0,Flint,,ss17,crotty
1908Reach,1907,Southern Michigan League,B00760,Currie,,0,Flint,,B89,currie
1908Reach,1907,Southern Michigan League,F20571,Currie,,0,Flint,,of89,currie
1908Reach,1907,Southern Michigan League,F20401,Darringer,,0,Mount Clemens,,ss102,derringer
1908Reach,1907,Southern Michigan League,B00182,Deneau,,0,Battle Creek,,B105,deneau
1908Reach,1907,Southern Michigan League,F20046,Deneau,,0,Battle Creek,,1b105,deneau
1908Reach,1907,Southern Michigan League,P10056,Deneau,,0,Battle Creek,,P15,deneau
1908Reach,1907,Southern Michigan League,B00068,Derringer,,0,Mount Clemens,,B102,derringer
1908Reach,1907,Southern Michigan League,B00278,Dillon,E.,0,Mount Clemens,,B95,dillon
1908Reach,1907,Southern Michigan League,F20144,Dillon,,0,Mount Clemens,,2b95,dillon
1908Reach,1907,Southern Michigan League,P10277,Dorn,,0,Mount Clemens,,P6,dorn
1908Reach,1907,Southern Michigan League,B00898,Dorsch,,0,Bay City,,B77,dorsch
1908Reach,1907,Southern Michigan League,F20375,Dorsch,,0,Mount Clemens,,ss77,dorsch
1908Reach,1907,Southern Michigan League,B00811,Doty,,0,Tecumseh,,B32,doty
1908Reach,1907,Southern Michigan League,F20893,Doty,,0,Tecumseh,,p32,doty
1908Reach,1907,Southern Michigan League,P10113,Doty,,0,Tecumseh,,P31,doty
1908Reach,1907,Southern Michigan League,B00961,Duval,,0,Lansing,,B19,duval
1908Reach,1907,Southern Michigan League,F20612,Duval,,0,Lansing,,of19,duval
1908Reach,1907,Southern Michigan League,B00381,Eberts,,0,Mount Clemens,,B109,eberts
1908Reach,1907,Southern Michigan League,F20526,Eberts,,0,Mount Clemens,,of109,eberts
1908Reach,1907,Southern Michigan League,B00101,Eggert,C.,0,Battle Creek,,B40,eggert
1908Reach,1907,Southern Michigan League,F20206,Eggert,C.,0,Battle Creek,,2b40,eggert
1908Reach,1907,Southern Michigan League,B00840,Fellrath,,0,Mount Clemens,,B43,fellrath
1908Reach,1907,Southern Michigan League,F20829,Fellrath,,0,Mount Clemens,,p44,fellrath
1908Reach,1907,Southern Michigan League,P10289,Fellrath,,0,Mount Clemens,,P22,fellrath
1908Reach,1907,Southern Michigan League,B01197,Forrester,,0,Mount Clemens,,B13,forrester
1908Reach,1907,Southern Michigan League,F20807,Forrester,,0,Mount Clemens,,p13,forrester
1908Reach,1907,Southern Michigan League,P10231,Forrester,,0,Mount Clemens,,P11,forrester
1908Reach,1907,Southern Michigan League,B00158,Freeland,,0,Battle Creek,,B17,freeland
1908Reach,1907,Southern Michigan League,F20810,Freeland,,0,Battle Creek,,p17,freeland
1908Reach,1907,Southern Michigan League,P10215,Freeland,,0,Kalamazoo,,P12,freeland
1908Reach,1907,Southern Michigan League,B00672,Frost,,0,Bay City,,B15,frost
1908Reach,1907,Southern Michigan League,F20417,Frost,,0,Bay City,,ss15,frost
1908Reach,1907,Southern Michigan League,B00590,Furlong,,0,Kalamazoo,,B112,furling
1908Reach,1907,Southern Michigan League,F20604,Furlong,,0,Kalamazoo,,of112,furling
1908Reach,1907,Southern Michigan League,B00589,Ganzel,,0,Mount Clemens,,B54,ganzel
1908Reach,1907,Southern Michigan League,F20023,Ganzel,,0,Mount Clemens,,1b54,ganzel
1908Reach,1907,Southern Michigan League,B00531,Gough,,0,Mount Clemens,,B55,gough
1908Reach,1907,Southern Michigan League,F20878,Gough,,0,Mount Clemens,,p55,gough
1908Reach,1907,Southern Michigan League,P10043,Gough,,0,Mount Clemens,,P33,gough
1908Reach,1907,Southern Michigan League,B00196,Hale,,0,Kalamazoo,,B111,hale
1908Reach,1907,Southern Michigan League,F20391,Hale,,0,Kalamazoo,,ss111,hale
1908Reach,1907,Southern Michigan League,B00609,Haley,,0,Bay City,,B83,haley
1908Reach,1907,Southern Michigan League,F20051,Haley,,0,Bay City,,1b83,haley
1908Reach,1907,Southern Michigan League,B00125,Hamilton,,0,Flint,,B68,hamilton
1908Reach,1907,Southern Michigan League,F20369,Hamilton,,0,Flint,,ss68,hamilton
1908Reach,1907,Southern Michigan League,B00695,Harris,,0,Mount Clemens,,B78,harris
1908Reach,1907,Southern Michigan League,F21182,Harris,,0,Mount Clemens,,c78,harris
1908Reach,1907,Southern Michigan League,B00059,Hayes,,0,Bay City,,B60,hayes
1908Reach,1907,Southern Michigan League,F20072,Hayes,,0,Battle Creek,,1b60,hayes
1908Reach,1907,Southern Michigan League,B00623,Henderson,,0,Battle Creek,,B109,henderson
1908Reach,1907,Southern Michigan League,F20342,Henderson,,0,Battle Creek,,ss108,henderson
1908Reach,1907,Southern Michigan League,B00794,Hessberger,,0,Battle Creek,,B108,hessberger
1908Reach,1907,Southern Michigan League,F20463,Hessberger,,0,Battle Creek,,of108,hessberger
1908Reach,1907,Southern Michigan League,B00442,Hildinger,,0,Tecumseh,,B112,hildinger
1908Reach,1907,Southern Michigan League,F20560,Hildinger,,0,Tecumseh,,of112,hildinger
1908Reach,1907,Southern Michigan League,B00286,Hines,,0,Lansing,,B28,hines
1908Reach,1907,Southern Michigan League,F20303,Hines,,0,Lansing,,3b28,hines
1908Reach,1907,Southern Michigan League,B00973,Hogan,,0,Flint,,B24,hogan
1908Reach,1907,Southern Michigan League,F21021,Hogan,,0,Flint,,p24,hogan
1908Reach,1907,Southern Michigan League,P10253,Hogan,,0,Flint,,P19,hogan
1908Reach,1907,Southern Michigan League,B01203,Howlett,,0,Tecumseh,,B15,howlett
1908Reach,1907,Southern Michigan League,F21000,Howlett,,0,Tecumseh,,p15,howlett
1908Reach,1907,Southern Michigan League,P10081,Howlett,,0,Tecumseh,,P14,howlett
1908Reach,1907,Southern Michigan League,B00718,Hughey,,0,Lansing,,B42,hughey
1908Reach,1907,Southern Michigan League,F20832,Hughey,,0,Lansing,,p42,hughey
1908Reach,1907,Southern Michigan League,P10202,Hughey,,0,Lansing,,P36,hughey
1908Reach,1907,Southern Michigan League,P10348,Hunter,,0,Lansing,,P7,hunter
1908Reach,1907,Southern Michigan League,B00324,Kearney,,0,Lansing,,B84,kearney
1908Reach,1907,Southern Michigan League,F20759,Kearney,,0,Lansing,,of84,kearney
1908Reach,1907,Southern Michigan League,B00450,Kelly,,0,Mount Clemens,,B35,kelly
1908Reach,1907,Southern Michigan League,F20505,Kelly,,0,Flint,,of35,kelly
1908Reach,1907,Southern Michigan League,B01032,Kench,,0,Lansing,,B17,kench
1908Reach,1907,Southern Michigan League,F20768,Kench,,0,Lansing,,p17,kench
1908Reach,1907,Southern Michigan League,P10336,Kench,,0,Lansing,,P10,kench
