source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1909Reach,1908,Arkansas State League,B00343,Begley,,0,Helena,,,begley
1909Reach,1908,Arkansas State League,F20023,Begley,,0,Helena,,1b,begley
1909Reach,1908,Arkansas State League,B00229,Benham,,0,Helena,,,benham
1909Reach,1908,Arkansas State League,F20526,Benham,,0,Helena,,of,benham
1909Reach,1908,Arkansas State League,B00961,Bernstein,,0,Helena,,,bernstein
1909Reach,1908,Arkansas State League,F20832,Bernstein,,0,Helena,,p,bernstein
1909Reach,1908,Arkansas State League,B00450,Berry,,0,Pine Bluff,,,berry
1909Reach,1908,Arkansas State League,F20919,Berry,,0,Pine Bluff,,c,berry
1909Reach,1908,Arkansas State League,B00013,Besse,,0,Hot Springs,,,besse
1909Reach,1908,Arkansas State League,F20539,Besse,,0,Hot Springs,,of,besse
1909Reach,1908,Arkansas State League,B00397,Blackwood,,0,Newport,,,blackwood
1909Reach,1908,Arkansas State League,F20792,Blackwood,,0,Newport,,p,blackwood
1909Reach,1908,Arkansas State League,P10215,Blackwood,,0,Newport,,,blackwood
1909Reach,1908,Arkansas State League,F20474,Blakeley,,0,Hot Springs,,of,blakeley
1909Reach,1908,Arkansas State League,B00045,Blakely,,0,Hot Springs,,,blakeley
1909Reach,1908,Arkansas State League,F20067,Bochowitz,,0,Argenta,,1b,bochowitz
1909Reach,1908,Arkansas State League,B00488,Bockowitz,,0,Pine Bluff,,,bochowitz
1909Reach,1908,Arkansas State League,B00771,Bouldin,,0,Argenta,,,bouldin
1909Reach,1908,Arkansas State League,F20095,Bouldin,,0,Argenta,,1b,bouldin
1909Reach,1908,Arkansas State League,B00427,Briggs,,1,Newport,,,briggs
1909Reach,1908,Arkansas State League,B00427,Briggs,,2,Poplar Bluff/Brinkley,,,briggs
1909Reach,1908,Arkansas State League,B00427,Briggs,,T,,,,briggs
1909Reach,1908,Arkansas State League,F20388,Briggs,,0,Poplar Bluff/Brinkley,,ss,briggs
1909Reach,1908,Arkansas State League,B00130,Bromley,,0,Argenta,,,bromley
1909Reach,1908,Arkansas State League,F20547,Bromley,,0,Argenta,,of,bromley
1909Reach,1908,Arkansas State League,B00293,Browne,,1,Pine Bluff,,,browne
