source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1909Reach,1908,Carolina Association,B00117,Anthony,,0,Greenville,,B54,anthony
1909Reach,1908,Carolina Association,B00999,Anthony,,0,all,,,anthony
1909Reach,1908,Carolina Association,F20458,Anthony,,0,Greenville,,of54,anthony
Newspaper,1908,Carolina Association,F20547,Anthony,,0,Greenville,,of54,anthony
1909Reach,1908,Carolina Association,B00059,Barre,,0,Greenville,,B85,barre
1909Reach,1908,Carolina Association,B00920,Barre,,0,all,,,barre
1909Reach,1908,Carolina Association,F20571,Barre,,0,Greenville,,of36,barre
1909Reach,1908,Carolina Association,F20841,Barre,,0,Greenville,,p20,barre
1909Reach,1908,Carolina Association,P10043,Barre,,0,Greenville,,,barre
Newspaper,1908,Carolina Association,F20166,Barre,,0,Greenville,,2b14,barre
Newspaper,1908,Carolina Association,F20699,Barre,,0,Greenville,,of36,barre
Newspaper,1908,Carolina Association,F21045,Barre,,0,Greenville,,p20,barre
1909Reach,1908,Carolina Association,B00638,Bateman,,0,Charlotte,,B29,bateman
1909Reach,1908,Carolina Association,F20673,Bateman,,0,Charlotte,,of29,bateman
Newspaper,1908,Carolina Association,F20807,Bateman,,0,Charlotte,,of29,bateman
1909Reach,1908,Carolina Association,B00577,Benbow,,0,Spartanburg,,B64,benbow
1909Reach,1908,Carolina Association,B01143,Benbow,,0,all,,,benbow
1909Reach,1908,Carolina Association,F20046,Benbow,,0,Spartanburg,,1b45,benbow
1909Reach,1908,Carolina Association,F20401,Benbow,,0,Spartanburg,,of17,benbow
Newspaper,1908,Carolina Association,F20046,Benbow,,0,Spartanburg,,1b45,benbow
Newspaper,1908,Carolina Association,F20482,Benbow,,0,Spartanburg,,of17,benbow
1909Reach,1908,Carolina Association,B00566,Bertrand,,0,Greensboro,,B15,bertrand
Newspaper,1908,Carolina Association,F21163,Bertrand,,0,Greensboro,,p11,bertrand
1909Reach,1908,Carolina Association,B00739,Betscher,,0,Anderson,,B33,betscher
1909Reach,1908,Carolina Association,F20240,Betscher,,0,Anderson,,3b24,betscher
Newspaper,1908,Carolina Association,F20279,Betscher,,0,Anderson,,3b24,betscher
1909Reach,1908,Carolina Association,F20233,Bowers,,0,Winston-Salem,,3b43,bowers
Newspaper,1908,Carolina Association,F20265,Bowers,,0,Winston-Salem,,3b43,bowers
1909Reach,1908,Carolina Association,B00609,Brennan,,0,Charlotte,,B90,brennan
1909Reach,1908,Carolina Association,B01064,Brennan,,0,all,,,brennan
1909Reach,1908,Carolina Association,F20051,Brennan,,0,Charlotte,,1b35,brennan
1909Reach,1908,Carolina Association,F20144,Brennan,,0,Charlotte,,2b55,brennan
Newspaper,1908,Carolina Association,F20051,Brennan,,0,Charlotte,,1b35,brennan
Newspaper,1908,Carolina Association,F20153,Brennan,,0,Charlotte,,2b55,brennan
1909Reach,1908,Carolina Association,B00232,Brumfield,,0,Greenville,,B82,brumfield
1909Reach,1908,Carolina Association,F20342,Brumfield,,0,Greenville,,ss82,brumfield
Newspaper,1908,Carolina Association,F20391,Brumfield,,0,Greenville,,ss82,brumfield
1909Reach,1908,Carolina Association,B00196,Buesse,,0,Spartanburg,,B83,buesse
1909Reach,1908,Carolina Association,F20759,Buesse,,0,Spartanburg,,c76,buesse
Newspaper,1908,Carolina Association,F20919,Buesse,,0,Spartanburg,,c76,buesse
