source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1909Reach,1908,Texas League,ables,B00362,Ables,,1,Dallas,,
1909Reach,1908,Texas League,ables,B00362,Ables,,2,San Antonio,,
1909Reach,1908,Texas League,ables,B00362,Ables,,T,,,B29
1909Reach,1908,Texas League,ables,F20583,Ables,,1,Dallas,,p
1909Reach,1908,Texas League,ables,F20583,Ables,,2,San Antonio,,p
1909Reach,1908,Texas League,ables,F20583,Ables,,T,,,p29
1909Reach,1908,Texas League,ables,P10215,Ables,,1,Dallas,,
1909Reach,1908,Texas League,ables,P10215,Ables,,2,San Antonio,,
1909Reach,1908,Texas League,ables,P10215,Ables,,T,,,P22
1909Reach,1908,Texas League,adams,B01162,Adams,,0,Austin,,B77
1909Reach,1908,Texas League,adams,F21149,Adams,,0,Austin,,1b10
1909Reach,1908,Texas League,adams,F21356,Adams,,0,Austin,,2b28
1909Reach,1908,Texas League,adams,F21904,Adams,,0,Austin,,ss27
1909Reach,1908,Texas League,adams,F22099,Adams,,0,Austin,,of12
1909Reach,1908,Texas League,aiken,B00783,Aiken,,0,Houston,,B139
1909Reach,1908,Texas League,aiken,F21638,Aiken,,0,Houston,,3b139
1909Reach,1908,Texas League,alexander,B00196,Alexander,,0,San Antonio,,B70
1909Reach,1908,Texas League,alexander,F20023,Alexander,,0,San Antonio,,c79
1909Reach,1908,Texas League,anderson,B01711,Anderson,,1,Galveston,,
1909Reach,1908,Texas League,anderson,B01711,Anderson,,2,Shreveport,,
1909Reach,1908,Texas League,anderson,B01711,Anderson,,T,,,B4
1909Reach,1908,Texas League,anderson,F20303,Anderson,,1,Galveston,,p
1909Reach,1908,Texas League,anderson,F20303,Anderson,,2,Shreveport,,p
1909Reach,1908,Texas League,anderson,F20303,Anderson,,T,,,p4
1909Reach,1908,Texas League,anderson,P10407,Anderson,,0,Shreveport,,P2
1909Reach,1908,Texas League,arnold,B00370,Arnold,,0,Shreveport,,B116
1909Reach,1908,Texas League,arnold,F21207,Arnold,,0,Shreveport,,1b116
1909Reach,1908,Texas League,atkins,B01523,Atkins,,0,Galveston,,B37
1909Reach,1908,Texas League,atkins,F21752,Atkins,,0,Galveston,,3b37
1909Reach,1908,Texas League,badger,B00822,Badger,,0,Galveston,,B89
1909Reach,1908,Texas League,badger,F21450,Badger,,0,Galveston,,2b51
1909Reach,1908,Texas League,badger,F21726,Badger,,0,Galveston,,3b38
1909Reach,1908,Texas League,bayles,B00076,Balyes,,0,Dallas,,B6
1909Reach,1908,Texas League,bamer,B00811,Bamer,,1,Fort Worth,,
1909Reach,1908,Texas League,bamer,B00811,Bamer,,2,San Antonio,,
1909Reach,1908,Texas League,bamer,B00811,Bamer,,T,,,B42
1909Reach,1908,Texas League,bamer,F20128,Bamer,,1,Fort Worth,,c
1909Reach,1908,Texas League,bamer,F20128,Bamer,,2,San Antonio,,c
1909Reach,1908,Texas League,bamer,F20128,Bamer,,T,,,c42
1909Reach,1908,Texas League,barclay,B02062,Barclay,,0,San Antonio,,B3
1909Reach,1908,Texas League,burnett,B01952,Barnett,,0,Dallas,,B11
1909Reach,1908,Texas League,bauer,B01490,Bauer,,0,Waco,,B24
1909Reach,1908,Texas League,bauer,F22378,Bauer,,0,Waco,,of24
1909Reach,1908,Texas League,bauldwin,B01779,Bauldwin,,0,Fort Worth,,B7
1909Reach,1908,Texas League,bayles,F20893,Bayles,,0,Dallas,,p6
1909Reach,1908,Texas League,bayles,P10312,Bayles,,0,Dallas,,P4
1909Reach,1908,Texas League,bell,B01197,Bell,,0,Waco,,B141
1909Reach,1908,Texas League,bell,F21840,Bell,,0,Waco,,ss141
1909Reach,1908,Texas League,blackwood,P10860,Black,,0,Dallas,,P1
1909Reach,1908,Texas League,blackwood,F20417,Blackwood,,0,Dallas,,p1
1909Reach,1908,Texas League,blake-shr,B00491,Blake,,0,Shreveport,,B107
1909Reach,1908,Texas League,blake-aus+hou,B00739,Blake,,1,Austin,,
1909Reach,1908,Texas League,blake-aus+hou,B00739,Blake,,2,Houston,,
1909Reach,1908,Texas League,blake-aus+hou,B00739,Blake,,T,,,B134
1909Reach,1908,Texas League,blake-shr,F21475,Blake,,0,Shreveport,,2b107
1909Reach,1908,Texas League,blake-aus+hou,F22061,Blake,,1,Austin,,of
1909Reach,1908,Texas League,blake-aus+hou,F22061,Blake,,2,Houston,,of
