source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1910Spalding,1909,Eastern Carolina League,B00794,Anderson,,0,Wilson,,B18,anderson
1910Spalding,1909,Eastern Carolina League,F20518,Anderson,,0,Wilson,,p18,anderson
1910Spalding,1909,Eastern Carolina League,P10097,Anderson,,0,Wilson,,,anderson
1910Spalding,1909,Eastern Carolina League,B00149,Armstrong,,0,Wilson,,B85,armstrong
1910Spalding,1909,Eastern Carolina League,F20391,Armstrong,,0,Wilson,,of85,armstrong
1910Spalding,1909,Eastern Carolina League,B00806,Ashton,,0,Wilmington,,B16,ashton
1910Spalding,1909,Eastern Carolina League,F20594,Ashton,,0,Wilmington,,p16,ashton
1910Spalding,1909,Eastern Carolina League,P10113,Ashton,,0,Wilmington,,,ashton
1910Spalding,1909,Eastern Carolina League,B00553,Bebe,,0,Fayetteville,,B8,bebe
1910Spalding,1909,Eastern Carolina League,F20807,Bebe,,0,Fayetteville,,c8,bebe
1910Spalding,1909,Eastern Carolina League,B00293,Bird,,0,Wilson,,B76,bird
1910Spalding,1909,Eastern Carolina League,F20832,Bird,,0,Wilson,,c76,bird
1910Spalding,1909,Eastern Carolina League,F20886,Bird,,0,Wilson,,,bird
1910Spalding,1909,Eastern Carolina League,P10121,Booles,,0,Raleigh,,,booles
1910Spalding,1909,Eastern Carolina League,B00695,Brandon,,0,Raleigh,,B26,brandon
1910Spalding,1909,Eastern Carolina League,F20612,Brandon,,0,Raleigh,,p26,brandon
1910Spalding,1909,Eastern Carolina League,P10043,Brandon,,0,Raleigh,,,brandon
1910Spalding,1909,Eastern Carolina League,B00125,Brennan,,0,Wilmington,,B16,brennan
1910Spalding,1909,Eastern Carolina League,F20072,Brennan,,0,Wilmington,,2b16,brennan
1910Spalding,1909,Eastern Carolina League,B00101,Brodie,,0,Wilmington,,B80,brodie
1910Spalding,1909,Eastern Carolina League,F20316,Brodie,,0,Wilmington,,of80,brodie
1910Spalding,1909,Eastern Carolina League,B00502,Brumfield,,0,Raleigh,,B84,brumfield
1910Spalding,1909,Eastern Carolina League,F20287,Brumfield,,0,Raleigh,,ss84,brumfield
1910Spalding,1909,Eastern Carolina League,B00469,Buckingham,,0,Wilson,,B22,buckingham
1910Spalding,1909,Eastern Carolina League,F20496,Buckingham,,0,Wilson,,p23,buckingham
1910Spalding,1909,Eastern Carolina League,P10168,Buckingham,,0,Wilson,,,buckingham
1910Spalding,1909,Eastern Carolina League,B00623,Burke,,0,Rocky Mount,,B39,burke
1910Spalding,1909,Eastern Carolina League,F20240,Burke,,0,Rocky Mount,,3b39,burke
1910Spalding,1909,Eastern Carolina League,B00811,Bussey,,0,Goldsboro,,B9,bussey
1910Spalding,1909,Eastern Carolina League,F20571,Bussey,,0,Goldsboro,,p9,bussey
1910Spalding,1909,Eastern Carolina League,F20759,Calvin,,0,Fayetteville,,c77,galvin
1910Spalding,1909,Eastern Carolina League,B00822,Clancy,,0,Fayetteville,,B8,clancy
1910Spalding,1909,Eastern Carolina League,P10244,Clancy,,0,Fayetteville,,,clancy
1910Spalding,1909,Eastern Carolina League,B00255,Clemens,,0,Fayetteville,,B86,clemens
1910Spalding,1909,Eastern Carolina League,F20334,Clemens,,0,Fayetteville,,of86,clemens
1910Spalding,1909,Eastern Carolina League,B00068,Conn,,0,Rocky Mount,,B24,conn
1910Spalding,1909,Eastern Carolina League,F20829,Conn,,0,Rocky Mount,,c24,conn
1910Spalding,1909,Eastern Carolina League,B00488,Cooper,,0,Wilson,,B80,cooper
1910Spalding,1909,Eastern Carolina League,F20233,Cooper,,0,Wilson,,3b80,cooper
1910Spalding,1909,Eastern Carolina League,P10100,Cowell,,0,Wilson,,,cowell
1910Spalding,1909,Eastern Carolina League,B00752,Cowells,,0,Wilson,,B20,cowell
1910Spalding,1909,Eastern Carolina League,F20700,Cowells,,0,Wilson,,p20,cowell
1910Spalding,1909,Eastern Carolina League,B00403,Crockett,,0,Goldsboro,,B90,crockett
1910Spalding,1909,Eastern Carolina League,F20046,Crockett,,0,Goldsboro,,1b90,crockett
1910Spalding,1909,Eastern Carolina League,B00264,Crozier,,0,Raleigh,,B90,crozier
1910Spalding,1909,Eastern Carolina League,F20369,Crozier,,0,Raleigh,,of90,crozier
1910Spalding,1909,Eastern Carolina League,B00182,Doak,,0,Goldsboro,,B90,doak
1910Spalding,1909,Eastern Carolina League,F20474,Doak,,0,Goldsboro,,of90,doak
1910Spalding,1909,Eastern Carolina League,B00319,Dobson,,0,Fayetteville,,B83,dobson
1910Spalding,1909,Eastern Carolina League,F20051,Dobson,,0,Fayetteville,,1b83,dobson
1910Spalding,1909,Eastern Carolina League,B00174,Epler,,0,Goldsboro,,B24,epler
1910Spalding,1909,Eastern Carolina League,F20430,Epler,,0,Goldsboro,,of24,epler
1910Spalding,1909,Eastern Carolina League,B00092,Farrell,,0,Rocky Mount,,B43,farrell-rm
1910Spalding,1909,Eastern Carolina League,B00760,Farrell,,0,Wilson,,B17,farrell-wil
1910Spalding,1909,Eastern Carolina League,F20014,Farrell,,0,Rocky Mount,,1b43,farrell-rm
1910Spalding,1909,Eastern Carolina League,F20604,Farrell,,0,Wilson,,p17,farrell-wil
1910Spalding,1909,Eastern Carolina League,P10215,Farrell,,0,Wilson,,,farrell-wil
1910Spalding,1909,Eastern Carolina League,B00840,Forbes,,0,Rocky Mount,,B12,forbes
1910Spalding,1909,Eastern Carolina League,F20699,Forbes,,0,Rocky Mount,,p12,forbes
1910Spalding,1909,Eastern Carolina League,P10277,Forbes,,0,Rocky Mount,,,forbes
1910Spalding,1909,Eastern Carolina League,B00718,Fucich,,0,Raleigh,,B20,fucich
1910Spalding,1909,Eastern Carolina League,F20636,Fucich,,0,Raleigh,,p20,fucich
1910Spalding,1909,Eastern Carolina League,B00705,Fullenwider,,0,Raleigh,,B18,fullenwider
1910Spalding,1909,Eastern Carolina League,F20547,Fullenwider,,0,Raleigh,,p18,fullenwider
1910Spalding,1909,Eastern Carolina League,P10202,Fullenwider,,0,Raleigh,,,fullenwider
1910Spalding,1909,Eastern Carolina League,B00577,Fulton,,0,Goldsboro,,B50,fulton
1910Spalding,1909,Eastern Carolina League,F20810,Fulton,,0,Goldsboro,,c50,fulton
1910Spalding,1909,Eastern Carolina League,B00356,Galvin,,0,Fayetteville,,B77,galvin
1910Spalding,1909,Eastern Carolina League,B00343,Gettig,,0,Goldsboro,,B90,gettig
1910Spalding,1909,Eastern Carolina League,F20102,Gettig,,0,Goldsboro,,2b90,gettig
1910Spalding,1909,Eastern Carolina League,B00278,Gilmore,,0,Wilson,,B61,gilmore
1910Spalding,1909,Eastern Carolina League,F20768,Gilmore,,0,Wilson,,c61,gilmore
1910Spalding,1909,Eastern Carolina League,B00589,Guerrant,,0,Wilmington,,B84,guerrant
1910Spalding,1909,Eastern Carolina League,F20189,Guerrant,,0,Wilmington,,3b64,guerrant
1910Spalding,1909,Eastern Carolina League,B00232,Haas,Bert,0,Raleigh,,B90,haas
1910Spalding,1909,Eastern Carolina League,F20023,Haas,Bert,0,Raleigh,,1b90,haas
1910Spalding,1909,Eastern Carolina League,B00130,Haidt,,0,Fayetteville,,B37,haidt
1910Spalding,1909,Eastern Carolina League,F20222,Haidt,,0,Fayetteville,,3b37,haidt
1910Spalding,1909,Eastern Carolina League,B00739,Hallman,,0,Fayetteville,,B26,hallman
1910Spalding,1909,Eastern Carolina League,F20552,Hallman,,0,Fayetteville,,p26,hallman
1910Spalding,1909,Eastern Carolina League,P10035,Hallman,,0,Fayetteville,,,hallman
1910Spalding,1909,Eastern Carolina League,B00450,Hart,,0,Raleigh,,B78,hart
1910Spalding,1909,Eastern Carolina League,F20128,Hart,,0,Raleigh,,2b78,hart
1910Spalding,1909,Eastern Carolina League,B00241,Hoffman,,0,Raleigh,,B84,hoffman
1910Spalding,1909,Eastern Carolina League,F20342,Hoffman,,0,Raleigh,,of84,hoffman
1910Spalding,1909,Eastern Carolina League,B00362,Hoover,C.,0,Raleigh,,B75,hoover.c
1910Spalding,1909,Eastern Carolina League,B00442,Hoover,F.,0,Raleigh,,B30,hoover.f
1910Spalding,1909,Eastern Carolina League,F20190,Hoover,C.,0,Raleigh,,3b75,hoover.c
1910Spalding,1909,Eastern Carolina League,F20458,Hoover,F.,0,Raleigh,,of30,hoover.f
1910Spalding,1909,Eastern Carolina League,B00544,Howard,,0,Wilmington,,B40,howard
1910Spalding,1909,Eastern Carolina League,F20673,Howard,,0,Wilmington,,p40,howard
1910Spalding,1909,Eastern Carolina League,P10137,Howard,,0,Wilmington,,,howard
1910Spalding,1909,Eastern Carolina League,B00207,Irwin,,0,Raleigh,,B54,irwin
1910Spalding,1909,Eastern Carolina League,F20776,Irwin,,0,Raleigh,,c54,irwin
1910Spalding,1909,Eastern Carolina League,B00397,James,,0,Rocky Mount,,B67,james
1910Spalding,1909,Eastern Carolina League,F20449,James,,0,Rocky Mount,,of67,james
1910Spalding,1909,Eastern Carolina League,B00434,Jayes,,0,Wilmington,,B84,jayes
1910Spalding,1909,Eastern Carolina League,F20375,Jayes,,0,Wilmington,,of84,jayes
1910Spalding,1909,Eastern Carolina League,B00566,Kelly,,0,Goldsboro,,B32,kelly
1910Spalding,1909,Eastern Carolina League,F20206,Kelly,,0,Goldsboro,,3b32,kelly
1910Spalding,1909,Eastern Carolina League,B00531,Kite,,0,Wilmington,,B86,kite
1910Spalding,1909,Eastern Carolina League,F20737,Kite,,0,Wilmington,,c86,kite
1910Spalding,1909,Eastern Carolina League,B00324,Krebs,,0,Rocky Mount,,B76,krebs
1910Spalding,1909,Eastern Carolina League,F20425,Krebs,,0,Rocky Mount,,of76,krebs
1910Spalding,1909,Eastern Carolina League,B00747,Kull,,0,Fayetteville,,B9,kull
1910Spalding,1909,Eastern Carolina League,F20685,Kull,,0,Fayetteville,,p9,kull
1910Spalding,1909,Eastern Carolina League,P10024,Kull,,0,Fayetteville,,,kull
1910Spalding,1909,Eastern Carolina League,B00491,Lambert,,0,Rocky Mount,,B86,lambert
1910Spalding,1909,Eastern Carolina League,B00667,Lane,,0,Wilson,,B21,lane
1910Spalding,1909,Eastern Carolina League,F20560,Lane,,0,Wilson,,p21,lane
1910Spalding,1909,Eastern Carolina League,P10176,Lane,,0,Wilson,,,lane
1910Spalding,1909,Eastern Carolina League,B00076,Levy,,0,Wilmington,,B68,levy
1910Spalding,1909,Eastern Carolina League,F20067,Levy,,0,Wilmington,,1b68,levy
1910Spalding,1909,Eastern Carolina League,F20864,Levy,,0,Wilmington,,,levy
1910Spalding,1909,Eastern Carolina League,P10056,Levy,,0,Wilmington,,,levy
1910Spalding,1909,Eastern Carolina League,B00045,Luyster,,1,Fayetteville,,,luyster
1910Spalding,1909,Eastern Carolina League,B00045,Luyster,,2,Rocky Mount,,,luyster
1910Spalding,1909,Eastern Carolina League,B00045,Luyster,,T,,,B34,luyster
1910Spalding,1909,Eastern Carolina League,F20526,Luyster,,1,Fayetteville,,p,luyster
1910Spalding,1909,Eastern Carolina League,F20526,Luyster,,2,Rocky Mount,,p,luyster
1910Spalding,1909,Eastern Carolina League,F20526,Luyster,,T,,,p34,luyster
1910Spalding,1909,Eastern Carolina League,F20855,Luyster,,0,Rocky Mount,,,luyster
1910Spalding,1909,Eastern Carolina League,P10019,Luyster,,0,Fayetteville,,,luyster
1910Spalding,1909,Eastern Carolina League,B00381,McGeehan,,0,Wilson,,B21,mcgeehan
1910Spalding,1909,Eastern Carolina League,F20131,McGeehan,,0,Wilson,,2b21,mcgeehan
1910Spalding,1909,Eastern Carolina League,B00084,McKernan,,0,Fayetteville,,B56,mckernan
1910Spalding,1909,Eastern Carolina League,F20095,McKernan,,0,Fayetteville,,2b56,mckernan
1910Spalding,1909,Eastern Carolina League,B00163,Meaney,,0,Fayetteville,,B28,meaney
1910Spalding,1909,Eastern Carolina League,F20303,Meaney,,0,Fayetteville,,of28,meaney
1910Spalding,1909,Eastern Carolina League,B00196,Miller,,0,Wilson,,B87,miller
1910Spalding,1909,Eastern Carolina League,F20463,Miller,,0,Wilson,,of87,miller
1910Spalding,1909,Eastern Carolina League,B00515,Mills,,0,Wilson,,B69,mills
1910Spalding,1909,Eastern Carolina League,F20038,Mills,,0,Wilson,,1b69,mills
1910Spalding,1909,Eastern Carolina League,B00370,Moore,,0,Wilson,,B46,moore
1910Spalding,1909,Eastern Carolina League,F20327,Moore,,0,Wilson,,of46,moore
1910Spalding,1909,Eastern Carolina League,B00833,Muir,,0,Fayetteville,,B18,muir
1910Spalding,1909,Eastern Carolina League,F20620,Muir,,0,Fayetteville,,p18,muir
1910Spalding,1909,Eastern Carolina League,P10266,Muir,,0,Fayetteville,,,muir
1910Spalding,1909,Eastern Carolina League,B00308,Murray,,0,Rocky Mount,,B66,murray
1910Spalding,1909,Eastern Carolina League,F20153,Murray,,0,Rocky Mount,,2b66,murray
1910Spalding,1909,Eastern Carolina League,B00286,Nicholas,,0,Wilmington,,B72,nicholas
1910Spalding,1909,Eastern Carolina League,F20080,Nicholas,,0,Wilmington,,2b72,nicholas
1910Spalding,1909,Eastern Carolina League,B00609,O'Gara,,0,Rocky Mount,,B47,ogara
1910Spalding,1909,Eastern Carolina League,F20401,O'Gara,,0,Rocky Mount,,of47,ogara
1910Spalding,1909,Eastern Carolina League,F20841,O'Gara,,0,Rocky Mount,,,ogara
1910Spalding,1909,Eastern Carolina League,P10253,O'Gara,,0,Rocky Mount,,,ogara
1910Spalding,1909,Eastern Carolina League,B00614,O'Neil,,0,Fayetteville,,B72,oneil
1910Spalding,1909,Eastern Carolina League,F20279,O'Neil,,0,Fayetteville,,ss72,oneil
1910Spalding,1909,Eastern Carolina League,B00638,Otis,,0,Goldsboro,,B35,otis
1910Spalding,1909,Eastern Carolina League,F20661,Otis,,0,Goldsboro,,p35,otis
1910Spalding,1909,Eastern Carolina League,P10062,Otis,,0,Goldsboro,,,otis
1910Spalding,1909,Eastern Carolina League,B00726,Pope,,0,Raleigh,,B25,pope
1910Spalding,1909,Eastern Carolina League,F20713,Pope,,0,Raleigh,,p25,pope
1910Spalding,1909,Eastern Carolina League,P10070,Pope,,0,Raleigh,,,pope
1910Spalding,1909,Eastern Carolina League,F20298,Rambert,,0,Rocky Mount,,ss86,lambert
1910Spalding,1909,Eastern Carolina League,B00590,Rapp,,0,Rocky Mount,,B40,rapp
1910Spalding,1909,Eastern Carolina League,F20115,Rapp,,0,Rocky Mount,,2b40,rapp
1910Spalding,1909,Eastern Carolina League,B00335,Rowe,,0,Raleigh,,B69,rowe
1910Spalding,1909,Eastern Carolina League,F20784,Rowe,,0,Raleigh,,c69,rowe
1910Spalding,1909,Eastern Carolina League,B00021,Schumaker,,0,Fayetteville,,B67,schumaker
1910Spalding,1909,Eastern Carolina League,F20350,Schumaker,,0,Fayetteville,,of67,schumaker
1910Spalding,1909,Eastern Carolina League,B00783,Sexton,,0,Wilmington,,B27,sexton
1910Spalding,1909,Eastern Carolina League,F20583,Sexton,,0,Wilmington,,p27,sexton
1910Spalding,1909,Eastern Carolina League,P10081,Sexton,,0,Wilmington,,,sexton
1910Spalding,1909,Eastern Carolina League,B00158,Sharpe,Lee,0,Goldsboro,,B72,sharpe.l-gol
1910Spalding,1909,Eastern Carolina League,B00528,Sharpe,James,0,Wilmington,,B87,sharpe.j-wil
1910Spalding,1909,Eastern Carolina League,F20254,Sharpe,James,0,Wilmington,,ss87,sharpe.j-wil
1910Spalding,1909,Eastern Carolina League,F20265,Sharpe,Lee,0,Goldsboro,,ss72,sharpe.l-gol
1910Spalding,1909,Eastern Carolina League,B00013,Shuman,,0,Wilson,,B29,shuman
1910Spalding,1909,Eastern Carolina League,F20388,Shuman,,0,Wilson,,of29,shuman
1910Spalding,1909,Eastern Carolina League,B00037,Smith,,0,Wilmington,,B64,smith-wil
1910Spalding,1909,Eastern Carolina League,B00427,Smith,,0,Goldsboro,,B73,smith-gol
1910Spalding,1909,Eastern Carolina League,B00771,Smith,,0,Rocky Mount,,B22,smith-rm
1910Spalding,1909,Eastern Carolina League,F20211,Smith,,0,Wilmington,,3b64,smith-wil
1910Spalding,1909,Eastern Carolina League,F20417,Smith,,0,Rocky Mount,,of22,smith-rm
1910Spalding,1909,Eastern Carolina League,F20482,Smith,,0,Goldsboro,,of73,smith-gol
1910Spalding,1909,Eastern Carolina League,F20878,Smith,,0,Rocky Mount,,,smith-rm
1910Spalding,1909,Eastern Carolina League,P10228,Smith,,0,Rocky Mount,,,smith-rm
1910Spalding,1909,Eastern Carolina League,B00416,Steinback,,0,Goldsboro,,B54,steinback
1910Spalding,1909,Eastern Carolina League,F20144,Steinback,,0,Goldsboro,,2b54,steinback
1910Spalding,1909,Eastern Carolina League,P10145,Stoehr,,0,Goldsboro,,,stohr
1910Spalding,1909,Eastern Carolina League,B00651,Stohr,,0,Goldsboro,,B36,stohr
1910Spalding,1909,Eastern Carolina League,F20539,Stohr,,0,Goldsboro,,p36,stohr
1910Spalding,1909,Eastern Carolina League,B00672,Stubbe,,0,Goldsboro,,B67,stubbe
1910Spalding,1909,Eastern Carolina League,F20792,Stubbe,,0,Goldsboro,,c67,stubbe
1910Spalding,1909,Eastern Carolina League,B00117,Thorpe,,0,Rocky Mount,,B44,thorpe
1910Spalding,1909,Eastern Carolina League,F20648,Thorpe,,0,Rocky Mount,,p44,thorpe
1910Spalding,1909,Eastern Carolina League,P10184,Thorpe,,0,Rocky Mount,,,thorpe
1910Spalding,1909,Eastern Carolina League,B00646,Thumb,,0,Raleigh,,B15,thumb
1910Spalding,1909,Eastern Carolina League,F20177,Thumb,,0,Raleigh,,2b15,thumb
1910Spalding,1909,Eastern Carolina League,B00229,Walsh,,0,Rocky Mount,,B57,walsh
1910Spalding,1909,Eastern Carolina League,F20745,Walsh,,0,Rocky Mount,,c57,walsh
1910Spalding,1909,Eastern Carolina League,B00059,Watters,,0,Fayetteville,,B32,watters
1910Spalding,1909,Eastern Carolina League,F20505,Watters,,0,Fayetteville,,p32,watters
1910Spalding,1909,Eastern Carolina League,P10159,Watters,,0,Fayetteville,,,watters
1910Spalding,1909,Eastern Carolina League,B00210,Waymack,,0,Rocky Mount,,B24,waymack
1910Spalding,1909,Eastern Carolina League,F20657,Waymack,,0,Rocky Mount,,p24,waymack
1910Spalding,1909,Eastern Carolina League,P10231,Waymack,,0,Rocky Mount,,,waymack
1910Spalding,1909,Eastern Carolina League,B00475,Wright,,0,Raleigh,,B46,wright
1910Spalding,1909,Eastern Carolina League,F20166,Wright,,0,Raleigh,,2b46,wright
1910Spalding,1909,Eastern Carolina League,B00680,Wysong,,0,Wilmington,,B15,wysong
1910Spalding,1909,Eastern Carolina League,F20721,Wysong,,0,Wilmington,,p15,wysong
1910Spalding,1909,Eastern Carolina League,P10192,Wysong,,0,Wilmington,,,wysong
