source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1911Spalding,1910,Ohio State League,ahern,B01234,Ahern,,0,Chillicothe,,B14
1911Spalding,1910,Ohio State League,ahern,F21158,Ahern,,0,Chillicothe,,p13
1911Spalding,1910,Ohio State League,ahern,P10137,Ahern,,0,Chillicothe,,P13
1911Spalding,1910,Ohio State League,anderson-new,B00403,Anderson,,0,Newark,,B117
1911Spalding,1910,Ohio State League,anderson-lan,B01197,Anderson,,0,Lancaster,,B14
1911Spalding,1910,Ohio State League,anderson-new,F20401,Anderson,,0,Newark,,3b31
1911Spalding,1910,Ohio State League,anderson-lan,F20648,Anderson,,0,Lancaster,,of14
1911Spalding,1910,Ohio State League,anderson-new,F21427,Anderson,,0,Newark,,c74
1911Spalding,1910,Ohio State League,ayette,B00961,Ayette,,0,Marion,,B93
1911Spalding,1910,Ohio State League,ayette,F20518,Ayette,,0,Marion,,ss92
1911Spalding,1910,Ohio State League,barrett,B00614,Barrett,,0,Portsmouth,,B121
1911Spalding,1910,Ohio State League,baxter,B00904,Baxter,,0,Marion,,B44
1911Spalding,1910,Ohio State League,baxter,F21059,Baxter,,0,Marion,,p29
1911Spalding,1910,Ohio State League,baxter,P10100,Baxter,,0,Marion,,P29
1911Spalding,1910,Ohio State League,beer,B01203,Beer,,0,Lancaster,,B22
1911Spalding,1910,Ohio State League,beer,F21045,Beer,,0,Lancaster,,p19
1911Spalding,1910,Ohio State League,beer,P10215,Beer,,0,Lancaster,,P19
1911Spalding,1910,Ohio State League,blake,B00174,Blake,,0,Lancaster,,B129
1911Spalding,1910,Ohio State League,blake,F20051,Blake,,0,Lancaster,,1b21
1911Spalding,1910,Ohio State League,blake,F20190,Blake,,0,Lancaster,,2b108
1911Spalding,1910,Ohio State League,boyer,B00680,Boyer,,0,Marion,,B21
1911Spalding,1910,Ohio State League,boyer,F21125,Boyer,,0,Marion,,p14
1911Spalding,1910,Ohio State League,boyer,P10159,Boyer,,0,Marion,,P14
1911Spalding,1910,Ohio State League,braden,B00589,Braden,,0,Newark,,B11
1911Spalding,1910,Ohio State League,braden,P10176,Braden,,0,Newark,,P10
1911Spalding,1910,Ohio State League,braden,F21286,Brayden,,0,Newark,,p10
1911Spalding,1910,Ohio State League,breen,B00092,Breen,,0,Portsmouth,,B130
1911Spalding,1910,Ohio State League,breen,F20612,Breen,,0,Portsmouth,,of128
1911Spalding,1910,Ohio State League,brown-new,B00308,Brown,,0,Newark,,B51
1911Spalding,1910,Ohio State League,brown-new,F20657,Brown,J.,0,Newark,,of50
1911Spalding,1910,Ohio State League,browne-chi,B00502,Browne,W.,0,Chillicothe,,B50
