source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1911Spalding,1910,Tri-State League,abbott,B00416,Abbott,,1,Harrisburg,,
1911Spalding,1910,Tri-State League,abbott,B00416,Abbott,,2,York,,
1911Spalding,1910,Tri-State League,abbott,B00416,Abbott,,T,,,B106
1911Spalding,1910,Tri-State League,abbott,F20620,Abbott,,1,Harrisburg,,of
1911Spalding,1910,Tri-State League,abbott,F20620,Abbott,,2,York,,of
1911Spalding,1910,Tri-State League,abbott,F20620,Abbott,,T,,,of106
1911Spalding,1910,Tri-State League,adler,B00278,Adler,,0,Harrisburg,,B51
1911Spalding,1910,Tri-State League,adler,F20391,Adler,,0,Harrisburg,,3b38
1911Spalding,1910,Tri-State League,agnew,B01119,Agnew,,1,York,,
1911Spalding,1910,Tri-State League,agnew,B01119,Agnew,,2,Lancaster,,
1911Spalding,1910,Tri-State League,agnew,B01119,Agnew,,T,,,B55
1911Spalding,1910,Tri-State League,agnew,F20279,Agnew,,1,York,,2b
1911Spalding,1910,Tri-State League,agnew,F20279,Agnew,,2,Lancaster,,2b
1911Spalding,1910,Tri-State League,agnew,F20279,Agnew,,T,,,2b44
1911Spalding,1910,Tri-State League,anderson,B00651,Anderson,,0,Reading,,B24
1911Spalding,1910,Tri-State League,anderson,F20222,Anderson,,0,Reading,,2b20
1911Spalding,1910,Tri-State League,bailey-yor,B00117,Bailey,J.,0,York,,B73
1911Spalding,1910,Tri-State League,bailey-lan,B00475,Bailey,H.,0,Lancaster,,B88
1911Spalding,1910,Tri-State League,bailey-lan,F20829,Bailey,H.,0,Lancaster,,of88
1911Spalding,1910,Tri-State League,bailey-yor,F20878,Bailey,J.,0,York,,of73
1911Spalding,1910,Tri-State League,barthold,B00667,Barthold,,1,Reading,,
1911Spalding,1910,Tri-State League,barthold,B00667,Barthold,,2,Harrisburg,,
1911Spalding,1910,Tri-State League,barthold,B00667,Barthold,,T,,,B39
1911Spalding,1910,Tri-State League,barthold,F20924,Barthold,,1,Reading,,of
1911Spalding,1910,Tri-State League,barthold,F20924,Barthold,,2,Harrisburg,,of
1911Spalding,1910,Tri-State League,barthold,F20924,Barthold,,T,,,of25
1911Spalding,1910,Tri-State League,barthold,P10202,Barthold,,1,Reading,,
1911Spalding,1910,Tri-State League,barthold,P10202,Barthold,,2,Harrisburg,,
1911Spalding,1910,Tri-State League,barthold,P10202,Barthold,,T,,,
1911Spalding,1910,Tri-State League,barton,B00739,Barton,,0,Reading,,B88
1911Spalding,1910,Tri-State League,barton,F20153,Barton,,0,Reading,,2b19
1911Spalding,1910,Tri-State League,barton,F20594,Barton,,0,Reading,,of34
1911Spalding,1910,Tri-State League,barton,F21293,Barton,,0,Reading,,c31
1911Spalding,1910,Tri-State League,bastian,B00833,Bastian,,0,Reading,,B110
1911Spalding,1910,Tri-State League,bastian,F20067,Bastian,,0,Reading,,1b109
1911Spalding,1910,Tri-State League,betts,B01010,Betts,,0,Lancaster,,B17
1911Spalding,1910,Tri-State League,betts,F20699,Betts,,0,Lancaster,,of17
1911Spalding,1910,Tri-State League,black,B00904,Black,,0,Harrisburg,,B28
1911Spalding,1910,Tri-State League,black,F20334,Black,,0,Harrisburg,,3b27
1911Spalding,1910,Tri-State League,blanchard,B00957,Blanchard,,0,Trenton,,B33
1911Spalding,1910,Tri-State League,blanchard,F21045,Blanchard,,0,Trenton,,p29
1911Spalding,1910,Tri-State League,blanchard,P10176,Blanchard,,0,Trenton,,
1911Spalding,1910,Tri-State League,bowers,B00680,Bowers,,1,Reading,,
1911Spalding,1910,Tri-State League,bowers,B00680,Bowers,,2,Altoona,,
1911Spalding,1910,Tri-State League,bowers,B00680,Bowers,,T,,,B35
1911Spalding,1910,Tri-State League,bowers,F20095,Bowers,,1,Reading,,1b
1911Spalding,1910,Tri-State League,bowers,F20095,Bowers,,2,Altoona,,1b
1911Spalding,1910,Tri-State League,bowers,F20095,Bowers,,T,,,1b35
1911Spalding,1910,Tri-State League,bradley,B00264,Bradley,,0,Johnstown,,B94
1911Spalding,1910,Tri-State League,bradley,F21319,Bradley,,0,Johnstown,,c90
1911Spalding,1910,Tri-State League,britton,B00948,Britton,,0,Williamsport,,B56
1911Spalding,1910,Tri-State League,britton,F20792,Britton,,0,Williamsport,,of20
