source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1912Reach,1911,Canadian League,B01170,Alcock,,0,,,,alcock
1912Reach,1911,Canadian League,B00646,Andrews,,1,Berlin,,,andrews
1912Reach,1911,Canadian League,B00646,Andrews,,2,London,,,andrews
1912Reach,1911,Canadian League,B00646,Andrews,,T,,,B76,andrews
1912Reach,1911,Canadian League,B00718,Barberich,,0,Hamilton,,B35,barberich
1912Reach,1911,Canadian League,B00609,Barrett,,0,London,,B54,barrett
1912Reach,1911,Canadian League,B00068,Barry,,0,Brantford,,B95,barry
1912Reach,1911,Canadian League,B00163,Barton,,0,Hamilton,,B78,barton
1912Reach,1911,Canadian League,B01428,Bell,,0,,,,bell
1912Reach,1911,Canadian League,B00045,Bierbauer,,0,London,,B75,bierbauer
1912Reach,1911,Canadian League,B01313,Bignell,,0,,,,bignell
1912Reach,1911,Canadian League,B00229,Bramble,,0,Berlin,,B61,bramble
1912Reach,1911,Canadian League,B00403,Brandow,,0,Hamilton,,B63,brandow
1912Reach,1911,Canadian League,B00149,Brant,,0,London,,B106,brant
1912Reach,1911,Canadian League,B01203,Brese,,0,,,,brese
1912Reach,1911,Canadian League,B00210,Bullock,,0,Berlin,,B69,bullock
1912Reach,1911,Canadian League,B00651,Burill,,0,Brantford,,B106,burill
1912Reach,1911,Canadian League,B00887,Burke,,0,Brantford,,B34,burke
1912Reach,1911,Canadian League,B00726,Burns,,0,Berlin,,B72,burns
1912Reach,1911,Canadian League,B01181,Burtlett,,0,,,,burtlett
1912Reach,1911,Canadian League,B01384,Burton,,0,,,,burton
1912Reach,1911,Canadian League,B00667,Cambria,,0,Berlin,,B102,cambria
1912Reach,1911,Canadian League,B00092,Cameron,,0,Berlin,,B103,cameron
1912Reach,1911,Canadian League,B01466,Campbell,,0,,,,campbell
1912Reach,1911,Canadian League,B01093,Campeau,,0,St. Thomas,,B14,campeau
1912Reach,1911,Canadian League,B00319,Carey,,0,Hamilton,,B29,carey
1912Reach,1911,Canadian League,B01453,Carr,,0,,,,carr
1912Reach,1911,Canadian League,B00854,Chaput,,0,Berlin,,B34,chaput
