source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1912Spalding,1911,Michigan State League,B01064,Adams,,0,Cadillac,,B40,adams
1912Spalding,1911,Michigan State League,F21125,Adams,,0,Cadillac,,c40,adams
1912Spalding,1911,Michigan State League,B00356,Anderson,,0,Manistee,,B95,anderson
1912Spalding,1911,Michigan State League,F20046,Anderson,,0,Manistee,,1b95,anderson
1912Spalding,1911,Michigan State League,B00623,Ayeile,,0,Boyne City,,B30,ayeile
1912Spalding,1911,Michigan State League,F21207,Ayeile,,0,Boyne City,,c30,ayeile
1912Spalding,1911,Michigan State League,B00783,Backus,,0,Cadillac,,B33,backus
1912Spalding,1911,Michigan State League,F21362,Backus,,0,Cadillac,,p,backus
1912Spalding,1911,Michigan State League,P10159,Backus,,0,Cadillac,,p,backus
1912Spalding,1911,Michigan State League,B00614,Batama,,0,Boyne City,,B40,batama
1912Spalding,1911,Michigan State League,F20474,Batama,,0,Boyne City,,3b15,batama
1912Spalding,1911,Michigan State League,F20685,Batama,,0,Boyne City,,ss25,batama
1912Spalding,1911,Michigan State League,B00149,Baxter,,0,Boyne City,,B53,baxter
1912Spalding,1911,Michigan State League,F21059,Baxter,,0,Boyne City,,of53,baxter
1912Spalding,1911,Michigan State League,B01041,Beck,,0,Manistee,,B14,beck
1912Spalding,1911,Michigan State League,F20636,Beck,,0,Manistee,,ss13,beck
1912Spalding,1911,Michigan State League,B00174,Benn,,0,Manistee,,B23,benn
1912Spalding,1911,Michigan State League,F21241,Benn,,0,Manistee,,p,benn
1912Spalding,1911,Michigan State League,P10035,Benn,,0,Manistee,,p,benn
1912Spalding,1911,Michigan State League,B01055,Bennett,,0,Boyne City,,B13,bennett
1912Spalding,1911,Michigan State League,F20342,Bennett,,0,Boyne City,,2b13,bennett
1912Spalding,1911,Michigan State League,B00293,Bomers,,0,Muskegon,,B30,bomers
1912Spalding,1911,Michigan State League,F21324,Bomers,,0,Muskegon,,p,bomers
1912Spalding,1911,Michigan State League,P10113,Bomers,,0,Muskegon,,p,bomers
1912Spalding,1911,Michigan State League,B00037,Brief,,0,Traverse City,,B118,brief
1912Spalding,1911,Michigan State League,F20115,Brief,,0,Traverse City,,1b17,brief
1912Spalding,1911,Michigan State League,F20841,Brief,,0,Traverse City,,of58,brief
1912Spalding,1911,Michigan State League,F21196,Brief,,0,Traverse City,,c40,brief
1912Spalding,1911,Michigan State League,B00381,Brooks,,0,Muskegon,,B118,brooks
1912Spalding,1911,Michigan State League,F20737,Brooks,,0,Muskegon,,of118,brooks
1912Spalding,1911,Michigan State League,B00646,Bufka,,0,Manistee,,B48,bufka
1912Spalding,1911,Michigan State League,F20962,Bufka,,0,Manistee,,of14,bufka
1912Spalding,1911,Michigan State League,F21076,Bufka,,0,Manistee,,c33,bufka
1912Spalding,1911,Michigan State League,B00427,Chilton,,0,Boyne City,,B33,chilton
1912Spalding,1911,Michigan State League,F20254,Chilton,,0,Boyne City,,2b19,chilton
1912Spalding,1911,Michigan State League,F20661,Chilton,,0,Boyne City,,ss12,chilton
1912Spalding,1911,Michigan State League,B00904,Claus,,0,Boyne City,,B25,claus
1912Spalding,1911,Michigan State League,F21488,Clauss,,0,Boyne City,,p,claus
1912Spalding,1911,Michigan State League,P10277,Clauss,,0,Boyne City,,p,claus
1912Spalding,1911,Michigan State League,F21427,Clinton,,0,Holland,,p,clinton
1912Spalding,1911,Michigan State League,P10215,Clinton,,0,Holland,,p,clinton
1912Spalding,1911,Michigan State League,B00566,Collert,,0,Traverse City,,B118,collert
1912Spalding,1911,Michigan State League,F20350,Collett,,0,Traverse City,,3b118,collert
1912Spalding,1911,Michigan State League,B00948,Collins,,0,Boyne City,,B28,collins
1912Spalding,1911,Michigan State League,F21403,Collins,,1,Cadillac,,p,collins
1912Spalding,1911,Michigan State League,F21403,Collins,,2,Boyne City,,p,collins
1912Spalding,1911,Michigan State League,F21403,Collins,,T,,,p,collins
1912Spalding,1911,Michigan State League,P10192,Collins,,1,Cadillac,,p,collins
1912Spalding,1911,Michigan State League,P10192,Collins,,2,Boyne City,,p,collins
1912Spalding,1911,Michigan State League,P10192,Collins,,T,,,p,collins
1912Spalding,1911,Michigan State League,B00021,Comstock,,0,Muskegon,,B118,comstock
1912Spalding,1911,Michigan State League,F20014,Comstock,,0,Muskegon,,1b37,comstock
1912Spalding,1911,Michigan State League,F20265,Comstock,,0,Muskegon,,2b13,comstock
1912Spalding,1911,Michigan State League,F20539,Comstock,,0,Muskegon,,ss36,comstock
1912Spalding,1911,Michigan State League,F20908,Comstock,,0,Muskegon,,of30,comstock
1912Spalding,1911,Michigan State League,B00335,Conyngham,,0,Manistee,,B31,conyngham
1912Spalding,1911,Michigan State League,F20240,Conyngham,,1,Manistee,,2b,conyngham
1912Spalding,1911,Michigan State League,F20240,Conyngham,,2,Cadillac,,2b,conyngham
1912Spalding,1911,Michigan State League,F20240,Conyngham,,T,,,2b11,conyngham
1912Spalding,1911,Michigan State League,F20673,Conyngham,,1,Manistee,,ss,conyngham
1912Spalding,1911,Michigan State League,F20673,Conyngham,,2,Cadillac,,ss,conyngham
1912Spalding,1911,Michigan State League,F20673,Conyngham,,T,,,ss14,conyngham
1912Spalding,1911,Michigan State League,B00726,Criger,,0,Boyne City,,B42,criger
1912Spalding,1911,Michigan State League,F21117,Criger,,0,Boyne City,,c34,criger
1912Spalding,1911,Michigan State League,B00589,Currie,,0,Holland,,B115,currie
1912Spalding,1911,Michigan State League,F20792,Currie,,0,Holland,,of115,currie
1912Spalding,1911,Michigan State League,B00241,De Baker,,0,Muskegon,,B78,debaker
1912Spalding,1911,Michigan State League,F20956,De Baker,,0,Muskegon,,of71,debaker
1912Spalding,1911,Michigan State League,B00887,Devitt,,0,Boyne City,,B17,devitt
1912Spalding,1911,Michigan State League,F21515,Devitt,,0,Boyne City,,p,devitt
1912Spalding,1911,Michigan State League,P10304,Devitt,,0,Boyne City,,p,devitt
1912Spalding,1911,Michigan State League,B00760,Dillon,,0,Traverse City,,B54,dillon
1912Spalding,1911,Michigan State League,F20279,Dillon,,1,Traverse City,,2b,dillon
1912Spalding,1911,Michigan State League,F20279,Dillon,,2,Holland,,2b,dillon
1912Spalding,1911,Michigan State League,F20279,Dillon,,T,,,2b12,dillon
1912Spalding,1911,Michigan State League,F20620,Dillon,,1,Traverse City,,ss,dillon
1912Spalding,1911,Michigan State League,F20620,Dillon,,2,Holland,,ss,dillon
1912Spalding,1911,Michigan State League,F20620,Dillon,,T,,,ss13,dillon
1912Spalding,1911,Michigan State League,F20759,Dillon,,1,Traverse City,,of,dillon
1912Spalding,1911,Michigan State League,F20759,Dillon,,2,Holland,,of,dillon
1912Spalding,1911,Michigan State League,F20759,Dillon,,T,,,of12,dillon
1912Spalding,1911,Michigan State League,B00739,Donovan,,0,Manistee,,B24,donovan
1912Spalding,1911,Michigan State League,F20051,Donovan,,0,Manistee,,1b21,donovan
1912Spalding,1911,Michigan State League,B00936,Dull,,0,Traverse City,,B19,dull
1912Spalding,1911,Michigan State League,F21469,Dull,,0,Traverse City,,p,dull
1912Spalding,1911,Michigan State League,P10253,Dull,,0,Traverse City,,p,dull
1912Spalding,1911,Michigan State League,B00680,Dunckel,,0,Traverse City,,B56,dunckel
1912Spalding,1911,Michigan State League,F20095,Dunckel,,0,Traverse City,,1b56,dunckel
1912Spalding,1911,Michigan State League,B00811,Elder,,0,Traverse City,,B22,elder
1912Spalding,1911,Michigan State League,F21502,Elder,,0,Traverse City,,p,elder
1912Spalding,1911,Michigan State League,P10290,Elder,,0,Traverse City,,p,elder
1912Spalding,1911,Michigan State League,B01007,Elmore,,0,Boyne City,,B13,elmore
1912Spalding,1911,Michigan State League,F20153,Elmore,,0,Boyne City,,1b13,elmore
1912Spalding,1911,Michigan State League,B00434,Erickson,,0,Boyne City,,B20,erickson-bc
1912Spalding,1911,Michigan State League,B00833,Erickson,,0,Muskegon,,B13,erickson-mus
1912Spalding,1911,Michigan State League,F21068,Erickson,,0,Boyne City,,of20,erickson-bc
1912Spalding,1911,Michigan State League,F21475,Erickson,,0,Muskegon,,p,erickson-mus
1912Spalding,1911,Michigan State League,P10266,Erickson,,0,Muskegon,,p,erickson-mus
1912Spalding,1911,Michigan State League,B01124,Extine,,0,Boyne City,,B13,extine
1912Spalding,1911,Michigan State League,F21491,Extine,,0,Boyne City,,p,extine
1912Spalding,1911,Michigan State League,P10289,Extine,,0,Boyne City,,p,extine
1912Spalding,1911,Michigan State League,B00961,Ferran,,0,Muskegon,,B27,ferran
1912Spalding,1911,Michigan State League,F21343,Ferran,,0,Muskegon,,p,ferran
1912Spalding,1911,Michigan State League,P10137,Ferran,,0,Muskegon,,p,ferran
1912Spalding,1911,Michigan State League,B00999,Fish,,0,Traverse City,,B24,fish
