source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1913Reach,1912,American Association,B00680,Allen,,0,Minneapolis,,B31,allen
1913Reach,1912,American Association,F21920,Allen,,0,Minneapolis,,c31,allen
1913Reach,1912,American Association,B00229,Altizer,,0,Minneapolis,,B162,altizer
1913Reach,1912,American Association,F20604,Altizer,,0,Minneapolis,,ss162,altizer
1913Reach,1912,American Association,B00771,Altrock,,0,Kansas City,,B19,altrock
1913Reach,1912,American Association,F21403,Altrock,,0,Kansas City,,p19,altrock
1913Reach,1912,American Association,P10925,Altrock,,0,Kansas City,,P19p,altrock
1913Reach,1912,American Association,B01300,Ashenfelder,,0,Indianapolis,,B16,ashenfelder
1913Reach,1912,American Association,F21667,Ashenfelder,,0,Indianapolis,,p21,ashenfelder
1913Reach,1912,American Association,P10266,Ashenfelder,,0,Indianapolis,,P21p,ashenfelder
1913Reach,1912,American Association,P10767,Ashenfelder,,0,Indianapolis,,P21p,ashenfelder
1913Reach,1912,American Association,B00450,Autrey,,0,St. Paul,,B157,autrey
1913Reach,1912,American Association,F20067,Autrey,,0,St. Paul,,1b157,autrey
1913Reach,1912,American Association,B00879,Barbeau,,0,Kansas City,,B137,barbeau
1913Reach,1912,American Association,F20430,Barbeau,,0,Kansas City,,3b135,barbeau
1913Reach,1912,American Association,B01108,Baxter,,0,Kansas City,,B35,baxter
1913Reach,1912,American Association,F21149,Baxter,,0,Kansas City,,of35,baxter
1913Reach,1912,American Association,B00718,Beaumiller,,0,Louisville,,B163,beaumiller
1913Reach,1912,American Association,F20560,Beaumiller,,0,Louisville,,ss163,beaumiller
1913Reach,1912,American Association,B01313,Bell,,0,Louisville,,B50,bell
1913Reach,1912,American Association,F20254,Bell,,0,Louisville,,2b50,bell
1913Reach,1912,American Association,B00293,Blackburn,,0,Milwaukee,,B31,blackburn
1913Reach,1912,American Association,F20547,Blackburn,,0,Milwaukee,,ss19,blackburn
1913Reach,1912,American Association,B00182,Block,,0,St. Paul,,B45,block-stp
1913Reach,1912,American Association,B01143,Block,,0,Milwaukee,,B25,block-mil
1913Reach,1912,American Association,F21904,Block,,0,St. Paul,,c45,block-stp
1913Reach,1912,American Association,F21957,Block,,0,Milwaukee,,c25,block-mil
1913Reach,1912,American Association,B01345,Brady,,0,Toledo,,B36,brady
1913Reach,1912,American Association,F20327,Brady,,0,Toledo,,2b24,brady
1913Reach,1912,American Association,B00961,Bransfield,,0,Louisville,,B47,bransfield
1913Reach,1912,American Association,F20072,Bransfield,,0,Louisville,,1b47,bransfield
1913Reach,1912,American Association,B01321,Breen,,0,Milwaukee,,B28,breen
1913Reach,1912,American Association,F20342,Breen,,0,Milwaukee,,2b15,breen
1913Reach,1912,American Association,B00488,Bronkie,,0,Toledo,,B135,bronkie
1913Reach,1912,American Association,F20449,Bronkie,,0,Toledo,,3b135,bronkie
1913Reach,1912,American Association,B01674,Bruck,,0,Columbus,,B25,bruck
1913Reach,1912,American Association,F21255,Bruck,,0,Columbus,,p25,bruck
1913Reach,1912,American Association,P10137,Bruck,,0,Columbus,,P25p,bruck
1913Reach,1912,American Association,P10622,Bruck,,0,Columbus,,P25p,bruck
1913Reach,1912,American Association,B00705,Burch,,0,Louisville,,B170,burch
1913Reach,1912,American Association,F20832,Burch,,0,Louisville,,of170,burch
1913Reach,1912,American Association,B00920,Burke,,0,Louisville,,B141,burke-lou
1913Reach,1912,American Association,F20334,Burke,,0,Louisville,,2b35,burke-lou
1913Reach,1912,American Association,F20474,Burke,,0,Louisville,,3b91,burke-lou
emilbb,1912,American Association,M90107,Burke,James,,Indianapolis,,,burke-ind
1913Reach,1912,American Association,B00672,Burns,,0,Toledo,,B165,burns-tol
1913Reach,1912,American Association,B01514,Burns,,0,Indianapolis,,B15,burns-min
1913Reach,1912,American Association,F20721,Burns,,0,Toledo,,of165,burns-tol
1913Reach,1912,American Association,F21488,Burns,,0,Minneapolis,,p14,burns-min
1913Reach,1912,American Association,P10516,Burns,,0,Minneapolis,,P14p,burns-min
1913Reach,1912,American Association,B00037,Butler,,0,St. Paul,,B125,butler
1913Reach,1912,American Association,F20636,Butler,,0,St. Paul,,ss84,butler
1913Reach,1912,American Association,F20829,Butler,,0,St. Paul,,of33,butler
1913Reach,1912,American Association,B01658,Cann,,1,Toledo,,,cann
1913Reach,1912,American Association,B01658,Cann,,2,Kansas City,,,cann
1913Reach,1912,American Association,B01658,Cann,,T,,,B17,cann
1913Reach,1912,American Association,F21343,Cann,,1,Toledo,,p,cann
1913Reach,1912,American Association,F21343,Cann,,2,Kansas City,,p,cann
1913Reach,1912,American Association,F21343,Cann,,T,,,p18,cann
1913Reach,1912,American Association,P10780,Cann,,1,Toledo,,p,cann
1913Reach,1912,American Association,P10780,Cann,,2,Kansas City,,p,cann
