source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1913Reach,1912,Canadian League,anderson,B01509,Anderson,,0,,,
1913Reach,1912,Canadian League,applegate,B01029,Applegate,,0,Guelph,,B6
1913Reach,1912,Canadian League,applegate,F20023,Applegate,,0,all,,p6
1913Reach,1912,Canadian League,applegate,P10043,Applegate,,0,Guelph,,P6p
emilbb,1912,Canadian League,,M91371,Applegate,Fred,,Guelph,,
1913Reach,1912,Canadian League,baker,P10407,Baker,,0,Brantford,,P12p
1913Reach,1912,Canadian League,ballinger,P10231,Ballinger,,0,Berlin,,P12p
1913Reach,1912,Canadian League,bardy,F20369,Bardy,,0,all,,1b80
emilbb,1912,Canadian League,,M91339,Barrett,Albert,,London,,
1913Reach,1912,Canadian League,barthold,B00182,Barthold,,0,Peterborough,,B69
1913Reach,1912,Canadian League,barthold,B01337,Barthold,,0,,,
1913Reach,1912,Canadian League,barthold,F20350,Barthold,,0,all,,1b69
1913Reach,1912,Canadian League,bartlett,B01428,Bartlett,,0,,,
1913Reach,1912,Canadian League,bayer,B01321,Bayer,,0,,,
1913Reach,1912,Canadian League,beard,B00783,Beard,,0,Peterborough,,B89
1913Reach,1912,Canadian League,beard,F20560,Beard,,0,all,,of89
1913Reach,1912,Canadian League,beard,P10192,Beard,,0,Peterborough,,P10p
1913Reach,1912,Canadian League,beattie,P10228,Beattie,,0,Brantford,,P16p
1913Reach,1912,Canadian League,beatty,B00667,Beatty,,0,Berlin,,B11
1913Reach,1912,Canadian League,beatty,F20334,Beatty,,0,all,,p11
1913Reach,1912,Canadian League,beckford,B01595,Beckford,,0,,,
1913Reach,1912,Canadian League,behan,B00370,Behan,,0,Peterborough,,B57
1913Reach,1912,Canadian League,,F21241,Behan,,0,all,,
1913Reach,1912,Canadian League,behan,P10348,Behan,,0,Guelph,,P19p
1913Reach,1912,Canadian League,bierbauer,B00196,Bierbauer,,0,London,,B93
1913Reach,1912,Canadian League,bierbauer,F20612,Bierbauer,,0,all,,of93
1913Reach,1912,Canadian League,blake,B00427,Blake,,0,Ottawa,,B39
1913Reach,1912,Canadian League,blake,F20699,Blake,,0,all,,of39
1913Reach,1912,Canadian League,blanchard,B01546,Blanchard,,0,,,
1913Reach,1912,Canadian League,boardman,P10304,Boardman,,0,Guelph,,P10p
emilbb,1912,Canadian League,,M91326,Bowerman,Frank,,London,,
1913Reach,1912,Canadian League,boyle,B00623,Boyle,,0,London,,B47
1913Reach,1912,Canadian League,,F21101,Boyle,,0,all,,c47
1913Reach,1912,Canadian League,bradshaw,B01181,Bradshaw,,0,Berlin,,B16
1913Reach,1912,Canadian League,bradshaw,F20095,Bradshaw,,0,all,,p16
1913Reach,1912,Canadian League,bradshaw,P10244,Bradshaw,,0,Berlin,,P16p
1913Reach,1912,Canadian League,brady,B00434,Brady,,0,Guelph,,B80
1913Reach,1912,Canadian League,bramble,B00961,Bramble,,0,Berlin,,B41
1913Reach,1912,Canadian League,bramble,F20189,Bramble,,0,all,,p41
1913Reach,1912,Canadian League,bramble,P10081,Bramble,,0,Berlin,,P24p
1913Reach,1912,Canadian League,brant,B00566,Brant,,0,Peterborough,,B81
1913Reach,1912,Canadian League,brant,F20768,Brant,,0,all,,ss81
1913Reach,1912,Canadian League,byrnes,F20841,Brynes,,0,all,,3b76
1913Reach,1912,Canadian League,bullock,B00174,Bullock,,0,Berlin,,B92
1913Reach,1912,Canadian League,bullock,F20832,Bullock,,0,all,,3b92
1913Reach,1912,Canadian League,burke,B00293,Burke,,0,St. Thomas,,B95
1913Reach,1912,Canadian League,burke,F20620,Burke,,0,all,,of95
1913Reach,1912,Canadian League,burns,B00450,Burns,,0,Berlin,,B83
1913Reach,1912,Canadian League,burns,F20604,Burns,,0,all,,of83
1913Reach,1912,Canadian League,burrill,B00158,Burrill,,0,Brantford,,B92
1913Reach,1912,Canadian League,burrill,F20539,Burrill,,0,all,,of92
1913Reach,1912,Canadian League,byrnes,B00771,Byrnes,,0,Peterborough,,B76
1913Reach,1912,Canadian League,callahan,B00811,Callahan,,0,Ottawa,,B98
1913Reach,1912,Canadian League,callahan,F20648,Callahan,,0,all,,of98
1913Reach,1912,Canadian League,cambria,B00865,Cambria,,0,Berlin,,B38
1913Reach,1912,Canadian League,cambria,F20571,Cambria,,0,all,,of38
1913Reach,1912,Canadian League,cameron,B00651,Cameron,,0,Hamilton,,B70
1913Reach,1912,Canadian League,cameron,F20737,Cameron,,0,all,,ss70
1913Reach,1912,Canadian League,campbell,B01384,Campbell,,0,,,
