source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/1913Reach,1912,Carolina Association,agnew,B00427,Agnew,,0,Charlotte,,B104
minoraverages/1913Reach,1912,Carolina Association,agnew,B01376,Agnew,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,agnew,B01765,Agnew,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,agnew,B02081,Agnew,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,agnew,F20190,Agnew,,0,Charlotte,,2b105
minoraverages/1913Reach,1912,Carolina Association,bannister,B00623,Bannister,,0,Greenville,,B22
minoraverages/1913Reach,1912,Carolina Association,bannister,F21045,Bannister,,0,Greenville,,p10
minoraverages/1913Reach,1912,Carolina Association,bannister,P10266,Bannister,,0,Greenville,,P10p
minoraverages/1913Reach,1912,Carolina Association,barbare,B00589,Barbare,,0,Greenville,,B114
minoraverages/1913Reach,1912,Carolina Association,barbare,B01466,Barbare,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,barbare,F20287,Barbare,,0,Greenville,,3b112
minoraverages/1913Reach,1912,Carolina Association,bausewein,B00092,Bausewein,,0,Charlotte,,B24
minoraverages/1913Reach,1912,Carolina Association,bausewein,F21000,Bausewein,,0,Charlotte,,p13
minoraverages/1913Reach,1912,Carolina Association,bausewein,P10019,Bausewein,,0,Charlotte,,P10p
minoraverages/1913Reach,1912,Carolina Association,bentley,B00343,Bentley,,0,Charlotte,,B98
minoraverages/1913Reach,1912,Carolina Association,bentley,B01234,Bentley,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,bentley,F20776,Bentley,,0,Charlotte,,of95
minoraverages/1913Reach,1912,Carolina Association,bitting,B00752,Bitting,,0,Anderson,,B73
minoraverages/1913Reach,1912,Carolina Association,bitting,B01242,Bitting,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,bitting,B01551,Bitting,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,bitting,F20316,Bitting,,0,Anderson,,3b73
minoraverages/1913Reach,1912,Carolina Association,blackstone,B00196,Blackstone,,0,Greenville,,B69
minoraverages/1913Reach,1912,Carolina Association,blackstone,B01384,Blackstone,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,blackstone,B01514,Blackstone,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,blackstone,B01779,Blackstone,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,blackstone,F20636,Blackstone,,0,Greenville,,of69
minoraverages/1913Reach,1912,Carolina Association,boyle,B00475,Boyle,,0,Winston-Salem,,B79
minoraverages/1913Reach,1912,Carolina Association,boyle,B01538,Boyle,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,boyle,F20737,Boyle,,0,Winston-Salem,,of15
minoraverages/1913Reach,1912,Carolina Association,boyle,F20855,Boyle,,0,Winston-Salem,,p37
minoraverages/1913Reach,1912,Carolina Association,boyle,P10035,Boyle,,0,Winston-Salem,,P37p
minoraverages/1913Reach,1912,Carolina Association,boyne,B00726,Boyne,,0,Charlotte,,B44
minoraverages/1913Reach,1912,Carolina Association,boyne,F20102,Boyne,,0,Charlotte,,1b43
minoraverages/1913Reach,1912,Carolina Association,brent,B00961,Brent,,0,Winston-Salem,,B31
minoraverages/1913Reach,1912,Carolina Association,brent,F20699,Brent,,0,Winston-Salem,,of31
minoraverages/1913Reach,1912,Carolina Association,brent,B01787,Bront,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,brown,B00651,Brown,,1,Greenville,,
minoraverages/1913Reach,1912,Carolina Association,brown,B00651,Brown,,2,Greensboro,,
minoraverages/1913Reach,1912,Carolina Association,brown,B00651,Brown,,T,,,B113
minoraverages/1913Reach,1912,Carolina Association,brown,B01798,Brown,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,brown,B02056,Brown,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,brown,F20211,Brown,,1,Greenville,,2b
minoraverages/1913Reach,1912,Carolina Association,brown,F20211,Brown,,2,Greensboro,,2b
minoraverages/1913Reach,1912,Carolina Association,brown,F20211,Brown,,T,,,2b90
minoraverages/1913Reach,1912,Carolina Association,brown,F20350,Brown,,0,Greensboro,,ss23
minoraverages/1913Reach,1912,Carolina Association,calmes,B00577,Calmes,,0,Winston-Salem,,B20
minoraverages/1913Reach,1912,Carolina Association,calmes,F20067,Calmes,,0,Winston-Salem,,1b20
minoraverages/emilbb,1912,Carolina Association,,M92068,Clancy,Charles,,Winston-Salem,,
minoraverages/1913Reach,1912,Carolina Association,clapp,B00488,Clapp,,0,Greensboro,,B114
minoraverages/1913Reach,1912,Carolina Association,clapp,B01078,Clapp,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,clapp,B02019,Clapp,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,clapp,F20095,Clapp,,0,Greensboro,,1b41
minoraverages/1913Reach,1912,Carolina Association,clapp,F20604,Clapp,,0,Greensboro,,of65
minoraverages/1913Reach,1912,Carolina Association,clark,B00840,Clark,,0,Spartanburg,,B31
minoraverages/1913Reach,1912,Carolina Association,clark,F20943,Clark,,0,Spartanburg,,p24
minoraverages/1913Reach,1912,Carolina Association,clark,P10097,Clark,,0,Spartanburg,,P20p
minoraverages/1913Reach,1912,Carolina Association,cleveland,B00865,Cleveland,,0,Charlotte,,B28
minoraverages/1913Reach,1912,Carolina Association,cleveland,F21076,Cleveland,,0,Charlotte,,c18
minoraverages/1913Reach,1912,Carolina Association,colby,B00370,Colby,,0,Greenville,,B46
minoraverages/1913Reach,1912,Carolina Association,colby,F21163,Colby,,0,Greenville,,c46
minoraverages/emilbb,1912,Carolina Association,,M92117,Colby,Glenn,,Greenville,,
minoraverages/1913Reach,1912,Carolina Association,corbett,B00076,Corbett,,0,Spartanburg,,B83
minoraverages/1913Reach,1912,Carolina Association,corbett,B01143,Corbett,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,corbett,B01804,Corbett,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,corbett,B01947,Corbett,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,corbett,F20233,Corbett,,0,Spartanburg,,2b61
minoraverages/1913Reach,1912,Carolina Association,corbett,F20265,Corbett,,0,Spartanburg,,3b18
minoraverages/1913Reach,1912,Carolina Association,coutts,B00515,Coutts,,0,Winston-Salem,,B91
minoraverages/1913Reach,1912,Carolina Association,coutts,B01291,Coutts,,0,all,,
minoraverages/1913Reach,1912,Carolina Association,coutts,F20425,Coutts,,0,Winston-Salem,,ss11
minoraverages/1913Reach,1912,Carolina Association,coutts,F20552,Coutts,,0,Winston-Salem,,of79
minoraverages/1913Reach,1912,Carolina Association,coveney,B01250,Coveney,,0,all,,
