source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1913Reach,1912,Central Association,adams,B00811,Adams,,0,Galesburg,,,59,,
minoraverages/1913Reach,1912,Central Association,adams,F21130,Adams,,0,Galesburg,,,,,p33
minoraverages/1913Reach,1912,Central Association,adams,F21879,Adams,,0,Galesburg,,,,,rf14
minoraverages/1913Reach,1912,Central Association,adams,P10266,Adams,,1,Galesburg,,,,,p
minoraverages/1913Reach,1912,Central Association,adams,P10266,Adams,,2,Muscatine,,,,,p
minoraverages/1913Reach,1912,Central Association,adams,P10266,Adams,,T,,,,,,p
minoraverages/1913Reach,1912,Central Association,ahring,B00196,Ahring,,1,Hannibal,,,,,
minoraverages/1913Reach,1912,Central Association,ahring,B00196,Ahring,,2,Muscatine,,,,,
minoraverages/1913Reach,1912,Central Association,ahring,B00196,Ahring,,T,,,,30,,
minoraverages/1913Reach,1912,Central Association,ahring,F20776,Ahring,,1,Hannibal,,,,,3b
minoraverages/1913Reach,1912,Central Association,ahring,F20776,Ahring,,2,Muscatine,,,,,3b
minoraverages/1913Reach,1912,Central Association,ahring,F20776,Ahring,,T,,,,,,3b30
minoraverages/1913Reach,1912,Central Association,alperman,B00356,Alperman,,0,Muscatine,,,125,,
minoraverages/1913Reach,1912,Central Association,alperman,F21469,Alperman,,0,Muscatine,,,,,lf121
minoraverages/1913Reach,1912,Central Association,anderson-gal,B00794,Anderson,,0,Galesburg,,,128,,
minoraverages/1913Reach,1912,Central Association,anderson.a-mus,B01007,Anderson,A.,0,Muscatine,,,49,,
minoraverages/1913Reach,1912,Central Association,anderson.m-mus,B01029,Anderson,M.,0,Muscatine,,,55,,
minoraverages/1913Reach,1912,Central Association,anderson.m-mus,F20482,Anderson,M.,0,all,,,,,2b43
minoraverages/1913Reach,1912,Central Association,anderson.a-mus,F20620,Anderson,A.,0,Muscatine,,,,,2b19
minoraverages/1913Reach,1912,Central Association,anderson.m-mus,F20673,Anderson,M.,0,Muscatine,,,,,3b12
minoraverages/1913Reach,1912,Central Association,anderson.a-mus,F20864,Anderson,A.,0,Muscatine,,,,,3b30
minoraverages/1913Reach,1912,Central Association,anderson-gal,F20878,Anderson,,0,Galesburg,,,,,3b40
minoraverages/1913Reach,1912,Central Association,anderson-gal,F21531,Anderson,,0,Galesburg,,,,,lf18
minoraverages/1913Reach,1912,Central Association,anderson-gal,F21957,Anderson,,0,Galesburg,,,,,rf71
minoraverages/1913Reach,1912,Central Association,andreen,B01300,Andreen,,0,Burlington,,,12,,
minoraverages/1913Reach,1912,Central Association,andreen,F20254,Andreen,,0,Burlington,,,,,1b12
minoraverages/1913Reach,1912,Central Association,barnes,B00771,Barnes,,0,Keokuk,,,64,,
minoraverages/1913Reach,1912,Central Association,barnes,F21084,Barnes,,0,Keokuk,,,,,p30
minoraverages/1913Reach,1912,Central Association,barnes,F21794,Barnes,,0,Keokuk,,,,,rf15
minoraverages/1913Reach,1912,Central Association,barnes,P10312,Barnes,,0,Keokuk,,,,,p
minoraverages/1913Reach,1912,Central Association,baumann,B00747,Baumann,,0,Keokuk,,,57,,
minoraverages/1913Reach,1912,Central Association,baumann,F20552,Baumann,,0,Keokuk,,,,,2b33
minoraverages/1913Reach,1912,Central Association,baumann,F20832,Baumann,,0,Keokuk,,,,,3b24
minoraverages/1913Reach,1912,Central Association,beach,B00957,Beach,,0,Galesburg,,,40,,
minoraverages/1913Reach,1912,Central Association,beach,P10070,Beach,,0,Galesburg,,,,,p
minoraverages/1913Reach,1912,Central Association,bell,B00879,Bell,,0,Burlington,,,26,,
minoraverages/1913Reach,1912,Central Association,bell,F21013,Bell,,0,Burlington,,,,,p24
minoraverages/1913Reach,1912,Central Association,bell,P10145,Bell,,0,Burlington,,,,,p
minoraverages/1913Reach,1912,Central Association,bennett,B00609,Bennett,,0,Muscatine,,,30,,
minoraverages/1913Reach,1912,Central Association,bennett,F20886,Bennett,,0,Muscatine,,,,,3b20
minoraverages/1913Reach,1912,Central Association,bentley,B01108,Bentley,,0,Monmouth,,,23,,
minoraverages/1913Reach,1912,Central Association,bentley,F21125,Bentley,,0,Monmouth,,,,,p16
minoraverages/1913Reach,1912,Central Association,blausser-gal,B00182,Blausser,,0,Galesburg,,,88,,
minoraverages/1913Reach,1912,Central Association,blausser-mon,B00427,Blausser,,0,Monmouth,,,125,,
minoraverages/1913Reach,1912,Central Association,blausser-mon,F20526,Blausser,,0,Monmouth,,,,,2b12
minoraverages/1913Reach,1912,Central Association,blausser-gal,F20768,Blausser,,0,Galesburg,,,,,3b88
minoraverages/1913Reach,1912,Central Association,blausser-mon,F20935,Blausser,,0,Monmouth,,,,,ss113
minoraverages/1913Reach,1912,Central Association,boothby,P10493,Bootby,,0,Muscatine,,,,,p
minoraverages/1913Reach,1912,Central Association,boothby,B00973,Boothby,,0,Muscatine,,,26,,
minoraverages/1913Reach,1912,Central Association,boothby,F21319,Boothby,,0,Muscatine,,,,,p13
