source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/1913Reach,1912,Western League,arbogast,B00695,Abrogast,,0,Omaha,,B50
minoraverages/1913Reach,1912,Western League,alderman,B01546,Alderman,,0,Wichita,,B15
minoraverages/1913Reach,1912,Western League,alderman,F21589,Alderman,,1,Topeka,,p
minoraverages/1913Reach,1912,Western League,alderman,F21589,Alderman,,2,Wichita,,p
minoraverages/1913Reach,1912,Western League,alderman,F21589,Alderman,,T,,,p15
minoraverages/1913Reach,1912,Western League,alderman,P10654,Alderman,,0,Topeka,,P16p
minoraverages/1913Reach,1912,Western League,andreas,B00865,Andreas,,0,Sioux City,,B137
minoraverages/1913Reach,1912,Western League,andreas,F20189,Andreas,,0,Sioux City,,2b137
minoraverages/emilbb,1912,Western League,andreas,M90468,Andreas,"George ""Red""",,Sioux City,,
minoraverages/1913Reach,1912,Western League,arbogast,F21232,Arbogast,,0,Omaha,,c43
minoraverages/1913Reach,1912,Western League,bachant,F21101,Bachant,,1,Lincoln,,c
minoraverages/1913Reach,1912,Western League,bachant,F21101,Bachant,,2,Des Moines,,c
minoraverages/1913Reach,1912,Western League,bachant,F21101,Bachant,,3,St. Joseph,,c
minoraverages/1913Reach,1912,Western League,bachant,F21101,Bachant,,T,,,c17
minoraverages/1913Reach,1912,Western League,bachant,B01181,Bachaut,,0,St. Joseph,,B17
minoraverages/1913Reach,1912,Western League,barbour,B00241,Barbour,,0,Lincoln,,B168
minoraverages/1913Reach,1912,Western League,barbour,F20375,Barbour,,0,Lincoln,,3b168
minoraverages/1913Reach,1912,Western League,bashang,B00680,Bashang,,0,Topeka,,B39
minoraverages/1913Reach,1912,Western League,bashang,F20792,Bashang,,0,Topeka,,of39
minoraverages/1913Reach,1912,Western League,beall,B00092,Beall,,0,Denver,,B162
minoraverages/1913Reach,1912,Western League,beall,F20864,Beall,,0,Denver,,of155
minoraverages/1913Reach,1912,Western League,beebe,B01509,Beebe,,0,Omaha,,B16
minoraverages/1913Reach,1912,Western League,beebe,F21783,Beebe,,0,Omaha,,p16
minoraverages/1913Reach,1912,Western League,beebe,P10100,Beebe,,0,Omaha,,P16p
minoraverages/1913Reach,1912,Western League,belden,B00577,Belden,,0,Des Moines,,B102
minoraverages/1913Reach,1912,Western League,belden,F20685,Belden,,1,Wichita,,of
minoraverages/1913Reach,1912,Western League,belden,F20685,Belden,,2,Des Moines,,of
minoraverages/1913Reach,1912,Western League,belden,F20685,Belden,,T,,,of102
minoraverages/1913Reach,1912,Western League,bell,B01567,Bell,,0,St. Joseph,,B16
minoraverages/1913Reach,1912,Western League,bell,P10633,Bell,,0,St. Joseph,,P17p
minoraverages/1913Reach,1912,Western League,bell,F21752,Belle,,0,St. Joseph,,p16
minoraverages/1913Reach,1912,Western League,berghammer,B00308,Berghammer,,0,Lincoln,,B125
minoraverages/1913Reach,1912,Western League,berghammer,F20547,Berghammer,,0,Lincoln,,ss125
minoraverages/1913Reach,1912,Western League,billings,B01203,Billings,,0,Topeka,,B32
minoraverages/1913Reach,1912,Western League,billings,F21286,Billings,,0,Topeka,,c32
minoraverages/1913Reach,1912,Western League,bills,B00609,Bills,,0,Omaha,,B47
minoraverages/1913Reach,1912,Western League,bills,F20737,Bills,,0,Omaha,,of35
minoraverages/1913Reach,1912,Western League,bills,P10215,Bills,,0,Omaha,,P9p
minoraverages/1913Reach,1912,Western League,block,B00059,Block,,0,Denver,,B73
minoraverages/1913Reach,1912,Western League,block,F21092,Block,,0,Denver,,c64
