source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1914Spalding,1913,California State League,B00286,Abbott,,0,San Jose,,B104,abbott
1914Spalding,1913,California State League,F20425,Abbott,,0,San Jose,,of104,abbott
1914Spalding,1913,California State League,P10290,Adams,,0,San Jose,,P7,adams
1914Spalding,1913,California State League,B00566,Agner,,0,Stockton,,B18,agnew
1914Spalding,1913,California State League,F20604,Agnew,,0,Stockton,,c18,agnew
1914Spalding,1913,California State League,B00553,Andrada,,0,Stockton,,B54,andrada
1914Spalding,1913,California State League,F20350,Andrada,,0,Stockton,,of17,andrada
1914Spalding,1913,California State League,F20792,Andrada,,0,Stockton,,p37,andrada
1914Spalding,1913,California State League,P10043,Andrada,,0,Stockton,,P35,andrada
1914Spalding,1913,California State League,B00319,Arlett,,0,Watsonville,,B71,arlett
1914Spalding,1913,California State League,F20038,Arlett,,0,Watsonville,,1b19,arlett
1914Spalding,1913,California State League,F20430,Arlett,,0,Watsonville,,of13,arlett
1914Spalding,1913,California State League,F20657,Arlett,,0,Watsonville,,p39,arlett
1914Spalding,1913,California State League,P10097,Arlett,,0,Watsonville,,P34,arlett
1914Spalding,1913,California State League,B00450,Bankhead,,0,San Jose,,B89,bankhead
1914Spalding,1913,California State League,F20102,Bankhead,,0,San Jose,,2b83,bankhead
1914Spalding,1913,California State League,B00241,Bender,,0,Fresno,,B122,bender
1914Spalding,1913,California State League,F20388,Bender,,0,Fresno,,of122,bender
1914Spalding,1913,California State League,B00434,Berkel,,0,Fresno,,B21,berkel
1914Spalding,1913,California State League,F20095,Berkel,,0,Fresno,,2b21,berkel
1914Spalding,1913,California State League,B00163,Boeckel,,0,Stockton,,B115,boeckel
1914Spalding,1913,California State League,F20144,Boeckel,,0,Stockton,,2b115,boeckel
1914Spalding,1913,California State League,B00324,Butler,,0,Stockton,,B121,butler
1914Spalding,1913,California State League,F20279,Butler,,0,Stockton,,ss121,butler
1914Spalding,1913,California State League,B00335,Callan,,0,Watsonville,,B113,callan
1914Spalding,1913,California State League,F20131,Callan,,0,Fresno,,2b41,callan
1914Spalding,1913,California State League,F20240,Callan,,0,San Jose,,3b23,callan
1914Spalding,1913,California State League,F20334,Callan,,0,Watsonville,,ss49,callan
1914Spalding,1913,California State League,B00308,Christensen,,0,Watsonville,,B116,christensen
1914Spalding,1913,California State League,F20128,Christensen,,0,Watsonville,,2b84,christensen
1914Spalding,1913,California State League,F20571,Christensen,,0,Watsonville,,c28,christensen
