source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1915Spalding,1914,Western Association,abington,B00397,Abington,,0,Fort Smith,,B121
1915Spalding,1914,Western Association,abington,F20636,Abington,,0,Fort Smith,,of92
1915Spalding,1914,Western Association,albus,B00879,Albus,,0,Muskogee,,B10
1915Spalding,1914,Western Association,albus,F20700,Albus,,0,Muskogee,,of10
1915Spalding,1914,Western Association,aldridge,B01216,Aldridge,,0,Oklahoma City,,B31
1915Spalding,1914,Western Association,aldridge,F21149,Aldridge,,0,Oklahoma City,,p29
1915Spalding,1914,Western Association,aldridge,P10231,Aldridge,,0,Oklahoma City,,P29
1915Spalding,1914,Western Association,armstrong,B00985,Armstrong,,0,Joplin-Webb City,,B22
1915Spalding,1914,Western Association,armstrong,F20784,Armstrong,,0,Joplin-Webb City,,c22
1915Spalding,1914,Western Association,baber,B01162,Baber,,1,Joplin-Webb City,,
1915Spalding,1914,Western Association,baber,B01162,Baber,,2,Tulsa,,
1915Spalding,1914,Western Association,baber,B01162,Baber,,T,,,B20
1915Spalding,1914,Western Association,baber,F21163,Baber,,1,Muskogee,,p
1915Spalding,1914,Western Association,baber,F21163,Baber,,2,Joplin-Webb City,,p
1915Spalding,1914,Western Association,baber,F21163,Baber,,3,Tulsa,,p
1915Spalding,1914,Western Association,baber,F21163,Baber,,T,,,p17
1915Spalding,1914,Western Association,baber,P10253,Baber,,1,Muskogee,,
1915Spalding,1914,Western Association,baber,P10253,Baber,,2,Joplin-Webb City,,
1915Spalding,1914,Western Association,baber,P10253,Baber,,3,Tulsa,,
1915Spalding,1914,Western Association,baber,P10253,Baber,,T,,,P17
1915Spalding,1914,Western Association,barch,B01119,Barch,,1,Fort Smith,,
1915Spalding,1914,Western Association,barch,B01119,Barch,,2,McAlester,,
1915Spalding,1914,Western Association,barch,B01119,Barch,,T,,,B16
1915Spalding,1914,Western Association,barch,F20792,Barch,,1,Fort Smith,,c
1915Spalding,1914,Western Association,barch,F20792,Barch,,2,McAlester,,c
1915Spalding,1914,Western Association,barch,F20792,Barch,,T,,,c16
1915Spalding,1914,Western Association,bauer,B00806,Bauer,,0,Henryetta,,B77
1915Spalding,1914,Western Association,bauer,F20189,Bauer,,1,Joplin-Webb City,,2b
1915Spalding,1914,Western Association,bauer,F20189,Bauer,,2,Tulsa,,2b
1915Spalding,1914,Western Association,bauer,F20189,Bauer,,3,Henryetta,,2b
1915Spalding,1914,Western Association,bauer,F20189,Bauer,,T,,,2b77
1915Spalding,1914,Western Association,beckman,B01197,Beckman,,1,Oklahoma City,,
1915Spalding,1914,Western Association,beckman,B01197,Beckman,,2,Joplin-Webb City,,
1915Spalding,1914,Western Association,beckman,B01197,Beckman,,T,,,B10
1915Spalding,1914,Western Association,beckman,F20807,Beckman,,1,Oklahoma City,,c
1915Spalding,1914,Western Association,beckman,F20807,Beckman,,2,Joplin-Webb City,,c
1915Spalding,1914,Western Association,beckman,F20807,Beckman,,T,,,c10
1915Spalding,1914,Western Association,bell,B01078,Bell,,0,McAlester,,B39
1915Spalding,1914,Western Association,bell,F20737,Bell,,0,McAlester,,c39
1915Spalding,1914,Western Association,blanchette,B00264,Blanchette,,1,Joplin-Webb City,,
1915Spalding,1914,Western Association,blanchette,B00264,Blanchette,,2,Tulsa,,
1915Spalding,1914,Western Association,blanchette,B00264,Blanchette,,T,,,B98
1915Spalding,1914,Western Association,blanchette,F20023,Blanchette,,1,Joplin-Webb City,,1b
1915Spalding,1914,Western Association,blanchette,F20023,Blanchette,,2,Tulsa,,1b
1915Spalding,1914,Western Association,blanchette,F20023,Blanchette,,T,,,1b98
1915Spalding,1914,Western Association,blunk,B01124,Blunk,,1,Joplin-Webb City,,
1915Spalding,1914,Western Association,blunk,B01124,Blunk,,2,Tulsa,,
1915Spalding,1914,Western Association,blunk,B01124,Blunk,,T,,,B20
1915Spalding,1914,Western Association,blunk,F21174,Blunk,,0,Joplin-Webb City,,p13
1915Spalding,1914,Western Association,blunk,P10266,Blunk,,0,Joplin-Webb City,,P13
1915Spalding,1914,Western Association,brady,B01041,Brady,,0,Fort Smith,,B41
1915Spalding,1914,Western Association,brady,F20956,Brady,,0,Fort Smith,,p41
1915Spalding,1914,Western Association,brady,P10043,Brady,,0,Fort Smith,,P41
1915Spalding,1914,Western Association,burch,B00920,Burch,,0,Henryetta,,B14
1915Spalding,1914,Western Association,burch,F20699,Burch,,0,Henryetta,,of14
1915Spalding,1914,Western Association,burge,B00117,Burge,,0,McAlester,,B98
1915Spalding,1914,Western Association,burke,B00362,Burke,,0,Tulsa,,B22
1915Spalding,1914,Western Association,burke,F20768,Burke,,0,Tulsa,,c22
1915Spalding,1914,Western Association,clements,B01010,Clements,,0,Tulsa,,B55
1915Spalding,1914,Western Association,clements,F21013,Clements,,0,Tulsa,,p34
1915Spalding,1914,Western Association,clements,P10100,Clements,,0,Tulsa,,P34
1915Spalding,1914,Western Association,coffin,B00068,Coffin,,0,Tulsa,,B24
1915Spalding,1914,Western Association,coffin,F20287,Coffin,,0,Tulsa,,3b24
1915Spalding,1914,Western Association,collins,B00241,Collins,,1,Henryetta,,
1915Spalding,1914,Western Association,collins,B00241,Collins,,2,Tulsa,,
1915Spalding,1914,Western Association,collins,B00241,Collins,,T,,,B40
1915Spalding,1914,Western Association,collins,F20131,Collins,,0,Henryetta,,2b40
1915Spalding,1914,Western Association,corgan,B00638,Corgan,,0,Fort Smith,,B122
1915Spalding,1914,Western Association,corgan,F20265,Corgan,,0,Fort Smith,,3b122
1915Spalding,1914,Western Association,crowson,B00936,Crowson,,0,McAlester,,B32
1915Spalding,1914,Western Association,crowson,F21207,Crowson,,0,McAlester,,p28
1915Spalding,1914,Western Association,crowson,P10290,Crowson,,0,McAlester,,P28
1915Spalding,1914,Western Association,dameron,B00037,Dameron,,0,Oklahoma City,,B81
1915Spalding,1914,Western Association,dameron,F20102,Dameron,,0,Oklahoma City,,1b81
1915Spalding,1914,Western Association,darnell,B00783,Darnell,,1,Oklahoma City,,
1915Spalding,1914,Western Association,darnell,B00783,Darnell,,2,Tulsa,,
1915Spalding,1914,Western Association,darnell,B00783,Darnell,,T,,,B25
1915Spalding,1914,Western Association,darnell,F20970,Darnell,,1,Oklahoma City,,p
1915Spalding,1914,Western Association,darnell,F20970,Darnell,,2,Tulsa,,p
1915Spalding,1914,Western Association,darnell,F20970,Darnell,,T,,,p24
1915Spalding,1914,Western Association,darnell,P10062,Darnell,,1,Oklahoma City,,
1915Spalding,1914,Western Association,darnell,P10062,Darnell,,2,Tulsa,,
1915Spalding,1914,Western Association,darnell,P10062,Darnell,,T,,,P24
1915Spalding,1914,Western Association,dodson,B00416,Dodson,,0,Muskogee,,B47
1915Spalding,1914,Western Association,dodson,F20713,Dodson,,1,McAlester,,of
1915Spalding,1914,Western Association,dodson,F20713,Dodson,,2,Muskogee,,of
1915Spalding,1914,Western Association,dodson,F20713,Dodson,,T,,,of47
1915Spalding,1914,Western Association,dorsey,B00609,Dorsey,,0,McAlester,,B13
1915Spalding,1914,Western Association,dorsey,F20458,Dorsey,,0,McAlester,,of13
1915Spalding,1914,Western Association,dowie,B00948,Dowie,,0,Oklahoma City,,B85
1915Spalding,1914,Western Association,dowie,F20721,Dowie,,0,Oklahoma City,,c85
1915Spalding,1914,Western Association,egan,B00614,Egan,,0,McAlester,,B11
1915Spalding,1914,Western Association,egan,F20745,Egan,,0,McAlester,,c11
1915Spalding,1914,Western Association,felt,B00434,Felt,,0,Fort Smith,,B92
1915Spalding,1914,Western Association,felt,F20829,Felt,,0,Fort Smith,,c92
1915Spalding,1914,Western Association,flynn,B00059,Flynn,,1,Muskogee,,
1915Spalding,1914,Western Association,flynn,B00059,Flynn,,2,Henryetta,,
1915Spalding,1914,Western Association,flynn,B00059,Flynn,,T,,,B101
1915Spalding,1914,Western Association,flynn,F20571,Flynn,,1,Muskogee,,of
1915Spalding,1914,Western Association,flynn,F20571,Flynn,,2,Henryetta,,of
1915Spalding,1914,Western Association,flynn,F20571,Flynn,,T,,,of101
1915Spalding,1914,Western Association,foresman,B01250,Foresman,,0,Tulsa,,B14
1915Spalding,1914,Western Association,foresman,F21037,Foresman,,0,Tulsa,,p11
1915Spalding,1914,Western Association,foresman,P10121,Foresman,,0,Tulsa,,P11
1915Spalding,1914,Western Association,franklin,B00356,Franklin,,0,Tulsa,,B103
1915Spalding,1914,Western Association,franklin,F20648,Franklin,,0,Tulsa,,of103
1915Spalding,1914,Western Association,gabriel,B00343,Gabriel,,0,Henryetta,,B44
1915Spalding,1914,Western Association,gabriel,F20051,Gabriel,,1,Tulsa,,1b
1915Spalding,1914,Western Association,gabriel,F20051,Gabriel,,2,Henryetta,,1b
1915Spalding,1914,Western Association,gabriel,F20051,Gabriel,,T,,,1b44
1915Spalding,1914,Western Association,gierhart,B00822,Gierhart,,1,McAlester,,
1915Spalding,1914,Western Association,gierhart,B00822,Gierhart,,2,Oklahoma City,,
1915Spalding,1914,Western Association,gierhart,B00822,Gierhart,,T,,,B61
1915Spalding,1914,Western Association,gierhart,F21059,Gierhart,,1,McAlester,,p
1915Spalding,1914,Western Association,gierhart,F21059,Gierhart,,2,Oklahoma City,,p
1915Spalding,1914,Western Association,gierhart,F21059,Gierhart,,T,,,p33
