source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1916Reach,1915,International League,B00577,Almeida,,0,Montreal,,B81,almeida
1916Reach,1915,International League,F20425,Almeida,,0,Montreal,,3b17,almeida
1916Reach,1915,International League,F21045,Almeida,,0,Montreal,,rf42,almeida
1916Reach,1915,International League,P10019,Andrews,,0,Richmond,,P7,andrews
1916Reach,1915,International League,B00264,Aragon,,0,Richmond,,B131,aragon
1916Reach,1915,International League,F20190,Aragon,,0,Richmond,,2b63,aragon
1916Reach,1915,International League,F20657,Aragon,,0,Richmond,,ss24,aragon
1916Reach,1915,International League,F20745,Aragon,,0,Richmond,,lf36,aragon
1916Reach,1915,International League,B00879,Bader,,0,Buffalo,,B51,bader
1916Reach,1915,International League,F21491,Bader,,0,Buffalo,,p48,bader
1916Reach,1915,International League,P10231,Bader,,0,Buffalo,,P48,bader
1916Reach,1915,International League,B01007,Ball,,1,Richmond,,,ball
1916Reach,1915,International League,B01007,Ball,,2,Toronto,,,ball
1916Reach,1915,International League,B01007,Ball,,T,,,B114,ball
1916Reach,1915,International League,F20316,Ball,,1,Richmond,,2b,ball
1916Reach,1915,International League,F20316,Ball,,2,Toronto,,2b,ball
1916Reach,1915,International League,F20316,Ball,,T,,,2b33,ball
1916Reach,1915,International League,F20552,Ball,,1,Richmond,,ss,ball
1916Reach,1915,International League,F20552,Ball,,2,Toronto,,ss,ball
1916Reach,1915,International League,F20552,Ball,,T,,,ss81,ball
1916Reach,1915,International League,B00920,Bankston,,0,Richmond,,B41,bankston
1916Reach,1915,International League,F21149,Bankston,,0,Richmond,,rf41,bankston
1916Reach,1915,International League,B00037,Barney,,0,Jersey City,,B62,barney
1916Reach,1915,International League,F20943,Barney,,0,Jersey City,,cf62,barney
1916Reach,1915,International League,B00319,Barry,,0,Jersey City,,B129,barry
1916Reach,1915,International League,F20038,Barry,,0,Jersey City,,1b129,barry
1916Reach,1915,International League,B00241,Bates,,0,Richmond,,B141,bates
1916Reach,1915,International League,F20792,Bates,,0,Richmond,,lf74,bates
1916Reach,1915,International League,F21000,Bates,,0,Richmond,,cf67,bates
1916Reach,1915,International League,B00667,Beatty,,0,Rochester,,B98,beatty
1916Reach,1915,International League,F20375,Beatty,,0,Rochester,,3b64,beatty
1916Reach,1915,International League,P10024,Beeb,,0,Buffalo,,P35,beebe
1916Reach,1915,International League,B01170,Beebe,,0,Buffalo,,B38,beebe
1916Reach,1915,International League,F21589,Beebe,,0,Buffalo,,p35,beebe
1916Reach,1915,International League,B01514,Bentley,,1,Providence,,,bentley
1916Reach,1915,International League,B01514,Bentley,,2,Jersey City,,,bentley
1916Reach,1915,International League,B01514,Bentley,,T,,,B14,bentley
1916Reach,1915,International League,P10441,Bentley,,1,Providence,,,bentley
1916Reach,1915,International League,P10441,Bentley,,2,Jersey City,,,bentley
1916Reach,1915,International League,P10441,Bentley,,T,,,P10,bentley
1916Reach,1915,International League,F21397,Bently,,1,Providence,,p,bentley
1916Reach,1915,International League,F21397,Bently,,2,Jersey City,,p,bentley
1916Reach,1915,International League,F21397,Bently,,T,,,p10,bentley
1916Reach,1915,International League,B00771,Blake,,0,Jersey City,,B46,blake
1916Reach,1915,International League,B00726,Breckenridge,,0,Richmond,,B35,breckenridge
1916Reach,1915,International League,F21021,Breckenridge,,0,Richmond,,cf30,breckenridge
1916Reach,1915,International League,B01010,Brown,,0,Toronto,,B19,brown-tor
1916Reach,1915,International League,P10569,Brown,,0,Harrisburg,,P7,brown-har
1916Reach,1915,International League,B01617,Bruck,,0,Jersey City,,B37,bruck
1916Reach,1915,International League,F21553,Bruck,,0,Jersey City,,p37,bruck
1916Reach,1915,International League,P10478,Bruck,,0,Jersey City,,P37,bruck
1916Reach,1915,International League,B00450,Bues,,0,Jersey City,,B130,bues
1916Reach,1915,International League,F20350,Bues,,0,Jersey City,,3b130,bues
1916Reach,1915,International League,B01415,Cadore,,0,Montreal,,B30,cadore
1916Reach,1915,International League,F21614,Cadore,,0,Montreal,,p29,cadore
1916Reach,1915,International League,P10385,Cadore,,0,Montreal,,P29,cadore
1916Reach,1915,International League,B00590,Callahan,,0,Harrisburg,,B78,callahan
1916Reach,1915,International League,F21037,Callahan,,0,Harrisburg,,cf75,callahan
1916Reach,1915,International League,B00865,Carlstrom,,0,Buffalo,,B140,carlstrom
1916Reach,1915,International League,F20388,Carlstrom,,0,Buffalo,,3b129,carlstrom
1916Reach,1915,International League,B01321,Carroll,,0,Toronto,,B10,carroll
1916Reach,1915,International League,B00469,Casey,,0,Providence,,B73,casey
1916Reach,1915,International League,F21833,Casey,,0,Providence,,c72,casey
1916Reach,1915,International League,B00403,Cathers,,1,Toronto,,,cathers
1916Reach,1915,International League,B00403,Cathers,,2,Jersey City,,,cathers
1916Reach,1915,International League,B00403,Cathers,,T,,,B59,cathers
1916Reach,1915,International League,F20327,Cathers,,1,Toronto,,2b,cathers
1916Reach,1915,International League,F20327,Cathers,,2,Jersey City,,2b,cathers
1916Reach,1915,International League,F20327,Cathers,,T,,,2b11,cathers
1916Reach,1915,International League,F20482,Cathers,,1,Toronto,,3b,cathers
1916Reach,1915,International League,F20482,Cathers,,2,Jersey City,,3b,cathers
1916Reach,1915,International League,F20482,Cathers,,T,,,3b12,cathers
1916Reach,1915,International League,B01490,Chabek,,0,Harrisburg,,B46,chabek
1916Reach,1915,International League,F21343,Chabek,,0,Harrisburg,,p37,chabek
1916Reach,1915,International League,P10361,Chabek,,0,Harrisburg,,P37,chabek
1916Reach,1915,International League,B00158,Channell,,0,Buffalo,,B130,channell
1916Reach,1915,International League,F21163,Channell,,0,Buffalo,,rf130,channell
1916Reach,1915,International League,B00491,Clements,,0,Rochester,,B140,clements
