source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1917Reach,1916,Interstate League,B00196,Abbott,,0,St. Marys,,B18,abbott
1917Reach,1916,Interstate League,F21672,Abbott,,0,St. Marys,,of18,abbott
1917Reach,1916,Interstate League,B00037,Adams,,0,St. Marys,,B21,adams-stm
1917Reach,1916,Interstate League,B00324,Adams,,0,Erie,,B52,adams-eri
1917Reach,1916,Interstate League,F21609,Adams,,0,St. Marys,,of11,adams-stm
1917Reach,1916,Interstate League,F21705,Adams,,0,Erie,,of50,adams-eri
1917Reach,1916,Interstate League,F22683,Adams,,0,Erie,,p,adams-eri
1917Reach,1916,Interstate League,F22694,Adams,,0,Johnsonburg,,p,adams-joh
1917Reach,1916,Interstate League,F22921,Adams,,0,St. Marys,,p,adams-stm
1917Reach,1916,Interstate League,P10070,Adams,,0,St. Marys,,P5,adams-stm
1917Reach,1916,Interstate League,B01368,Anderson,,0,Erie,,B18,anderson
1917Reach,1916,Interstate League,F20792,Anderson,,0,Erie,,3b18,anderson
1917Reach,1916,Interstate League,B00957,Apple,,0,Wellsville,,B14,apple
1917Reach,1916,Interstate League,F20334,Apple,,0,Wellsville,,2b14,apple
1917Reach,1916,Interstate League,B01384,Armstrong,,1,Wellsville,,,armstrong
1917Reach,1916,Interstate League,B01384,Armstrong,,2,Warren,,,armstrong
1917Reach,1916,Interstate League,B01384,Armstrong,,T,,,B11,armstrong
1917Reach,1916,Interstate League,F22020,Armstrong,,0,all,,of,armstrong
1917Reach,1916,Interstate League,F22992,Armstrong,,0,all,,p,armstrong
1917Reach,1916,Interstate League,P10385,Armstrong,,1,Wellsville,,,armstrong
1917Reach,1916,Interstate League,P10385,Armstrong,,2,Warren,,,armstrong
1917Reach,1916,Interstate League,P10385,Armstrong,,T,,,P8,armstrong
1917Reach,1916,Interstate League,B00948,Artman,,0,Olean,,B14,artman
1917Reach,1916,Interstate League,F21811,Artman,,0,all,,of,artman
1917Reach,1916,Interstate League,F22454,Artman,,0,Olean,,p10,artman
1917Reach,1916,Interstate League,P10348,Artman,,0,Olean,,P10,artman
1917Reach,1916,Interstate League,F20841,Bateman,,0,all,,3b,bateman
1917Reach,1916,Interstate League,B00293,Baxter,,0,Johnsonburg,,B38,baxter
1917Reach,1916,Interstate League,F21084,Baxter,,0,Johnsonburg,,ss38,baxter
1917Reach,1916,Interstate League,B01359,Beck,C.,0,Wellsville,,B11,beck
