source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1917Reach,1916,Northern League,B00021,Adams,,0,Winnipeg,,B117,adams
1917Reach,1916,Northern League,F20023,Adams,,0,Winnipeg,,1b117,adams
1917Reach,1916,Northern League,B00207,Bachant,,0,Fargo-Moorhead,,B68,bachant
1917Reach,1916,Northern League,F20482,Bachant,,0,Fargo-Moorhead,,c68,bachant
1917Reach,1916,Northern League,B00308,Bell,,0,Fargo-Moorhead,,B66,bell
1917Reach,1916,Northern League,F20350,Bell,,0,Fargo-Moorhead,,p66,bell
1917Reach,1916,Northern League,P10062,Bell,,0,all,,,bell
1917Reach,1916,Northern League,B00427,Bentley,,0,Duluth,,B57,bentley
1917Reach,1916,Northern League,F20417,Bentley,,0,Duluth,,p57,bentley
1917Reach,1916,Northern League,P10168,Bentley,,0,all,,,bentley
1917Reach,1916,Northern League,B00335,Benton,,0,Winnipeg,,B25,benton
1917Reach,1916,Northern League,F20375,Benton,,0,Winnipeg,,p25,benton
1917Reach,1916,Northern League,P10024,Benton,,0,all,,,benton
1917Reach,1916,Northern League,B00059,Berger,,0,Winnipeg,,B117,berger
1917Reach,1916,Northern League,F20526,Berger,,0,Winnipeg,,c117,berger
1917Reach,1916,Northern League,B00210,Bergwald,Ted,0,Superior,,B87,burgwald.ted
1917Reach,1916,Northern League,P10184,Bergwald,T.,0,all,,,burgwald.ted
1917Reach,1916,Northern League,B00286,Boardman,,0,Fargo-Moorhead,,B31,boardman
1917Reach,1916,Northern League,F20401,Boardman,,0,Fargo-Moorhead,,p31,boardman
1917Reach,1916,Northern League,P10056,Boardman,,0,all,,,boardman
1917Reach,1916,Northern League,B00084,Brautigan,,0,Superior,,B101,brautigan
1917Reach,1916,Northern League,F20102,Brautigan,,0,Superior,,3b101,brautigan
emilbb,1916,Northern League,M91173,Brautigan,George,,Superior,,,
1917Reach,1916,Northern League,B00068,Brokaw,,0,Winnipeg,,B113,brokaw
1917Reach,1916,Northern League,F20206,Brokaw,,0,Winnipeg,,of113,brokaw
1917Reach,1916,Northern League,B00434,Burden,,0,Superior,,B18,burden
1917Reach,1916,Northern League,F20474,Burden,,0,Superior,,p18,burden
1917Reach,1916,Northern League,P10043,Burden,,0,all,,,burden
1917Reach,1916,Northern League,B00356,Burgwald,Tony,0,Superior,,B100,burgwald.tony
1917Reach,1916,Northern League,F20067,Burgwald,Tony,0,Superior,,2b100,burgwald.tony
1917Reach,1916,Northern League,F20128,Burgwald,Ted,0,Superior,,3b87,burgwald.ted
1917Reach,1916,Northern League,B00130,Conroy,,0,Winnipeg,,B120,conroy
1917Reach,1916,Northern League,F20298,Conroy,,0,Winnipeg,,of120,conroy
1917Reach,1916,Northern League,B00229,Cronin,,0,Winnipeg,,B117,cronin
1917Reach,1916,Northern League,F20115,Cronin,,0,Winnipeg,,3b117,cronin
1917Reach,1916,Northern League,B00469,Culver,,0,Duluth,,B39,culver
1917Reach,1916,Northern League,F20430,Culver,,0,Duluth,,p39,culver
1917Reach,1916,Northern League,P10159,Culver,,0,all,,,culver
emilbb,1916,Northern League,M91199,Davis,"Alfonzo ""Lefty""",,Virginia,,,
1917Reach,1916,Northern League,B00117,DeBus,,0,Fargo-Moorhead,,B100,debus
1917Reach,1916,Northern League,F20189,DeBus,,0,Fargo-Moorhead,,ss100,debus
1917Reach,1916,Northern League,B00092,Donovan,,0,Winnipeg,,B42,donovan
1917Reach,1916,Northern League,F20463,Donovan,,0,Winnipeg,,p42,donovan
1917Reach,1916,Northern League,P10019,Donovan,,0,all,,,donovan
1917Reach,1916,Northern League,B00370,Dries,,0,Fargo-Moorhead,,B113,dries
1917Reach,1916,Northern League,F20131,Dries,,0,Fargo-Moorhead,,3b113,dries
1917Reach,1916,Northern League,B00528,Earhart,,0,Duluth,,B21,earhart
1917Reach,1916,Northern League,F20425,Earhart,,0,Duluth,,p21,earhart
1917Reach,1916,Northern League,P10137,Earhart,,0,all,,,earhart
1917Reach,1916,Northern League,B00037,Ellis,,0,Fargo-Moorhead,,B116,ellis
1917Reach,1916,Northern League,F20222,Ellis,,0,Fargo-Moorhead,,of116,ellis
1917Reach,1916,Northern League,P10070,Ellis,,0,all,,,ellis
1917Reach,1916,Northern League,B00182,Erickson,,0,Superior,,B101,erickson
1917Reach,1916,Northern League,F20496,Erickson,,0,Superior,,c101,erickson
1917Reach,1916,Northern League,B00397,Gervais,,0,Winnipeg,,B31,gervais
1917Reach,1916,Northern League,F20388,Gervais,,0,Winnipeg,,p31,gervais
1917Reach,1916,Northern League,P10100,Gervais,,0,all,,,gervais
1917Reach,1916,Northern League,P10097,Hadloff,,0,all,,,hadloff
1917Reach,1916,Northern League,B00416,Handee,,0,Duluth,,B50,handee
1917Reach,1916,Northern League,F20449,Handee,,0,Duluth,,p50,handee
1917Reach,1916,Northern League,P10081,Handee,,0,all,,,handee
1917Reach,1916,Northern League,B00196,Hewitt,,0,Superior,,B69,hewitt
1917Reach,1916,Northern League,F20303,Hewitt,,0,Superior,,of69,hewitt
1917Reach,1916,Northern League,P10192,Hewitt,,0,all,,,hewitt
emilbb,1916,Northern League,M91185,Jardine,J. J.,,Superior,,,
1917Reach,1916,Northern League,B00491,Johnson,Frank,0,Superior,,B42,johnson
1917Reach,1916,Northern League,F20458,Johnson,Frank,0,Superior,,p42,johnson
1917Reach,1916,Northern League,P10145,Johnson,F.,0,all,,,johnson
1917Reach,1916,Northern League,B00241,Kernan,,0,Fargo-Moorhead,,B118,kernan
1917Reach,1916,Northern League,F20080,Kernan,,0,Fargo-Moorhead,,2b118,kernan
1917Reach,1916,Northern League,B00502,Lane,,0,Duluth,,B41,lane
1917Reach,1916,Northern League,F20327,Lane,,0,Duluth,,p41,lane
1917Reach,1916,Northern League,P10176,Lane,,0,all,,,lane
1917Reach,1916,Northern League,B00403,Lawler,,0,Superior,,B73,lawler
1917Reach,1916,Northern League,F20177,Lawler,,0,Superior,,ss73,lawler
1917Reach,1916,Northern League,B00475,Matts,,0,Superior,,B27,matts
1917Reach,1916,Northern League,F20342,Matts,,0,Superior,,p27,matts
1917Reach,1916,Northern League,P10202,Matts,,0,all,,,matts
1917Reach,1916,Northern League,B00319,Meisner,,0,Superior,,B108,meisner
1917Reach,1916,Northern League,F20233,Meisner,,0,Superior,,of108,meisner
1917Reach,1916,Northern League,B00174,Meixell,,0,Fargo-Moorhead,,B106,meixell
1917Reach,1916,Northern League,F20240,Meixell,,0,Fargo-Moorhead,,of106,meixell
1917Reach,1916,Northern League,B00013,Miller,H.,0,Winnipeg,,B123,miller
1917Reach,1916,Northern League,F20287,Miller,H.,0,Winnipeg,,of123,miller
1917Reach,1916,Northern League,B00158,Moore,,0,Winnipeg,,B75,moore
1917Reach,1916,Northern League,F20539,Moore,,0,Winnipeg,,c75,moore
1917Reach,1916,Northern League,B00278,Nagle,,0,Winnipeg,,B123,nagle
1917Reach,1916,Northern League,F20095,Nagle,,0,Winnipeg,,2b123,nagle
1917Reach,1916,Northern League,B00531,O'Brien,,0,Duluth,,B38,obrien
1917Reach,1916,Northern League,F20051,O'Brien,,0,Duluth,,1b38,obrien
emilbb,1916,Northern League,M91161,O'Brien,"William ""Darby""",,Duluth,,,
1917Reach,1916,Northern League,B00488,Radloff,,0,Winnipeg,,B12,radloff
1917Reach,1916,Northern League,F20316,Radloff,,0,Winnipeg,,p12,radloff
emilbb,1916,Northern League,M91200,Reynolds,Frank,,Fort William-Port Arthur,,,
1917Reach,1916,Northern League,B00450,Rook,,0,Fargo-Moorhead,,B23,rook
1917Reach,1916,Northern League,F20334,Rook,,0,Fargo-Moorhead,,p23,rook
1917Reach,1916,Northern League,P10035,Rook,,0,all,,,rook
1917Reach,1916,Northern League,B00163,Schreiber,,0,Duluth,,B119,schreiber
1917Reach,1916,Northern League,F20072,Schreiber,,0,Duluth,,2b119,schreiber
1917Reach,1916,Northern League,B00362,Shaefer,,0,Duluth,,B26,shaefer
1917Reach,1916,Northern League,F20046,Shaefer,,0,Duluth,,1b26,shaefer
1917Reach,1916,Northern League,B00101,Sheehan,,0,Winnipeg,,B121,sheehan
1917Reach,1916,Northern League,F20153,Sheehan,,0,Winnipeg,,ss121,sheehan
emilbb,1916,Northern League,M91148,Sheehan,John,,Winnipeg,,,
1917Reach,1916,Northern League,B00293,Smith,,0,Fargo-Moorhead,,B72,smith
1917Reach,1916,Northern League,F20505,Smith,,0,Fargo-Moorhead,,c72,smith
1917Reach,1916,Northern League,B00045,Sours,,0,Duluth,,B86,sours
1917Reach,1916,Northern League,F20254,Sours,,0,Duluth,,of86,sours
1917Reach,1916,Northern League,B00442,Stevenson,,0,Winnipeg,,B24,stevenson
1917Reach,1916,Northern League,F20369,Stevenson,,0,Winnipeg,,p24,stevenson
1917Reach,1916,Northern League,P10113,Stevenson,,0,all,,,stevenson
1917Reach,1916,Northern League,B00125,Sundheim,,0,Fargo-Moorhead,,B15,sundheim
1917Reach,1916,Northern League,F20190,Sundheim,,0,Fargo-Moorhead,,ss15,sundheim
1917Reach,1916,Northern League,B00343,Tiffany,,0,Superior,,B109,tiffany
1917Reach,1916,Northern League,F20038,Tiffany,,0,Superior,,1b109,tiffany
1917Reach,1916,Northern League,B00232,Unglaub,,0,Fargo-Moorhead,,B106,unglaub
1917Reach,1916,Northern League,F20014,Unglaub,,0,Fargo-Moorhead,,1b106,unglaub
emilbb,1916,Northern League,M91157,Unglaub,Bob,,Fargo-Moorhead,,,
