source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/1918Reach,1917,New York State League,,B01428,Acton,,0,Scranton,,B8
minoraverages/1918Reach,1917,New York State League,,F21623,Acton,,0,Scranton,,p8
minoraverages/1918Reach,1917,New York State League,,P10035,Acton,,0,Scranton,,p
minoraverages/1918Reach,1917,New York State League,,B01007,Adams,,0,Harrisburg,,B10
minoraverages/1918Reach,1917,New York State League,,F21491,Adams,,0,Harrisburg,,p9
minoraverages/1918Reach,1917,New York State League,,P10056,Adams,,0,Harrisburg,,p
minoraverages/1918Reach,1917,New York State League,,B00695,Armstrong,,0,Reading,,B93
minoraverages/1918Reach,1917,New York State League,,F20594,Armstrong,,0,Reading,,ss93
minoraverages/1918Reach,1917,New York State League,,B00488,Aucker,,0,Binghamton,,B30
minoraverages/1918Reach,1917,New York State League,,F21531,Aucker,,0,Binghamton,,p30
minoraverages/1918Reach,1917,New York State League,,P10320,Aucker,,0,Binghamton,,p
minoraverages/1918Reach,1917,New York State League,,B00117,Babbington,,0,Reading,,B67
minoraverages/1918Reach,1917,New York State League,,F20893,Babbington,,0,Reading,,of67
minoraverages/1918Reach,1917,New York State League,,B01359,Barnes,,1,Reading,,
minoraverages/1918Reach,1917,New York State League,,B01359,Barnes,,2,Harrisburg,,
minoraverages/1918Reach,1917,New York State League,,B01359,Barnes,,T,,,B48
minoraverages/1918Reach,1917,New York State League,,F20745,Barnes,,1,Reading,,of
minoraverages/1918Reach,1917,New York State League,,F20745,Barnes,,2,Harrisburg,,of
minoraverages/1918Reach,1917,New York State League,,F20745,Barnes,,T,,,of18
minoraverages/1918Reach,1917,New York State League,,F21718,Barnes,,1,Reading,,p
minoraverages/1918Reach,1917,New York State League,,F21718,Barnes,,2,Harrisburg,,p
minoraverages/1918Reach,1917,New York State League,,F21718,Barnes,,T,,,p30
minoraverages/1918Reach,1917,New York State League,,P10062,Barnes,,1,Reading,,p
minoraverages/1918Reach,1917,New York State League,,P10062,Barnes,,2,Harrisburg,,p
minoraverages/1918Reach,1917,New York State League,,P10062,Barnes,,T,,,p
minoraverages/1918Reach,1917,New York State League,,B00879,Barnhart,,0,Binghamton,,B35
minoraverages/1918Reach,1917,New York State League,,F21680,Barnhart,,0,Binghamton,,p35
minoraverages/1918Reach,1917,New York State League,,P10289,Barnhart,,0,Binghamton,,p
minoraverages/1918Reach,1917,New York State League,,B00806,Barrs,,0,Reading,,B11
minoraverages/1918Reach,1917,New York State League,,F21286,Barrs,,0,Reading,,of11
minoraverages/1918Reach,1917,New York State League,,B00651,Barry,,0,Reading,,B20
minoraverages/1918Reach,1917,New York State League,,F20962,Barry,,0,Reading,,of20
minoraverages/1918Reach,1917,New York State League,,B00566,Beckvermitt,,0,Scranton,,B10
minoraverages/1918Reach,1917,New York State League,,F20526,Beckvermitt,,0,Scranton,,3b10
minoraverages/1918Reach,1917,New York State League,,B00255,Belanger,,0,Elmira,,B78
minoraverages/1918Reach,1917,New York State League,,F20051,Belanger,,0,Elmira,,1b43
minoraverages/1918Reach,1917,New York State League,,F21092,Belanger,,0,Elmira,,of35
minoraverages/1918Reach,1917,New York State League,,B01093,Beretski,,0,Wilkes-Barre,,B42
minoraverages/1918Reach,1917,New York State League,,F20342,Beretski,,0,Wilkes-Barre,,2b10
minoraverages/1918Reach,1917,New York State League,,F21672,Beretski,,0,Wilkes-Barre,,p27
minoraverages/1918Reach,1917,New York State League,,P10493,Beretski,,0,Wilkes-Barre,,p
minoraverages/1918Reach,1917,New York State League,,B00783,Bilk,,1,Binghamton,,
