source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/1918Reach,1917,Pacific Coast League,,B00833,Adams,,0,Oakland,,B38
minoraverages/1918Reach,1917,Pacific Coast League,,F20131,Adams,,0,Oakland,,1b38
minoraverages/1918Reach,1917,Pacific Coast League,,B00609,Arlett,,0,Oakland,,B78
minoraverages/1918Reach,1917,Pacific Coast League,,F20211,Arlett,,0,Oakland,,2b43
minoraverages/1918Reach,1917,Pacific Coast League,,F21286,Arlett,,0,Oakland,,p22
minoraverages/1918Reach,1917,Pacific Coast League,,P10320,Arlett,,0,Oakland,,P24p
minoraverages/1918Reach,1917,Pacific Coast League,,B00442,Baker,,0,San Francisco,,B121
minoraverages/1918Reach,1917,Pacific Coast League,,F20864,Baker,,0,San Francisco,,c119
minoraverages/1918Reach,1917,Pacific Coast League,,B00811,Baldwin,,0,Portland,,B76
minoraverages/1918Reach,1917,Pacific Coast League,,F20878,Baldwin,,0,Portland,,c76
minoraverages/1918Reach,1917,Pacific Coast League,,B00293,Bassier,,0,Los Angeles,,B94
minoraverages/1918Reach,1917,Pacific Coast League,,F20908,Bassler,,0,Los Angeles,,c86
minoraverages/1918Reach,1917,Pacific Coast League,,B01156,Baum,,0,San Francisco,,B50
minoraverages/1918Reach,1917,Pacific Coast League,,F21101,Baum,,0,San Francisco,,p50
minoraverages/1918Reach,1917,Pacific Coast League,,P10113,Baum,,0,San Francisco,,P50p
minoraverages/1918Reach,1917,Pacific Coast League,,B00531,Beer,,0,Oakland,,B36
minoraverages/1918Reach,1917,Pacific Coast League,,F21293,Beer,,0,Oakland,,p36
minoraverages/1918Reach,1917,Pacific Coast League,,P10231,Beer,,0,Oakland,,P37p
minoraverages/1918Reach,1917,Pacific Coast League,,B00434,Boles,,0,Los Angeles,,B133
minoraverages/1918Reach,1917,Pacific Coast League,,F20855,Boles,,0,Los Angeles,,c131
minoraverages/1918Reach,1917,Pacific Coast League,,B00278,Borton,,0,Portland,,B95
minoraverages/1918Reach,1917,Pacific Coast League,,F20051,Borton,,0,Portland,,1b92
minoraverages/1918Reach,1917,Pacific Coast League,,B01093,Brenton,,0,Portland,,B56
minoraverages/1918Reach,1917,Pacific Coast League,,F21149,Brenton,,0,Portland,,p56
minoraverages/1918Reach,1917,Pacific Coast League,,P10266,Brenton,,0,Portland,,P55p
minoraverages/1918Reach,1917,Pacific Coast League,,B01124,Brown,,0,Los Angeles,,B48
minoraverages/1918Reach,1917,Pacific Coast League,,F21182,Brown,,0,Los Angeles,,p48
minoraverages/1918Reach,1917,Pacific Coast League,,P10176,Brown,,0,Los Angeles,,P48p
minoraverages/1918Reach,1917,Pacific Coast League,,P10429,Burns,,0,Oakland,,P19p
minoraverages/1918Reach,1917,Pacific Coast League,,B00182,Byler,,0,Salt Lake,,B29
minoraverages/1918Reach,1917,Pacific Coast League,,F20962,Byler,,0,Salt Lake,,c29
minoraverages/1918Reach,1917,Pacific Coast League,,B00680,Callahan,,0,Vernon,,B159
minoraverages/1918Reach,1917,Pacific Coast League,,F20463,Callahan,,0,Vernon,,ss149
minoraverages/1918Reach,1917,Pacific Coast League,,B00475,Calvo,,0,San Francisco,,B148
minoraverages/1918Reach,1917,Pacific Coast League,,F20700,Calvo,,0,San Francisco,,of131
minoraverages/1918Reach,1917,Pacific Coast League,,B00427,Chadbourne,,1,Oakland,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00427,Chadbourne,,2,Vernon,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00427,Chadbourne,,T,,,B154
minoraverages/1918Reach,1917,Pacific Coast League,,F20604,Chadbourne,,1,Oakland,,of
minoraverages/1918Reach,1917,Pacific Coast League,,F20604,Chadbourne,,2,Vernon,,of
minoraverages/1918Reach,1917,Pacific Coast League,,F20604,Chadbourne,,T,,,of148
minoraverages/1918Reach,1917,Pacific Coast League,,B01086,Cook,,0,Vernon,,B11
minoraverages/1918Reach,1917,Pacific Coast League,,F20810,Cook,,0,Vernon,,c11
minoraverages/1918Reach,1917,Pacific Coast League,,B00577,Corhan,,0,San Francisco,,B210
minoraverages/1918Reach,1917,Pacific Coast League,,F20458,Corhan,,0,San Francisco,,ss210
minoraverages/1918Reach,1917,Pacific Coast League,,B00241,Crandall,K.,0,Salt Lake,,B135
minoraverages/1918Reach,1917,Pacific Coast League,,B00920,Crandall,O.,0,Los Angeles,,B49
minoraverages/1918Reach,1917,Pacific Coast League,,F20254,Crandall,K.,0,Salt Lake,,2b72
minoraverages/1918Reach,1917,Pacific Coast League,,F20369,Crandall,K.,0,Salt Lake,,3b22
minoraverages/1918Reach,1917,Pacific Coast League,,F20792,Crandall,K.,0,Salt Lake,,of24
minoraverages/1918Reach,1917,Pacific Coast League,,F21158,Crandall,O.,0,Los Angeles,,p49
minoraverages/1918Reach,1917,Pacific Coast League,,P10168,Crandall,,0,Los Angeles,,P49p
minoraverages/1918Reach,1917,Pacific Coast League,,B01242,Dailey,,0,Portland,,B11
minoraverages/1918Reach,1917,Pacific Coast League,,F21403,Dailey,,0,Portland,,p11
minoraverages/1918Reach,1917,Pacific Coast League,,P10373,Dailey,,0,Portland,,P11p
minoraverages/1918Reach,1917,Pacific Coast League,,B00324,Daley,,0,Vernon,,B190
minoraverages/1918Reach,1917,Pacific Coast League,,F20699,Daley,,0,Vernon,,of188
minoraverages/1918Reach,1917,Pacific Coast League,,B00887,Davis,,0,Los Angeles,,B169
minoraverages/1918Reach,1917,Pacific Coast League,,F20316,Davis,,0,Los Angeles,,3b105
minoraverages/1918Reach,1917,Pacific Coast League,,F20482,Davis,,0,Los Angeles,,ss62
minoraverages/1918Reach,1917,Pacific Coast League,,B01227,Decanniere,,1,Vernon,,
minoraverages/1918Reach,1917,Pacific Coast League,,B01227,Decanniere,,2,San Francisco,,
minoraverages/1918Reach,1917,Pacific Coast League,,B01227,Decanniere,,T,,,B25
minoraverages/1918Reach,1917,Pacific Coast League,,F21021,Decanniere,,1,Vernon,,p
minoraverages/1918Reach,1917,Pacific Coast League,,F21021,Decanniere,,2,San Francisco,,p
minoraverages/1918Reach,1917,Pacific Coast League,,F21021,Decanniere,,T,,,p25
minoraverages/1918Reach,1917,Pacific Coast League,,P10304,Decanniere,,1,Vernon,,p
minoraverages/1918Reach,1917,Pacific Coast League,,P10304,Decanniere,,2,San Fracisco,,p
minoraverages/1918Reach,1917,Pacific Coast League,,P10304,Decanniere,,T,,,P25p
minoraverages/1918Reach,1917,Pacific Coast League,,B00403,Doane,,0,Vernon,,B178
minoraverages/1918Reach,1917,Pacific Coast League,,F20571,Doane,,0,Vernon,,of178
minoraverages/1918Reach,1917,Pacific Coast League,,B00638,Downs,,0,San Francisco,,B166
minoraverages/1918Reach,1917,Pacific Coast League,,F20233,Downs,,0,San Francisco,,2b166
minoraverages/1918Reach,1917,Pacific Coast League,,B00319,Duboc,,0,Salt Lake,,B51
minoraverages/1918Reach,1917,Pacific Coast League,,F21037,Duboc,,0,Salt Lake,,p43
minoraverages/1918Reach,1917,Pacific Coast League,,P10290,Duboc,,0,Salt Lake,,P42p
minoraverages/1918Reach,1917,Pacific Coast League,,B00370,Ellis,,1,San Francisco,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00370,Ellis,,2,Los Angeles,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00370,Ellis,,T,,,B179
minoraverages/1918Reach,1917,Pacific Coast League,,F20552,Ellis,,0,Los Angeles,,of178
minoraverages/1918Reach,1917,Pacific Coast League,,B01181,Ericksen,,0,San Francisco,,B62
minoraverages/1918Reach,1917,Pacific Coast League,,F21076,Ericksen,,0,San Francisco,,p62
minoraverages/1918Reach,1917,Pacific Coast League,,P10019,Ericksen,,0,San Francisco,,P62p
minoraverages/1918Reach,1917,Pacific Coast League,,B00936,Evans,,0,Salt Lake,,B47
minoraverages/1918Reach,1917,Pacific Coast League,,F21232,Evans,,0,Salt Lake,,p47
minoraverages/1918Reach,1917,Pacific Coast League,,P10357,Evans,,0,Salt Lake,,P47p
minoraverages/1918Reach,1917,Pacific Coast League,,B00264,Farmer,,0,Portland,,B193
minoraverages/1918Reach,1917,Pacific Coast League,,F20685,Farmer,,0,Portland,,of187
minoraverages/1918Reach,1917,Pacific Coast League,,B00553,Fincher,,0,Portland,,B38
minoraverages/1918Reach,1917,Pacific Coast League,,F21229,Fincher,,0,Portland,,p38
minoraverages/1918Reach,1917,Pacific Coast League,,P10253,Fincher,,0,Portland,,P38p
minoraverages/1918Reach,1917,Pacific Coast League,,B00739,Fisher,,0,Portland,,B123
minoraverages/1918Reach,1917,Pacific Coast League,,F20935,Fisher,,0,Portland,,c123
minoraverages/1918Reach,1917,Pacific Coast League,,B00037,Fitzgerald,,0,San Francisco,,B179
minoraverages/1918Reach,1917,Pacific Coast League,,F20784,Fitzgerald,,0,San Francisco,,of177
minoraverages/1918Reach,1917,Pacific Coast League,,B00125,Fournier,,0,Los Angeles,,B144
minoraverages/1918Reach,1917,Pacific Coast League,,F20046,Fournier,,0,Los Angeles,,1b142
minoraverages/1918Reach,1917,Pacific Coast League,,B00879,Fromme,,0,Vernon,,B43
minoraverages/1918Reach,1917,Pacific Coast League,,F21013,Fromme,,0,Vernon,,p43
minoraverages/1918Reach,1917,Pacific Coast League,,P10137,Fromme,,0,Vernon,,P42p
minoraverages/1918Reach,1917,Pacific Coast League,,B00614,Galloway,,0,Vernon,,B210
minoraverages/1918Reach,1917,Pacific Coast League,,F20342,Galloway,,0,Vernon,,3b210
minoraverages/1918Reach,1917,Pacific Coast League,,B00174,Gardner,E.,0,Los Angeles,,B25
minoraverages/1918Reach,1917,Pacific Coast League,,B00515,Gardner,R.,0,Oakland,,B101
minoraverages/1918Reach,1917,Pacific Coast League,,B00898,Gardner,H.,0,Portland,,B22
minoraverages/1918Reach,1917,Pacific Coast League,,F20080,Gardner,R.,0,Oakland,,1b101
minoraverages/1918Reach,1917,Pacific Coast League,,F20240,Gardner,E.,0,Los Angeles,,2b25
minoraverages/1918Reach,1917,Pacific Coast League,,F21343,Gardner,H.,0,Portland,,p22
minoraverages/1918Reach,1917,Pacific Coast League,,P10035,Gardner,,0,Portland,,P22p
minoraverages/1918Reach,1917,Pacific Coast League,,B00651,Gislason,,0,Salt Lake,,B131
minoraverages/1918Reach,1917,Pacific Coast League,,F20206,Gislason,,0,Salt Lake,,2b131
minoraverages/1918Reach,1917,Pacific Coast League,,B00854,Gleichman,,0,Vernon,,B110
minoraverages/1918Reach,1917,Pacific Coast League,,F20038,Gleichman,,1,Los Angeles,,1b
minoraverages/1918Reach,1917,Pacific Coast League,,F20038,Gleichman,,2,Vernon,,1b
minoraverages/1918Reach,1917,Pacific Coast League,,F20038,Gleichman,,T,,,1b103
minoraverages/1918Reach,1917,Pacific Coast League,,B01041,Goodbred,,0,Oakland,,B54
minoraverages/1918Reach,1917,Pacific Coast League,,F21068,Goodbred,,0,Oakland,,p54
minoraverages/1918Reach,1917,Pacific Coast League,,P10289,Goodbred,,0,Oakland,,P54p
minoraverages/1918Reach,1917,Pacific Coast League,,B00092,Griggs,,1,Vernon,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00092,Griggs,,2,Portland,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00092,Griggs,,T,,,B186
minoraverages/1918Reach,1917,Pacific Coast League,,F20072,Griggs,,1,Vernon,,1b
minoraverages/1918Reach,1917,Pacific Coast League,,F20072,Griggs,,2,Portland,,1b
minoraverages/1918Reach,1917,Pacific Coast League,,F20072,Griggs,,T,,,1b154
minoraverages/1918Reach,1917,Pacific Coast League,,F20807,Griggs,,1,Vernon,,of
minoraverages/1918Reach,1917,Pacific Coast League,,F20807,Griggs,,2,Portland,,of
minoraverages/1918Reach,1917,Pacific Coast League,,F20807,Griggs,,T,,,of24
minoraverages/1918Reach,1917,Pacific Coast League,,B01010,Groehling,,0,Los Angeles,,B40
minoraverages/1918Reach,1917,Pacific Coast League,,F20401,Groehling,,0,Los Angeles,,3b32
minoraverages/1918Reach,1917,Pacific Coast League,,B00865,Hall,,0,Los Angeles,,B49
minoraverages/1918Reach,1917,Pacific Coast League,,F21210,Hall,,0,Los Angeles,,p49
minoraverages/1918Reach,1917,Pacific Coast League,,P10244,Hall,,0,Los Angeles,,P49p
minoraverages/1918Reach,1917,Pacific Coast League,,B00232,Hannah,,0,Salt Lake,,B187
minoraverages/1918Reach,1917,Pacific Coast League,,F20943,Hannah,,0,Salt Lake,,c185
minoraverages/1918Reach,1917,Pacific Coast League,,B00840,Helfrich,,0,Portland,,B15
minoraverages/1918Reach,1917,Pacific Coast League,,F21370,Helfrich,,0,Portland,,p15
minoraverages/1918Reach,1917,Pacific Coast League,,P10312,Helfrich,,0,Portland,,P15p
minoraverages/1918Reach,1917,Pacific Coast League,,B00308,Hoff,,0,Salt Lake,,B33
minoraverages/1918Reach,1917,Pacific Coast League,,F21319,Hoff,,0,Salt Lake,,p33
minoraverages/1918Reach,1917,Pacific Coast League,,P10441,Hoff,,0,Salt Lake,,P33p
minoraverages/1918Reach,1917,Pacific Coast League,,B00718,Hogg,,0,Los Angeles,,B51
minoraverages/1918Reach,1917,Pacific Coast League,,F21174,Hogg,,0,Los Angeles,,p51
minoraverages/1918Reach,1917,Pacific Coast League,,P10056,Hogg,,0,Los Angeles,,P47p
minoraverages/1918Reach,1917,Pacific Coast League,,B00343,Hollocher,,0,Portland,,B200
minoraverages/1918Reach,1917,Pacific Coast League,,F20449,Hollocher,,0,Portland,,ss200
minoraverages/1918Reach,1917,Pacific Coast League,,B00771,Hollywood,,0,San Francisco,,B23
minoraverages/1918Reach,1917,Pacific Coast League,,B00985,Houck,,0,Portland,,B52
minoraverages/1918Reach,1917,Pacific Coast League,,F21255,Houck,,0,Portland,,p52
minoraverages/1918Reach,1917,Pacific Coast League,,P10043,Houck,,0,Portland,,P52p
minoraverages/1918Reach,1917,Pacific Coast League,,B01135,Hovlik,,0,Vernon,,B26
minoraverages/1918Reach,1917,Pacific Coast League,,F21356,Hovlik,,0,Vernon,,p26
minoraverages/1918Reach,1917,Pacific Coast League,,P10407,Hovlik,,0,Vernon,,P25p
minoraverages/1918Reach,1917,Pacific Coast League,,B01197,Hughes,,0,Salt Lake,,B34
minoraverages/1918Reach,1917,Pacific Coast League,,F21381,Hughes,,0,Salt Lake,,p34
minoraverages/1918Reach,1917,Pacific Coast League,,P10432,Hughes,,0,Salt Lake,,P34p
minoraverages/1918Reach,1917,Pacific Coast League,,B00590,Hunter,,1,Vernon,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00590,Hunter,,2,San Francisco,,
minoraverages/1918Reach,1917,Pacific Coast League,,B00590,Hunter,,T,,,B90
minoraverages/1918Reach,1917,Pacific Coast League,,F20298,Hunter,,1,Vernon,,2b
minoraverages/1918Reach,1917,Pacific Coast League,,F20298,Hunter,,2,San Francisco,,2b
minoraverages/1918Reach,1917,Pacific Coast League,,F20298,Hunter,,T,,,2b39
minoraverages/1918Reach,1917,Pacific Coast League,,F20526,Hunter,,1,Vernon,,ss
minoraverages/1918Reach,1917,Pacific Coast League,,F20526,Hunter,,2,San Francisco,,ss
minoraverages/1918Reach,1917,Pacific Coast League,,F20526,Hunter,,T,,,ss32
minoraverages/1918Reach,1917,Pacific Coast League,,B01234,James,,0,Portland,,B26
minoraverages/1918Reach,1917,Pacific Coast League,,F21362,James,,0,Portland,,p26
minoraverages/1918Reach,1917,Pacific Coast League,,P10399,James,,0,Portland,,P27p
minoraverages/1918Reach,1917,Pacific Coast League,,B01216,Johnson,,0,San Francisco,,B58
minoraverages/1918Reach,1917,Pacific Coast League,,F21308,Johnson,,1,Vernon,,p
minoraverages/1918Reach,1917,Pacific Coast League,,F21308,Johnson,,2,San Francisco,,p
minoraverages/1918Reach,1917,Pacific Coast League,,F21308,Johnson,,T,,,p58
minoraverages/1918Reach,1917,Pacific Coast League,,P10100,Johnson,,1,San Francisco,,p
minoraverages/1918Reach,1917,Pacific Coast League,,P10100,Johnson,,2,Vernon,,p
minoraverages/1918Reach,1917,Pacific Coast League,,P10100,Johnson,,T,,,P57p
minoraverages/1918Reach,1917,Pacific Coast League,,P10184,Kallio,,0,San Francisco,,P7p
minoraverages/1918Reach,1917,Pacific Coast League,,B00163,Kenworthy,,0,Los Angeles,,B142
minoraverages/1918Reach,1917,Pacific Coast League,,F20190,Kenworthy,,0,Los Angeles,,2b143
minoraverages/1918Reach,1917,Pacific Coast League,,B00210,Killifer,,0,Los Angeles,,B171
minoraverages/1918Reach,1917,Pacific Coast League,,F20115,Killifer,,0,Los Angeles,,1b25
minoraverages/1918Reach,1917,Pacific Coast League,,F20177,Killifer,,0,Los Angeles,,2b24
minoraverages/1918Reach,1917,Pacific Coast League,,F20425,Killifer,,0,Los Angeles,,3b22
minoraverages/1918Reach,1917,Pacific Coast League,,F20560,Killifer,,0,Los Angeles,,of100
minoraverages/1918Reach,1917,Pacific Coast League,,B01119,Kirmeyer,,0,Salt Lake,,B24
minoraverages/1918Reach,1917,Pacific Coast League,,F21163,Kirmeyer,,0,Salt Lake,,p24
minoraverages/1918Reach,1917,Pacific Coast League,,P10455,Kirmeyer,,0,Salt Lake,,P24p
minoraverages/1918Reach,1917,Pacific Coast League,,B00356,Koerner,,0,San Francisco,,B211
minoraverages/1918Reach,1917,Pacific Coast League,,F20067,Koerner,,0,San Francisco,,1b211
minoraverages/1918Reach,1917,Pacific Coast League,,B00623,Krause,,0,Oakland,,B72
minoraverages/1918Reach,1917,Pacific Coast League,,F21117,Krause,,0,Oakland,,p58
minoraverages/1918Reach,1917,Pacific Coast League,,P10228,Krause,,0,Oakland,,P58p
minoraverages/1918Reach,1917,Pacific Coast League,,B00948,Kremer,,0,Oakland,,B40
minoraverages/1918Reach,1917,Pacific Coast League,,F21196,Kremer,,0,Oakland,,p40
minoraverages/1918Reach,1917,Pacific Coast League,,P10336,Kremer,,0,Oakland,,P40p
minoraverages/1918Reach,1917,Pacific Coast League,,B00726,Lane,,0,Oakland,,B173
minoraverages/1918Reach,1917,Pacific Coast League,,F20713,Lane,,0,Oakland,,of162
minoraverages/1918Reach,1917,Pacific Coast League,,B00667,Lapan,,0,Los Angeles,,B16
minoraverages/1918Reach,1917,Pacific Coast League,,F20829,Lapan,,0,Los Angeles,,c16
minoraverages/1918Reach,1917,Pacific Coast League,,B00752,Leard,,0,Oakland,,B32
minoraverages/1918Reach,1917,Pacific Coast League,,F20303,Leard,,0,Oakland,,2b25
minoraverages/1918Reach,1917,Pacific Coast League,,B00229,Lee,W.,0,Oakland,,B86
minoraverages/1918Reach,1917,Pacific Coast League,,B00362,Lee,C.,0,Portland,,B29
minoraverages/1918Reach,1917,Pacific Coast League,,F20539,Lee,C.,0,Portland,,of17
minoraverages/1918Reach,1917,Pacific Coast League,,F20768,Lee,W.,0,Oakland,,of77
minoraverages/1918Reach,1917,Pacific Coast League,,F20924,Lee,C.,0,Portland,,c12
minoraverages/1918Reach,1917,Pacific Coast League,,B01029,Leverenz,,0,Salt Lake,,B45
minoraverages/1918Reach,1917,Pacific Coast League,,F21207,Leverenz,,0,Salt Lake,,p45
minoraverages/1918Reach,1917,Pacific Coast League,,P10159,Leverenz,,0,Salt Lake,,P45p
minoraverages/1918Reach,1917,Pacific Coast League,,B00528,Maggert,,0,Los Angeles,,B165
minoraverages/1918Reach,1917,Pacific Coast League,,F20648,Maggert,,0,Los Angeles,,of154
minoraverages/1918Reach,1917,Pacific Coast League,,B00117,Maisel,,0,San Francisco,,B169
minoraverages/1918Reach,1917,Pacific Coast League,,F20583,Maisel,,0,San Francisco,,of148
minoraverages/1918Reach,1917,Pacific Coast League,,P10062,Malis,,0,Portland,,P7p
minoraverages/1918Reach,1917,Pacific Coast League,,B01203,Marion,,0,Vernon,,B32
minoraverages/1918Reach,1917,Pacific Coast League,,F21397,Marion,,0,Vernon,,p32
minoraverages/1918Reach,1917,Pacific Coast League,,P10410,Marion,,0,Vernon,,P33p
minoraverages/1918Reach,1917,Pacific Coast League,,B00973,Martin,,0,Oakland,,B19
minoraverages/1918Reach,1917,Pacific Coast League,,F21092,Martin,,0,Oakland,,p17
minoraverages/1918Reach,1917,Pacific Coast League,,P10024,Martin,,0,Oakland,,P17p
minoraverages/1918Reach,1917,Pacific Coast League,,B00255,Mattick,,0,Vernon,,B35
minoraverages/1918Reach,1917,Pacific Coast League,,F20745,Mattick,,0,Vernon,,of35
minoraverages/1918Reach,1917,Pacific Coast League,,B01143,McGinnis,,0,Vernon,,B22
minoraverages/1918Reach,1917,Pacific Coast League,,F20518,McGinnis,,0,Vernon,,ss17
minoraverages/1918Reach,1917,Pacific Coast League,,B00416,McKee,,0,San Francisco,,B68
minoraverages/1918Reach,1917,Pacific Coast League,,F20841,McKee,,0,San Francisco,,c68
