source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1918Reach,1917,Western League,B00577,Adams,,0,Hutchinson,,B53,
1918Reach,1917,Western League,F21286,Adams,,0,St. Joseph-Hutchinson,,p36,
1918Reach,1917,Western League,P10043,Adams,,0,Hutchinson,,P35p,
1918Reach,1917,Western League,P10373,Adams,K.,0,Sioux City,,P8p,
1918Reach,1917,Western League,P10795,Andrew,,0,Denver,,p,
1918Reach,1917,Western League,B01197,Baker,,0,Wichita,,B46,
1918Reach,1917,Western League,F21397,Baker,,0,Wichita,,p45,
1918Reach,1917,Western League,P10121,Baker,,0,Wichita,,P44p,
1918Reach,1917,Western League,P10679,Barham,,0,Omaha,,p,
1918Reach,1917,Western League,B01055,Bartholemy,,0,Denver,,B56,
1918Reach,1917,Western League,F21752,Bartholemy,,0,Denver,,c48,
1918Reach,1917,Western League,B00278,Bayless,,0,Lincoln,,B147,
1918Reach,1917,Western League,F20855,Bayless,,0,Lincoln,,of147,
1918Reach,1917,Western League,B00502,Benson,,0,Hutchinson,,B52,
1918Reach,1917,Western League,F20189,Benson,,0,St. Joseph-Hutchinson,,2b52,
1918Reach,1917,Western League,B00381,Berger,Joe,0,Wichita,,B67,
1918Reach,1917,Western League,B01242,Berger,H.,0,Lincoln,,B37,
1918Reach,1917,Western League,F20648,Berger,Joe,0,Wichita,,ss67,
1918Reach,1917,Western League,F21319,Berger,H.,0,Lincoln,,p32,
1918Reach,1917,Western League,P10290,Berger,,0,Des Moines,,P32p,
1918Reach,1917,Western League,B00293,Berghammer,,0,Lincoln,,B56,
1918Reach,1917,Western League,F20552,Berghammer,,0,Lincoln,,ss56,
1918Reach,1917,Western League,P10591,Blodgett,,0,Lincoln,,p,
1918Reach,1917,Western League,P10665,Bluejacket,,0,Lincoln,,p,
1918Reach,1917,Western League,B00450,Boehler,,0,Denver,,B19,
1918Reach,1917,Western League,F21502,Boehler,,0,Denver,,p19,
1918Reach,1917,Western League,P10192,Boehler,,0,Denver,,P19p,
1918Reach,1917,Western League,B00403,Bradley,,0,Omaha,,B78,
1918Reach,1917,Western League,F20014,Bradley,,0,Omaha,,1b72,
1918Reach,1917,Western League,B00718,Breen,,0,Des Moines,,B100,
1918Reach,1917,Western League,F20051,Breen,,0,Des Moines,,1b15,
1918Reach,1917,Western League,F21638,Breen,,0,Des Moines,,c68,
1918Reach,1917,Western League,B00887,Bremmerhoff,,0,St. Joseph,,B39,
1918Reach,1917,Western League,F21589,Bremmerhoff,,0,Sioux City,,p35,
1918Reach,1917,Western League,P10113,Bremmerhoff,,0,St. Joseph,,P33p,
1918Reach,1917,Western League,B01288,Brokaw,,0,Joplin,,B78,
1918Reach,1917,Western League,F21013,Brokaw,,0,Joplin,,of61,
1918Reach,1917,Western League,B00865,Brottem,,0,Omaha,,B127,
1918Reach,1917,Western League,F21705,Brottem,,0,Omaha,,c120,
1918Reach,1917,Western League,B00898,Burg,,0,Joplin,,B137,
1918Reach,1917,Western League,F20265,Burg,,1,Omaha,,2b,
1918Reach,1917,Western League,F20265,Burg,,2,Joplin,,2b,
1918Reach,1917,Western League,F20265,Burg,,T,,,2b42,
1918Reach,1917,Western League,F20458,Burg,,1,Omaha,,3b,
1918Reach,1917,Western League,F20458,Burg,,2,Joplin,,3b,
1918Reach,1917,Western League,F20458,Burg,,T,,,3b87,
1918Reach,1917,Western League,P10698,Burwell,,0,Joplin,,p,
1918Reach,1917,Western League,B00068,Butcher,,0,Denver,,B148,
1918Reach,1917,Western League,F20334,Butcher,,0,Denver,,2b28,
1918Reach,1917,Western League,F20768,Butcher,,0,Denver,,of118,
1918Reach,1917,Western League,B00638,Butler,,0,Lincoln,,B66,
1918Reach,1917,Western League,F20685,Butler,,0,Lincoln,,ss64,
1918Reach,1917,Western League,B01489,Cain,F.,0,Denver,,B21,
1918Reach,1917,Western League,F21241,Cain,F.,0,Denver,,p21,
1918Reach,1917,Western League,P10455,Cain,,0,Denver,,P21p,
1918Reach,1917,Western League,B00609,Carlisle,,0,Joplin,,B137,
1918Reach,1917,Western League,F20981,Carlisle,,0,Joplin,,of137,
1918Reach,1917,Western League,B00356,Cass,,0,Des Moines,,B146,
1918Reach,1917,Western League,F21059,Cass,,0,Des Moines,,of146,
1918Reach,1917,Western League,P10611,Clark,,0,Sioux City,,p,
1918Reach,1917,Western League,B01453,Clemons,,0,Wichita,,B45,
1918Reach,1917,Western League,F21531,Clemons,,0,Wichita,,p44,
1918Reach,1917,Western League,P10407,Clemons,,0,Wichita,,P44p,
1918Reach,1917,Western League,B00125,Cochran,,0,Joplin,,B147,
1918Reach,1917,Western League,F20463,Cochran,,0,Joplin,,3b135,
1918Reach,1917,Western League,F20636,Cochran,,0,Joplin,,ss10,
1918Reach,1917,Western League,B00286,Coffey,,0,Des Moines,,B142,
1918Reach,1917,Western League,F20190,Coffey,,0,Des Moines,,2b139,
1918Reach,1917,Western League,B01041,Collins,,0,Joplin,,B85,
1918Reach,1917,Western League,F21739,Collins,,0,Joplin,,c52,
1918Reach,1917,Western League,B00101,Connolly,,0,St. Joseph,,B136,
1918Reach,1917,Western League,F20505,Connolly,,0,Sioux City-St. Joseph,,3b77,
1918Reach,1917,Western League,F20829,Connolly,,0,Sioux City-St. Joseph,,of54,
1918Reach,1917,Western League,B00614,Cooke,,0,Wichita,,B15,
1918Reach,1917,Western League,F20375,Cooke,,0,Wichita,,2b15,
1918Reach,1917,Western League,B00973,Cooney,,0,Omaha,,B128,
1918Reach,1917,Western League,F20303,Cooney,,0,Omaha,,2b128,
1918Reach,1917,Western League,B00590,Coy,,0,Wichita,,B147,
1918Reach,1917,Western League,F21117,Coy,,0,Wichita,,of147,
1918Reach,1917,Western League,B00308,Crosby,,0,St. Joseph,,B143,
1918Reach,1917,Western League,F21672,Crosby,,0,Sioux City-St. Joseph,,c143,
1918Reach,1917,Western League,F21566,Currie,,0,Omaha,,p18,
1918Reach,1917,Western League,P10312,Currie,,0,Omaha,,P18p,
1918Reach,1917,Western League,B00013,Dale,,0,Denver,,B30,
1918Reach,1917,Western League,F21293,Dale,,0,Denver,,p20,
1918Reach,1917,Western League,P10215,Dale,,0,Denver,,P19p,
1918Reach,1917,Western League,B00879,Dalton,,0,Joplin,,B95,
1918Reach,1917,Western League,F21084,Dalton,,0,Joplin,,of95,
1918Reach,1917,Western League,B00904,Davis,,0,Wichita,,B134,
1918Reach,1917,Western League,B01007,Davis,,0,Joplin,,B59,
1918Reach,1917,Western League,F20518,Davis,,0,Wichita,,3b98,
1918Reach,1917,Western League,F20571,Davis,,0,Wichita,,ss34,
1918Reach,1917,Western League,F21068,Davis,,0,Joplin,,of59,
1918Reach,1917,Western League,P10860,Davis,,0,Wichita,,p,
1918Reach,1917,Western League,B00427,Devore,,0,Joplin,,B103,
1918Reach,1917,Western League,F21149,Devore,,0,Joplin,,of102,
1918Reach,1917,Western League,B00319,Diltz,,0,Hutchinson,,B106,
1918Reach,1917,Western League,F21174,Diltz,,0,St. Joseph-Hutchinson,,of106,
1918Reach,1917,Western League,B00912,Dobbins,,0,Wichita,,B46,
1918Reach,1917,Western League,F21794,Dobbins,,0,Wichita,,c42,
1918Reach,1917,Western League,B01415,Dressen,,0,Des Moines,,B25,
1918Reach,1917,Western League,F21308,Dressen,,0,Des Moines,,p25,
1918Reach,1917,Western League,P10168,Dressen,,0,Des Moines,,P25p,
1918Reach,1917,Western League,B00854,Dugan,,0,St. Joseph,,B23,
1918Reach,1917,Western League,F20956,Dugan,,0,Sioux City-St. Joseph,,of17,
1918Reach,1917,Western League,B00957,East,,0,Lincoln,,B45,
1918Reach,1917,Western League,F21450,East,,0,Lincoln,,p42,
1918Reach,1917,Western League,P10253,East,,0,Lincoln,,P39p,
1918Reach,1917,Western League,B01156,Eiffert,,0,Lincoln,,B55,
1918Reach,1917,Western League,F20166,Eiffert,,0,Lincoln,,1b24,
1918Reach,1917,Western League,F21771,Eiffert,,0,Lincoln,,c27,
1918Reach,1917,Western League,B00833,Ewoldt,,0,Des Moines,,B145,
1918Reach,1917,Western League,F20391,Ewoldt,,0,Des Moines,,3b129,
1918Reach,1917,Western League,P10542,Ewoldt,,0,Des Moines,,p,
1918Reach,1917,Western League,P10654,Faeth,,0,Joplin,,p,
1918Reach,1917,Western League,B00840,Falk,,0,Hutchinson,,B64,
1918Reach,1917,Western League,F20206,Falk,,0,St. Joseph-Hutchinson,,2b12,
1918Reach,1917,Western League,F20699,Falk,,0,St. Joseph-Hutchinson,,ss43,
1918Reach,1917,Western League,P10588,Ford,,0,Denver,,p,
1918Reach,1917,Western League,B01216,Fortman,E.,0,Des Moines,,B49,
1918Reach,1917,Western League,F20298,Fortman,E.,0,Des Moines,,2b12,
1918Reach,1917,Western League,F20425,Fortman,E.,0,Des Moines,,3b15,
1918Reach,1917,Western League,F21076,Fortman,E.,0,Des Moines,,of13,
1918Reach,1917,Western League,B01250,Gardinier,,0,Lincoln,,B16,
1918Reach,1917,Western League,F21590,Gardinier,,0,Lincoln,,p13,
1918Reach,1917,Western League,P10441,Gardinier,,0,Lincoln,,P15p,
1918Reach,1917,Western League,B01300,Gaspar,,0,St. Joseph,,B35,
1918Reach,1917,Western League,F21210,Gaspar,,0,Sioux City-St. Joseph,,p35,
1918Reach,1917,Western League,P10145,Gaspar,,0,St. Joseph,,P35p,
1918Reach,1917,Western League,B00117,Gilmore,,0,St. Joseph,,B136,
1918Reach,1917,Western League,F20776,Gilmore,,0,Sioux City-St. Joseph,,of136,
1918Reach,1917,Western League,B00651,Giltner,,0,Joplin,,B17,
1918Reach,1917,Western League,F21045,Giltner,,0,Joplin,,of14,
1918Reach,1917,Western League,P10751,Giltner,,0,Joplin,,p,
1918Reach,1917,Western League,B00920,Goalby,,0,Hutchinson,,B31,
1918Reach,1917,Western League,F20287,Goalby,,0,St. Joseph-Hutchinson,,2b27,
1918Reach,1917,Western League,B00515,Goodwin,,0,Wichita,,B146,
1918Reach,1917,Western League,F20211,Goodwin,,0,Wichita,,2b121,
1918Reach,1917,Western League,F20482,Goodwin,,0,Wichita,,3b20,
1918Reach,1917,Western League,B01291,Graham,,0,Joplin,,B22,
1918Reach,1917,Western League,B01428,Graham,,0,Hutchinson,,B39,
1918Reach,1917,Western League,F21403,Graham,,0,St. Joseph-Hutchinson,,p39,
1918Reach,1917,Western League,F21488,Graham,,0,Joplin,,p21,
1918Reach,1917,Western League,P10024,Graham,,0,Joplin,,P19p,
1918Reach,1917,Western League,P10336,Graham,F.,0,Hutchinson,,P39p,
1918Reach,1917,Western League,P10503,Grant,,0,Des Moines,,p,
1918Reach,1917,Western League,P10738,Green,,0,Denver,,p,
1918Reach,1917,Western League,B01032,Gregory,,0,Lincoln,,B60,
1918Reach,1917,Western League,F20962,Gregory,,0,Lincoln,,of16,
1918Reach,1917,Western League,F21416,Gregory,,0,Lincoln,,p34,
1918Reach,1917,Western League,P10097,Gregory,,0,Lincoln,,P39p,
1918Reach,1917,Western League,B00544,Griffin,,0,Lincoln,,B85,
1918Reach,1917,Western League,F20144,Griffin,,0,Lincoln,,1b83,
1918Reach,1917,Western League,B00806,Grover,,0,St. Joseph,,B61,
1918Reach,1917,Western League,F21370,Grover,,0,Sioux City-St. Joseph,,p42,
1918Reach,1917,Western League,P10244,Grover,,0,St. Joseph,,P40p,
1918Reach,1917,Western League,B01227,Hahn,,0,Wichita,,B15,
1918Reach,1917,Western League,F20745,Hahn,,0,Wichita,,of15,
1918Reach,1917,Western League,P10767,Haley,,0,St. Joseph,,p,
1918Reach,1917,Western League,B01368,Hall,,0,Joplin,,B55,
1918Reach,1917,Western League,F21278,Hall,,0,Joplin,,p35,
1918Reach,1917,Western League,P10137,Hall,,0,Joplin,,P52p,
1918Reach,1917,Western League,B01143,Halla,,0,Lincoln,,B41,
1918Reach,1917,Western League,F21356,Halla,,0,Lincoln,,p39,
1918Reach,1917,Western League,P10277,Halla,,0,Lincoln,,P39p,
1918Reach,1917,Western League,P10622,Harrington,,0,Denver,,p,
1918Reach,1917,Western League,P10516,Harris,,0,Denver,,p,
1918Reach,1917,Western League,B00589,Hartford,,0,Des Moines,,B143,
1918Reach,1917,Western League,F20560,Hartford,,0,Des Moines,,ss143,
1918Reach,1917,Western League,B01010,Hartman,,0,Denver,,B107,
1918Reach,1917,Western League,F21037,Hartman,,0,Denver,,of93,
1918Reach,1917,Western League,P10805,Hartman,,0,Denver,,p,
1918Reach,1917,Western League,B00695,Hartzell,,0,Denver,,B62,
1918Reach,1917,Western League,B01108,Hartzell,,0,Hutchinson,,B37,
1918Reach,1917,Western League,F20240,Hartzell,,0,Denver,,2b47,
1918Reach,1917,Western League,F20342,Hartzell,,0,St. Joseph-Hutchinson,,2b29,
1918Reach,1917,Western League,F20759,Harvey,,0,Wichita,,of12,
1918Reach,1917,Western League,B00747,Healey,,0,St. Joseph,,B32,
1918Reach,1917,Western League,F20496,Healey,,0,St. Joseph-Sioux City,,3b32,
1918Reach,1917,Western League,B00174,Henry,F.,0,Hutchinson,,B132,
1918Reach,1917,Western League,F20102,Henry,F.,0,St. Joseph-Hutchinson,,1b132,
1918Reach,1917,Western League,P10709,Higgins,,0,Des Moines,,p,
1918Reach,1917,Western League,B00370,Holly,,0,St. Joseph,,B86,
1918Reach,1917,Western League,F20177,Holly,,0,St. Joseph,,2b73,
1918Reach,1917,Western League,P10772,Hopper,,0,Sioux City-St. Joseph,,p,
1918Reach,1917,Western League,B00241,Horan,,0,Joplin,,B87,
1918Reach,1917,Western League,F21158,Horan,,0,Joplin,,of82,
1918Reach,1917,Western League,P10228,Hovlik,,0,Hutchinson,,P28p,
1918Reach,1917,Western League,B00961,Hunga,,0,St. Joseph,,B64,
1918Reach,1917,Western League,F20254,Hunga,,0,Sioux City-St. Joseph,,2b57,
1918Reach,1917,Western League,B00210,Hunter,F.,0,Joplin,,B27,
1918Reach,1917,Western League,B00255,Hunter,,0,Des Moines,,B138,
1918Reach,1917,Western League,F20131,Hunter,,0,Joplin,,1b27,
1918Reach,1917,Western League,F20908,Hunter,,0,Des Moines,,of137,
1918Reach,1917,Western League,B00488,Irelan,,0,Omaha,,B21,
1918Reach,1917,Western League,F20233,Irelan,,0,Omaha,,2b21,
1918Reach,1917,Western League,P10818,Irion,,0,Denver,,p,
1918Reach,1917,Western League,B00076,Jones,,0,Wichita,,B127,
1918Reach,1917,Western League,F20046,Jones,,0,Wichita,,1b124,
1918Reach,1917,Western League,B01345,Kallio,,0,Des Moines,,B38,
1918Reach,1917,Western League,F21544,Kallio,,0,Des Moines,,p38,
1918Reach,1917,Western League,P10056,Kallio,,0,Des Moines,,P38p,
1918Reach,1917,Western League,B00362,Kelleher,,0,Denver,,B135,
1918Reach,1917,Western League,F20657,Kelleher,,0,Denver,,ss135,
1918Reach,1917,Western League,P10569,Kelly,,0,Sioux City,,p,
1918Reach,1917,Western League,P10550,Kileen,,0,Des Moines,,p,
1918Reach,1917,Western League,B00059,Kirkham,,0,Hutchinson,,B78,
1918Reach,1917,Western League,F20792,Kirkham,,0,St. Joseph-Hutchinson,,of78,
1918Reach,1917,Western League,P10723,Knabler,,0,Denver,,p,
1918Reach,1917,Western League,B00646,Koestner,,0,Wichita,,B65,
1918Reach,1917,Western League,F21324,Koestner,,0,Wichita,,p47,
1918Reach,1917,Western League,P10348,Koestner,,0,Wichita,,P46p,
1918Reach,1917,Western League,B00130,Krug,,0,Omaha,,B128,
1918Reach,1917,Western League,F20673,Krug,,0,Omaha,,ss112,
1918Reach,1917,Western League,P10826,Labat,,0,Joplin,,p,
1918Reach,1917,Western League,B00672,Lamb,L.,0,Joplin,,B144,
1918Reach,1917,Western League,B01124,Lamb,B.,0,Lincoln,,B123,
1918Reach,1917,Western League,F20222,Lamb,L.,0,Joplin,,2b95,
1918Reach,1917,Western League,F20474,Lamb,B.,0,Lincoln,,3b120,
1918Reach,1917,Western League,F20700,Lamb,L.,0,Joplin,,ss44,
1918Reach,1917,Western League,P10839,LeRoy,,0,Joplin,,p,
1918Reach,1917,Western League,B00771,Lindamore,,0,Joplin,,B90,
1918Reach,1917,Western League,F20583,Lindamore,,0,Joplin,,ss90,
1918Reach,1917,Western League,B00739,Lober,,0,Lincoln,,B134,
1918Reach,1917,Western League,F20924,Lober,,0,Lincoln,,of130,
1918Reach,1917,Western League,F21442,Lueschen,,0,Omaha,,p16,
1918Reach,1917,Western League,P10361,Lueschen,,0,Omaha,,P16p,
1918Reach,1917,Western League,B01477,Lyons,,0,Wichita,,B41,
1918Reach,1917,Western League,F21343,Lyons,,0,Wichita,,p41,
1918Reach,1917,Western League,P10184,Lyons,,0,Wichita,,P41p,
1918Reach,1917,Western League,B01029,Manser,,0,Denver,,B41,
1918Reach,1917,Western League,F21264,Manser,,0,Denver,,p37,
1918Reach,1917,Western League,P10320,Manser,,0,Denver,,P37p,
1918Reach,1917,Western League,B01269,Mapel,,0,Joplin,,B43,
1918Reach,1917,Western League,F21362,Mapel,,0,Joplin,,p43,
1918Reach,1917,Western League,P10100,Mapel,,0,Joplin,,P43p,
1918Reach,1917,Western League,P10202,Marks,,0,Wichita,,P6p,
1918Reach,1917,Western League,B00811,Martini,,0,Wichita,,B27,
1918Reach,1917,Western League,F20893,Martini,,0,Wichita,,of27,
1918Reach,1917,Western League,B00207,McBride,,0,Wichita,,B65,
1918Reach,1917,Western League,F20864,McBride,,0,Wichita,,of65,
1918Reach,1917,Western League,B00760,McCabe,,0,Hutchinson,,B145,
1918Reach,1917,Western League,F20350,McCabe,,0,St. Joseph-Hutchinson,,2b28,
1918Reach,1917,Western League,F20784,McCabe,,0,St. Joseph-Hutchinson,,of111,
1918Reach,1917,Western League,B00491,McClellan,,0,Hutchinson,,B143,
1918Reach,1917,Western League,F20449,McClellan,,0,St. Joseph-Hutchinson,,3b131,
1918Reach,1917,Western League,F20547,McClellan,,0,St. Joseph-Hutchinson,,ss10,
1918Reach,1917,Western League,B00726,McCormick,,0,Denver,,B136,
1918Reach,1917,Western League,F21021,McCormick,,0,Denver,,of135,
1918Reach,1917,Western League,P10527,McCormick,,0,Denver,,p,
1918Reach,1917,Western League,P10534,McCoy,,0,Denver,,p,
1918Reach,1917,Western League,B00416,McCullough,,0,Hutchinson,,B15,
1918Reach,1917,Western League,F21475,McCullough,,0,St. Joseph-Hutchinson,,p15,
1918Reach,1917,Western League,P10231,McCullough,,0,Hutchinson,,P13p,
1918Reach,1917,Western League,B01444,McGraynor,,0,Joplin,,B35,
1918Reach,1917,Western League,F21577,McGraynor,,0,Joplin,,p26,
1918Reach,1917,Western League,P10304,McGraynor,,0,Joplin,,P21p,
1918Reach,1917,Western League,P10432,McGuire,,0,Omaha,,P8p,
1918Reach,1917,Western League,B01203,Mers,,0,Omaha,,B45,
1918Reach,1917,Western League,F21434,Merz,,0,Omaha,,p42,
1918Reach,1917,Western League,P10159,Merz,,0,Omaha,,P43p,
1918Reach,1917,Western League,B00335,Metz,,0,Joplin,,B127,
1918Reach,1917,Western League,F20072,Metz,,0,Joplin,,1b127,
1918Reach,1917,Western League,B01313,Meyers,,0,Lincoln,,B19,
1918Reach,1917,Western League,F21255,Meyers,,0,Lincoln,,p19,
1918Reach,1917,Western League,P10176,Meyers,,0,Lincoln,,P19p,
1918Reach,1917,Western League,B00045,Miller,,0,Omaha,,B58,
1918Reach,1917,Western League,F21092,Miller,,0,Omaha,,of57,
1918Reach,1917,Western League,B00343,Mills,,0,Denver,,B149,
1918Reach,1917,Western League,F20023,Mills,,0,Denver,,1b149,
1918Reach,1917,Western League,B00324,Moeller,,0,Des Moines,,B30,
1918Reach,1917,Western League,F21101,Moeller,,0,Des Moines,,of29,
1918Reach,1917,Western League,B00752,Monroe,,0,Joplin,,B120,
1918Reach,1917,Western League,F21760,Monroe,,0,Joplin,,c108,
1918Reach,1917,Western League,B00182,Moore,H.,0,Hutchinson,,B71,
1918Reach,1917,Western League,B01402,Moore,R. C.,0,Omaha,,B23,
1918Reach,1917,Western League,F20401,Moore,,1,St. Joseph,,3b,
1918Reach,1917,Western League,F20401,Moore,,2,Omaha,,3b,
1918Reach,1917,Western League,F20401,Moore,,T,,,3b19,
1918Reach,1917,Western League,F21651,Moore,H.,0,Hutchinson,,c69,
1918Reach,1917,Western League,P10847,Moore,,0,Omaha,,p,
1918Reach,1917,Western League,B01078,Morrison,,0,Wichita,,B28,
1918Reach,1917,Western League,F21130,Morrison,,0,Wichita,,of28,
1918Reach,1917,Western League,B00531,Morse,,0,St. Joseph,,B86,
1918Reach,1917,Western League,F20539,Morse,,0,Sioux City-St. Joseph,,3b14,
1918Reach,1917,Western League,F20807,Morse,,0,Sioux City-St. Joseph,,of69,
1918Reach,1917,Western League,B00434,Mueller,,0,St. Joseph,,B132,
1918Reach,1917,Western League,F20128,Mueller,,0,Sioux City-St. Joseph,,1b129,
1918Reach,1917,Western League,B00469,Murphy,,0,Des Moines,,B39,
1918Reach,1917,Western League,F20810,Murphy,,0,Des Moines,,of38,
1918Reach,1917,Western League,B01466,Musser,,0,Des Moines,,B50,
1918Reach,1917,Western League,F21427,Musser,,0,Des Moines,,p50,
1918Reach,1917,Western League,P10035,Musser,,0,Des Moines,,P48p,
1918Reach,1917,Western League,B01234,Nabors,,0,Denver,,B34,
1918Reach,1917,Western League,F21528,Nabors,,0,Denver,,p34,
1918Reach,1917,Western League,P10410,Nabors,,0,Denver,,P35p,
1918Reach,1917,Western League,B01181,Norman,,0,Des Moines,,B23,
1918Reach,1917,Western League,F21614,Norman,,0,Des Moines,,p23,
1918Reach,1917,Western League,P10493,Norman,,0,Des Moines,,P23p,
1918Reach,1917,Western League,B00623,Nye,,0,Omaha,,B61,
1918Reach,1917,Western League,F20417,Nye,,0,Omaha,,3b54,
1918Reach,1917,Western League,B01119,O'Brien,,0,Hutchinson,,B83,
1918Reach,1917,Western League,F21747,O'Brien,,0,St. Joseph-Hutchinson,,c70,
1918Reach,1917,Western League,B00566,O'Doul,,0,Des Moines,,B19,
1918Reach,1917,Western League,F21609,O'Doul,,0,Des Moines,,p17,
1918Reach,1917,Western League,P10429,O'Doul,,0,Des Moines,,P17p,
1918Reach,1917,Western League,B00092,O'Toole,,0,Omaha,,B48,
1918Reach,1917,Western League,F21469,O'Toole,,0,Omaha,,p43,
1918Reach,1917,Western League,P10266,O'Toole,,0,Omaha,,P43p,
1918Reach,1917,Western League,B00229,Oakes,,0,Denver,,B104,
1918Reach,1917,Western League,F21000,Oakes,,0,Denver,,of104,
1918Reach,1917,Western League,P10780,Olson,,0,St. Joseph,,p,
1918Reach,1917,Western League,B01170,Park,,0,Omaha,,B29,
1918Reach,1917,Western League,F21232,Park,,0,Omaha,,p13,
1918Reach,1917,Western League,P10081,Park,,0,Omaha,,P16p,
1918Reach,1917,Western League,P10019,Payne,,0,Des Moines,,P8p,
1918Reach,1917,Western League,B01359,Payton,,0,Wichita,,B27,
1918Reach,1917,Western League,F20661,Payton,,0,Wichita,,ss19,
1918Reach,1917,Western League,B01431,Powell,,0,Hutchinson,,B32,
1918Reach,1917,Western League,F21553,Powell,,0,St. Joseph-Hutchinson,,p19,
1918Reach,1917,Western League,P10486,Powell,,0,Hutchinson,,P19p,
1918Reach,1917,Western League,B00196,Rader,,0,St. Joseph,,B144,
1918Reach,1917,Western League,F20369,Rader,,0,Sioux City-St. Joseph,,2b15,
1918Reach,1917,Western League,F20594,Rader,,0,Sioux City-St. Joseph,,ss127,
1918Reach,1917,Western League,P10640,Reed,,0,Lincoln,,p,
1918Reach,1917,Western League,B01135,Reuther,,0,Wichita,,B33,
1918Reach,1917,Western League,F20919,Reuther,,0,Wichita,,of33,
1918Reach,1917,Western League,B01514,Richardson,,0,Hutchinson,,B12,
1918Reach,1917,Western League,F21726,Richardson,,0,St. Joseph-Hutchinson,,c12,
1918Reach,1917,Western League,P10687,Robertson,,0,Hutchinson,,p,
1918Reach,1917,Western League,B00985,Rohrer,,0,Lincoln,,B123,
1918Reach,1917,Western League,F21680,Rohrer,,0,Lincoln,,c122,
1918Reach,1917,Western League,F21229,Rook,,0,Denver,,p12,
1918Reach,1917,Western League,P10464,Rook,,0,Denver,,P12p,
1918Reach,1917,Western League,B01321,Rose,,0,St. Joseph,,B29,
1918Reach,1917,Western League,F21196,Rose,,0,Sioux City-St. Joseph,,p26,
1918Reach,1917,Western League,P10062,Rose,,0,Sioux City-St. Joseph,,P28p,
1918Reach,1917,Western League,B01376,Sanders,,0,Joplin,,B45,
1918Reach,1917,Western League,F21335,Sanders,,0,Joplin,,p45,
1918Reach,1917,Western League,P10070,Sanders,,0,Joplin,,P45p,
1918Reach,1917,Western League,P10575,Sandusky,,0,St. Joseph,,p,
1918Reach,1917,Western League,B00232,Schick,,0,Omaha,,B72,
1918Reach,1917,Western League,F20935,Schick,,0,Omaha,,of71,
1918Reach,1917,Western League,B00442,Schmandt,,0,Lincoln,,B87,
1918Reach,1917,Western League,F20067,Schmandt,,0,Lincoln,,1b42,
1918Reach,1917,Western League,F20316,Schmandt,,0,Lincoln,,2b27,
1918Reach,1917,Western League,B01384,Selk,,0,Lincoln,,B26,
1918Reach,1917,Western League,F20526,Selk,,0,Lincoln,,3b22,
1918Reach,1917,Western League,B00037,Shanley,,0,Des Moines,,B39,
