source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1947TSN,1946,Eastern Shore League,P10290,(Zak)aluzny,,0,Seaford,,P7p,zakaluzny
1947TSN,1946,Eastern Shore League,B02963,Adametz,Stephen,0,Salisbury,,,adametz
1947TSN,1946,Eastern Shore League,P10100,Adametz,,0,Salisbury,,P8p,adametz
1947TSN,1946,Eastern Shore League,B00370,Allega,Jack,0,Seaford,,B106,allega
1947TSN,1946,Eastern Shore League,F20657,Allega,,0,Seaford,,ss130,allega
1947TSN,1946,Eastern Shore League,B00324,Archambeault,Conrad,0,Easton,,B18,archambeault
1947TSN,1946,Eastern Shore League,F20287,Archambeault,,0,Easton,,2b14,archambeault
1947TSN,1946,Eastern Shore League,B01415,Arendt,Reid,0,Seaford,,B12,arendt
1947TSN,1946,Eastern Shore League,P11102,Arendt,Reid,0,Seaford,,P6p,arendt
1947TSN,1946,Eastern Shore League,B00739,Argeros,James,0,Milford,,B78,argeros
1947TSN,1946,Eastern Shore League,F21488,Argeros,,0,Milford,,c66,argeros
1947TSN,1946,Eastern Shore League,B01696,Armbruster,Eugene,0,Federalsburg,,B39,armbruster
1947TSN,1946,Eastern Shore League,F21255,Armbruster,,0,Federalsburg,,of39,armbruster
1947TSN,1946,Eastern Shore League,B02304,Bailey,Melvin,0,Centreville,,,bailey
1947TSN,1946,Eastern Shore League,B03009,Bakaitis,Peter,0,Salisbury,,,bakaitis
1947TSN,1946,Eastern Shore League,P10826,Bakaitis,Peter,0,Salisbury,,P4p,bakaitis
1947TSN,1946,Eastern Shore League,B01337,Baker,Leonard,0,Dover,,B32,baker
1947TSN,1946,Eastern Shore League,F22012,Baker,,0,Dover,,p32,baker
1947TSN,1946,Eastern Shore League,P10312,Baker,,0,Dover,,P32p,baker
1947TSN,1946,Eastern Shore League,B01595,Baktis,Simon,0,Seaford,,B11,baktis
1947TSN,1946,Eastern Shore League,B01135,Bareford,Robert,0,Cambridge,,B33,bareford
1947TSN,1946,Eastern Shore League,F21381,Bareford,,0,Cambridge,,c30,bareford
1947TSN,1946,Eastern Shore League,B03153,Bargas,John,0,Seaford,,,bargas
1947TSN,1946,Eastern Shore League,B00125,Barth,Joseph,0,Milford,,B11,barth
1947TSN,1946,Eastern Shore League,F21638,Barth,,0,Milford,,p10,barth
1947TSN,1946,Eastern Shore League,P10503,Barth,,0,Milford,,P10p,barth
1947TSN,1946,Eastern Shore League,B00531,Bazarnick,Arthur,0,Federalsburg,,B31,bazarnick
1947TSN,1946,Eastern Shore League,F21149,Bazarnick,,0,Federalsburg,,of30,bazarnick
1947TSN,1946,Eastern Shore League,B02035,Bechtel,Charles,0,Dover,,B23,bechtel
1947TSN,1946,Eastern Shore League,F21985,Bechtel,,0,Dover,,p21,bechtel
1947TSN,1946,Eastern Shore League,P10687,Bechtel,,0,Dover,,P21p,bechtel
1947TSN,1946,Eastern Shore League,B00577,Becker,Joseph,0,Seaford,,B37,becker
1947TSN,1946,Eastern Shore League,F21293,Becker,,0,Seaford,,c34,becker
emilbb,1946,Eastern Shore League,M92833,Becker,Joe,,Seaford,,,becker
1947TSN,1946,Eastern Shore League,B02751,Behrman,Howard,0,Federalsburg,,,behrman
1947TSN,1946,Eastern Shore League,B00957,Belcik,Andrew,0,Cambridge,,B74,belcik
1947TSN,1946,Eastern Shore League,F20496,Belcik,,0,Cambridge,,3b16,belcik
1947TSN,1946,Eastern Shore League,F21163,Belcik,,0,Cambridge,,of56,belcik
1947TSN,1946,Eastern Shore League,B02925,Bellam,John,0,Milford,,,bellam
1947TSN,1946,Eastern Shore League,B01836,Beringer,Carroll,0,Cambridge,,B30,beringer
