source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1947TSN,1946,Middle Atlantic League,B00491,Alotta,Philip,0,Erie,,B63,alotta
1947TSN,1946,Middle Atlantic League,F21117,Alotta,,0,Erie,,3b7,alotta
1947TSN,1946,Middle Atlantic League,F21833,Alotta,,0,Erie,,of55,alotta
1947TSN,1946,Middle Atlantic League,B00904,Americo,Peter,0,Youngstown,,B25,americo
1947TSN,1946,Middle Atlantic League,F20222,Americo,,0,Youngstown,,1b1,americo
1947TSN,1946,Middle Atlantic League,F22890,Americo,,0,Youngstown,,p18,americo
1947TSN,1946,Middle Atlantic League,P10478,Americo,,0,Youngstown,,P18p,americo
1947TSN,1946,Middle Atlantic League,B00163,Anderson,Harry,0,Butler,,B131,anderson
1947TSN,1946,Middle Atlantic League,F20023,Anderson,,0,Butler,,1b131,anderson
1947TSN,1946,Middle Atlantic League,B00528,Angelone,John,0,Johnstown,,B26,angelone
1947TSN,1946,Middle Atlantic League,F21241,Angelone,,0,Johnstown,,ss26,angelone
1947TSN,1946,Middle Atlantic League,B01820,Backner,Thomas,0,Youngstown,,B8,backner
1947TSN,1946,Middle Atlantic League,F20962,Backner,T.,0,Youngstown,,3b1,backner
1947TSN,1946,Middle Atlantic League,B01093,Bamberger,George,0,Erie,,B31,bamberger
1947TSN,1946,Middle Atlantic League,F21957,Bamberger,,0,Erie,,of1,bamberger
1947TSN,1946,Middle Atlantic League,F22831,Bamberger,,0,Erie,,p26,bamberger
1947TSN,1946,Middle Atlantic League,P10019,Bamberger,,0,Erie,,P26p,bamberger
1947TSN,1946,Middle Atlantic League,B00912,Bartolomei,Philip,0,Erie,,B41,bartolomei
1947TSN,1946,Middle Atlantic League,F20924,Bartolomei,,0,Erie,,3b9,bartolomei
1947TSN,1946,Middle Atlantic League,F21232,Bartolomei,,0,Erie,,ss32,bartolomei
1947TSN,1946,Middle Atlantic League,B01197,Baylon,Patrick,1,Oil City,,,baylon
1947TSN,1946,Middle Atlantic League,B01197,Baylon,Patrick,2,Butler,,,baylon
1947TSN,1946,Middle Atlantic League,B01197,Baylon,Patrick,T,,,B30,baylon
1947TSN,1946,Middle Atlantic League,F20594,Baylon,,0,Oil City,,2b7,baylon
1947TSN,1946,Middle Atlantic League,F21059,Baylon,,0,Oil City,,3b9,baylon
1947TSN,1946,Middle Atlantic League,F21343,Baylon,,0,Oil City,,ss10,baylon
1947TSN,1946,Middle Atlantic League,B01392,Bazarnick,Arthur,0,Youngstown,,B19,bazarnick
1947TSN,1946,Middle Atlantic League,F20287,Bazarnick,,0,Youngstown,,1b3,bazarnick
1947TSN,1946,Middle Atlantic League,F21752,Bazarnick,,0,Youngstown,,of15,bazarnick
1947TSN,1946,Middle Atlantic League,B00092,Behie,William,0,Butler,,B128,behie
1947TSN,1946,Middle Atlantic League,F21822,Behie,,0,Butler,,of128,behie
1947TSN,1946,Middle Atlantic League,B00920,Bell,Earl Jackson,0,Butler,,B30,bell
1947TSN,1946,Middle Atlantic League,F20612,Bell,,0,Butler,,2b8,bell
1947TSN,1946,Middle Atlantic League,F20841,Bell,,0,Butler,,3b18,bell
1947TSN,1946,Middle Atlantic League,F22191,Bell,,0,Butler,,of2,bell
1947TSN,1946,Middle Atlantic League,B01345,Bellany,Joseph,0,Niagara Falls,,B37,bellany
1947TSN,1946,Middle Atlantic League,F22517,Bellany,,0,Niagara Falls,,c33,bellany
1947TSN,1946,Middle Atlantic League,B01170,Beres,Chester,0,Johnstown,,B15,beres
1947TSN,1946,Middle Atlantic League,F22134,Beres,,0,Johnstown,,of3,beres
1947TSN,1946,Middle Atlantic League,F23098,Beres,,0,Johnstown,,p11,beres
1947TSN,1946,Middle Atlantic League,F23535,Beres,,0,Johnstown,,p2,beres
1947TSN,1946,Middle Atlantic League,P10320,Beres,,0,Johnstown,,P11p,beres
1947TSN,1946,Middle Atlantic League,B01428,Billings,Jack,0,Johnstown,,B21,billings
1947TSN,1946,Middle Atlantic League,F20177,Billings,,0,Johnstown,,1b2,billings
1947TSN,1946,Middle Atlantic League,F21904,Billings,,0,Johnstown,,of17,billings
1947TSN,1946,Middle Atlantic League,B01740,Birch,Paul,0,Youngstown,,B8,birch
1947TSN,1946,Middle Atlantic League,F20571,Birch,,0,Youngstown,,2b8,birch
emilbb,1946,Middle Atlantic League,M92037,Birch,Paul,,Youngstown,,,birch
1947TSN,1946,Middle Atlantic League,B01007,Blachner,Joseph E.,0,Youngstown,,B26,blachner
1947TSN,1946,Middle Atlantic League,F21898,Blachner,,0,Youngstown,,of25,blachner
1947TSN,1946,Middle Atlantic League,F20699,Blackner,T.,0,Youngstown,,2b7,blackner
1947TSN,1946,Middle Atlantic League,B01337,Blaylock,Jack,0,Johnstown,,B49,blaylock
1947TSN,1946,Middle Atlantic League,F22574,Blaylock,,0,Johnstown,,c36,blaylock
1947TSN,1946,Middle Atlantic League,B00182,Blonski,Edward,0,Johnstown,,B10,blonski
1947TSN,1946,Middle Atlantic League,F20661,Blonski,,0,Johnstown,,2b4,blonski
1947TSN,1946,Middle Atlantic League,F21084,Blonski,,0,Johnstown,,3b6,blonski
1947TSN,1946,Middle Atlantic League,B00623,Bolick,Milton,0,Butler,,B27,bolick
1947TSN,1946,Middle Atlantic League,F20375,Bolick,,0,Butler,,2b27,bolick
1947TSN,1946,Middle Atlantic League,B00646,Booth,Jack,0,Youngstown,,B90,booth
1947TSN,1946,Middle Atlantic League,F20067,Booth,J.,0,Youngstown,,1b90,booth
1947TSN,1946,Middle Atlantic League,B00264,Borowicz,Ray,0,Butler,,B61,borowicz
1947TSN,1946,Middle Atlantic League,F20673,Borowicz,,0,Butler,,2b6,borowicz
1947TSN,1946,Middle Atlantic League,F20832,Borowicz,,0,Butler,,3b55,borowicz
1947TSN,1946,Middle Atlantic League,B00324,Brennan,Donald,0,Erie,,B120,brennan
1947TSN,1946,Middle Atlantic League,F20784,Brennan,,0,Erie,,3b115,brennan
1947TSN,1946,Middle Atlantic League,F21397,Brennan,,0,Erie,,ss2,brennan
1947TSN,1946,Middle Atlantic League,F23136,Brennan,,0,Erie,,p8,brennan
1947TSN,1946,Middle Atlantic League,P10534,Brennan,,0,Erie,,p,brennan
1947TSN,1946,Middle Atlantic League,B01836,Brickman,Edward,0,Butler,,B9,brickman
1947TSN,1946,Middle Atlantic League,F22647,Brickman,,0,Butler,,c9,brickman
1947TSN,1946,Middle Atlantic League,B01926,Buckholtz,John,0,Oil City,,B8,buckholtz
1947TSN,1946,Middle Atlantic League,F20254,Buckholtz,,0,Oil City,,1b8,buckholtz
1947TSN,1946,Middle Atlantic League,B01663,Buffamonte,Fred,0,Niagara Falls,,B5,buffamonte
1947TSN,1946,Middle Atlantic League,F20636,Buffamonte,,0,Niagara Falls,,2b4,buffamonte
1947TSN,1946,Middle Atlantic League,B01181,Buffone,Martin,1,Oil City,,,buffone
1947TSN,1946,Middle Atlantic League,B01181,Buffone,Martin,2,Youngstown,,,buffone
1947TSN,1946,Middle Atlantic League,B01181,Buffone,Martin,T,,,B16,buffone
1947TSN,1946,Middle Atlantic League,F21651,Buffone,,1,Youngstown,,of,buffone
1947TSN,1946,Middle Atlantic League,F21651,Buffone,,2,Oil City,,of,buffone
1947TSN,1946,Middle Atlantic League,F21651,Buffone,,T,,,of10,buffone
1947TSN,1946,Middle Atlantic League,B01848,Burchfield,Columbus,0,Butler,,B7,buchfield
1947TSN,1946,Middle Atlantic League,F21210,Burchfield,,0,Butler,,3b2,buchfield
1947TSN,1946,Middle Atlantic League,F22406,Burchfield,,0,Butler,,of2,buchfield
1947TSN,1946,Middle Atlantic League,B01509,Busco,Tony,0,Niagara Falls,,B11,busco
1947TSN,1946,Middle Atlantic League,F22694,Busco,,0,Niagara Falls,,p10,busco
1947TSN,1946,Middle Atlantic League,P10176,Busco,,0,Niagara Falls,,P11p,busco
1947TSN,1946,Middle Atlantic League,B01658,Butcher,James,0,Oil City,,B6,butcher
1947TSN,1946,Middle Atlantic League,F23409,Butcher,,0,Oil City,,p6,butcher
1947TSN,1946,Middle Atlantic League,P10640,Butcher,,0,Oil City,,p,butcher
1947TSN,1946,Middle Atlantic League,B02168,Cardinale,Philip,0,Johnstown,,B2,cardinale
1947TSN,1946,Middle Atlantic League,F21125,Cardinale,,0,Johnstown,,3b2,cardinale
1947TSN,1946,Middle Atlantic League,P10588,Cigolani,,0,Erie,,p,cingolani
1947TSN,1946,Middle Atlantic League,B01983,Cingolani,Dino,0,Erie,,B5,cingolani
1947TSN,1946,Middle Atlantic League,F23414,Cingolani,,0,Erie,,p5,cingolani
1947TSN,1946,Middle Atlantic League,B00961,Ciori,Anthony,0,Butler,,B10,ciori
1947TSN,1946,Middle Atlantic League,F22238,Ciori,,0,Butler,,of9,ciori
1947TSN,1946,Middle Atlantic League,B00502,Colombo,Michael,0,Erie,,B110,colombo
1947TSN,1946,Middle Atlantic League,F21544,Colombo,,0,Erie,,of105,colombo
1947TSN,1946,Middle Atlantic League,B00957,Cone,Elmer,0,Youngstown,,B100,cone
1947TSN,1946,Middle Atlantic League,F20425,Cone,,0,Youngstown,,2b100,cone
1947TSN,1946,Middle Atlantic League,B01625,Conklin,Charles,0,Johnstown,,B9,conklin
1947TSN,1946,Middle Atlantic League,F20189,Conklin,,0,Johnstown,,1b2,conklin
1947TSN,1946,Middle Atlantic League,F23284,Conklin,,0,Johnstown,,p5,conklin
1947TSN,1946,Middle Atlantic League,P10958,Conklin,,0,Johnstown,,p,conklin
1947TSN,1946,Middle Atlantic League,B02056,Cracchiolo,Frank,0,Niagara Falls,,B4,cracchiolo
1947TSN,1946,Middle Atlantic League,F20279,Cracchiolo,,0,Niagara Falls,,1b4,cracchiolo
1947TSN,1946,Middle Atlantic League,B02137,Crampsey,James J.,0,Johnstown,,B3,crampsey
1947TSN,1946,Middle Atlantic League,B00229,Cunningham,Maurice,1,Butler,,,cunningham
1947TSN,1946,Middle Atlantic League,B00229,Cunningham,Maurice,2,Youngstown,,,cunningham
1947TSN,1946,Middle Atlantic League,B00229,Cunningham,Maurice,T,,,B90,cunningham
1947TSN,1946,Middle Atlantic League,F21680,Cunningham,,0,Youngstown,,of54,cunningham
1947TSN,1946,Middle Atlantic League,F22525,Cunningham,,1,Youngstown,,c,cunningham
1947TSN,1946,Middle Atlantic League,F22525,Cunningham,,2,Butler,,c,cunningham
1947TSN,1946,Middle Atlantic League,F22525,Cunningham,,T,,,c35,cunningham
1947TSN,1946,Middle Atlantic League,B01567,Curtes,Ira,0,Butler,,B2,curtes
1947TSN,1946,Middle Atlantic League,F23318,Curtes,,0,Butler,,p2,curtes
1947TSN,1946,Middle Atlantic League,P10687,Curtes,,0,Butler,,p,curtes
1947TSN,1946,Middle Atlantic League,B00806,Danila,John,0,Youngstown,,B74,danila
1947TSN,1946,Middle Atlantic League,F20496,Danila,,0,Youngstown,,2b13,danila
1947TSN,1946,Middle Atlantic League,F20893,Danila,,0,Youngstown,,3b40,danila
1947TSN,1946,Middle Atlantic League,F21427,Danila,,0,Youngstown,,ss2,danila
1947TSN,1946,Middle Atlantic League,B00149,Davis,Wesley,0,Butler,,B29,davis
1947TSN,1946,Middle Atlantic League,F20886,Davis,,0,Butler,,3b12,davis
1947TSN,1946,Middle Atlantic League,F21912,Davis,,0,Butler,,of20,davis
1947TSN,1946,Middle Atlantic League,B00255,Dick,Eugene,0,Johnstown,,B68,dick
1947TSN,1946,Middle Atlantic League,F20829,Dick,,0,Johnstown,,3b15,dick
1947TSN,1946,Middle Atlantic League,F21442,Dick,,0,Johnstown,,ss9,dick
1947TSN,1946,Middle Atlantic League,F21920,Dick,,0,Johnstown,,of39,dick
1947TSN,1946,Middle Atlantic League,B01444,Doleshal,Charles,0,Youngstown,,B30,doleshal
1947TSN,1946,Middle Atlantic League,F22756,Doleshal,,0,Youngstown,,p29,doleshal
1947TSN,1946,Middle Atlantic League,P10100,Doleshal,,0,Youngstown,,P29p,doleshal
1947TSN,1946,Middle Atlantic League,B00207,Drakos,Theodore,0,Erie,,B11,drakos
1947TSN,1946,Middle Atlantic League,F20935,Drakos,,0,Erie,,3b3,drakos
1947TSN,1946,Middle Atlantic League,F21469,Drakos,,0,Erie,,ss3,drakos
1947TSN,1946,Middle Atlantic League,F22295,Drakos,,0,Erie,,of3,drakos
1947TSN,1946,Middle Atlantic League,B01376,Drews,Roy,0,Erie,,B20,drews
1947TSN,1946,Middle Atlantic League,F21973,Drews,,0,Erie,,of1,drews
1947TSN,1946,Middle Atlantic League,F22563,Drews,,0,Erie,,c15,drews
1947TSN,1946,Middle Atlantic League,B00068,Ehehalt,Calvin,0,Erie,,B19,ehehalt
1947TSN,1946,Middle Atlantic League,F21948,Ehehalt,,0,Erie,,of1,ehehalt
1947TSN,1946,Middle Atlantic League,F22671,Ehehalt,,0,Erie,,p16,ehehalt
1947TSN,1946,Middle Atlantic League,P10385,Ehehalt,,0,Erie,,P13p,ehehalt
1947TSN,1946,Middle Atlantic League,B01156,Elko,George,0,Youngstown,,B33,elko
1947TSN,1946,Middle Atlantic League,F22900,Elko,,0,Youngstown,,p30,elko
1947TSN,1946,Middle Atlantic League,P10215,Elko,,0,Youngstown,,P30p,elko
1947TSN,1946,Middle Atlantic League,B01477,Englert,Herbert,0,Oil City,,B18,englert
1947TSN,1946,Middle Atlantic League,F20463,Englert,,0,Oil City,,2b16,englert
1947TSN,1946,Middle Atlantic League,B01119,English,Woody,0,Niagara Falls,,B43,english
1947TSN,1946,Middle Atlantic League,F20956,English,,0,Niagara Falls,,3b1,english
1947TSN,1946,Middle Atlantic League,F22582,English,,0,Niagara Falls,,c39,english
1947TSN,1946,Middle Atlantic League,B01779,Fields,Thomas,0,Johnstown,,B4,fields
1947TSN,1946,Middle Atlantic League,F23268,Fields,,0,Johnstown,,p4,fields
1947TSN,1946,Middle Atlantic League,P10527,Fields,,0,Johnstown,,p,fields
1947TSN,1946,Middle Atlantic League,B00739,Firavanti,Frank,1,Oil City,,,firavanti
1947TSN,1946,Middle Atlantic League,B00739,Firavanti,Frank,2,Youngstown,,,firavanti
1947TSN,1946,Middle Atlantic League,B00739,Firavanti,Frank,T,,,B26,firavanti
1947TSN,1946,Middle Atlantic League,F22968,Firavanti,,1,Oil City,,p,firavanti
1947TSN,1946,Middle Atlantic League,F22968,Firavanti,,2,Youngstown,,p,firavanti
1947TSN,1946,Middle Atlantic League,F22968,Firavanti,,T,,,p26,firavanti
1947TSN,1946,Middle Atlantic League,P10184,Firavanti,,1,Youngstown,,p,firavanti
1947TSN,1946,Middle Atlantic League,P10184,Firavanti,,2,Oil City,,p,firavanti
1947TSN,1946,Middle Atlantic League,P10184,Firavanti,,T,,,P26p,firavanti
1947TSN,1946,Middle Atlantic League,B00771,Flesland,Arthur,0,Erie,,B18,flesland
1947TSN,1946,Middle Atlantic League,F20144,Flesland,,0,Erie,,1b1,flesland
1947TSN,1946,Middle Atlantic League,F21840,Flesland,,0,Erie,,of16,flesland
1947TSN,1946,Middle Atlantic League,B00577,Flowers,Frank W.,0,Johnstown,,B25,flowers
1947TSN,1946,Middle Atlantic League,F21324,Flowers,,0,Johnstown,,ss25,flowers
1947TSN,1946,Middle Atlantic League,B01960,Foster,Robert,0,Youngstown,,B9,foster
1947TSN,1946,Middle Atlantic League,F23394,Foster,,0,Youngstown,,p9,foster
1947TSN,1946,Middle Atlantic League,P10432,Foster,,0,Youngstown,,P9p,foster
1947TSN,1946,Middle Atlantic League,B00241,Frantz,Arthur,0,Niagara Falls,,B106,frantz
1947TSN,1946,Middle Atlantic League,F21092,Frantz,,0,Niagara Falls,,3b1,frantz
1947TSN,1946,Middle Atlantic League,F21356,Frantz,,0,Niagara Falls,,ss10,frantz
1947TSN,1946,Middle Atlantic League,F21502,Frantz,,0,Niagara Falls,,of33,frantz
1947TSN,1946,Middle Atlantic League,F22530,Frantz,,0,Niagara Falls,,c41,frantz
1947TSN,1946,Middle Atlantic League,F22976,Frantz,,0,Niagara Falls,,p10,frantz
1947TSN,1946,Middle Atlantic League,P10113,Frantz,,0,Niagara Falls,,P10p,frantz
1947TSN,1946,Middle Atlantic League,B00403,Fucci,Victor,0,Butler,,B131,fucci
1947TSN,1946,Middle Atlantic League,F21589,Fucci,,0,Butler,,of131,fucci
1947TSN,1946,Middle Atlantic League,B01368,Gallo,Albert,0,Johnstown,,B75,gallo
1947TSN,1946,Middle Atlantic League,F20369,Gallo,,0,Johnstown,,2b75,gallo
1947TSN,1946,Middle Atlantic League,B00427,Gardner,Robert,0,Youngstown,,B121,gardner
1947TSN,1946,Middle Atlantic League,F21293,Gardner,,0,Youngstown,,ss121,gardner
1947TSN,1946,Middle Atlantic League,B00752,Godla,Louis,0,Butler,,B12,godla
1947TSN,1946,Middle Atlantic League,F20482,Godla,,0,Butler,,2b12,godla
1947TSN,1946,Middle Atlantic League,B00278,Gorman,Herb,0,Johnstown,,B19,gorman
1947TSN,1946,Middle Atlantic League,F20080,Gorman,,0,Johnstown,,1b19,gorman
1947TSN,1946,Middle Atlantic League,B00609,Gottschall,Duane,0,Oil City,,B46,gottschall
1947TSN,1946,Middle Atlantic League,F22057,Gottschall,,0,Oil City,,of5,gottschall
1947TSN,1946,Middle Atlantic League,F22945,Gottschall,,0,Oil City,,p31,gottschall
1947TSN,1946,Middle Atlantic League,P10266,Gottschall,,0,Oil City,,P31p,gottschall
1947TSN,1946,Middle Atlantic League,F22272,Grampsey,,0,Johnstown,,of3,grampsey
1947TSN,1946,Middle Atlantic League,B00948,Greco,Frank,0,Butler,,B68,greco
1947TSN,1946,Middle Atlantic League,F20526,Greco,,0,Butler,,2b1,greco
1947TSN,1946,Middle Atlantic League,F21021,Greco,,0,Butler,,3b2,greco
1947TSN,1946,Middle Atlantic League,F22188,Greco,,0,Butler,,of5,greco
1947TSN,1946,Middle Atlantic League,F22422,Greco,,0,Butler,,c59,greco
1947TSN,1946,Middle Atlantic League,B00822,Grella,Alfred,1,Johnstown,,,grella
1947TSN,1946,Middle Atlantic League,B00822,Grella,Alfred,2,Erie,,,grella
1947TSN,1946,Middle Atlantic League,B00822,Grella,Alfred,T,,,B97,grella
1947TSN,1946,Middle Atlantic League,F20206,Grella,,1,Erie,,1b,grella
1947TSN,1946,Middle Atlantic League,F20206,Grella,,2,Johnstown,,1b,grella
1947TSN,1946,Middle Atlantic League,F20206,Grella,,T,,,1b3,grella
1947TSN,1946,Middle Atlantic League,F21739,Grella,,1,Erie,,of,grella
1947TSN,1946,Middle Atlantic League,F21739,Grella,,2,Johnstown,,of,grella
