source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1947TSN,1946,Western Association,B00059,Acton,James,0,Joplin,,B116,acton
1947TSN,1946,Western Association,F21182,Acton,,0,Joplin,,of101,acton
1947TSN,1946,Western Association,F21343,Acton,,0,Joplin,,c10,acton
1947TSN,1946,Western Association,P11072,Acton,James,0,Joplin,,P4p,acton
emilbb,1946,Western Association,M92397,Acton,Jim,,Joplin,,,
1947TSN,1946,Western Association,B00101,Ahearn,Joseph,0,Fort Smith,,B96,ahearn
1947TSN,1946,Western Association,F21528,Ahern,,0,Fort Smith,,c89,ahearn
1947TSN,1946,Western Association,B01899,Albrecht,Edward,0,Fort Smith,,,albrecht
1947TSN,1946,Western Association,P10606,Albrecht,Edward,0,Fort Smith,,P3p,albrecht
1947TSN,1946,Western Association,B01939,Alivojvodic,Nick,0,Hutchinson,,,alivojvodic
1947TSN,1946,Western Association,P10949,Alivojvodic,Nick,0,Hutchinson,,P4p,alivojvodic
1947TSN,1946,Western Association,B01466,Almonte,Paul,0,Fort Smith,,B44,almonte
1947TSN,1946,Western Association,F21229,Almonte,,0,Fort Smith,,of10,almonte
1947TSN,1946,Western Association,F21623,Almonte,,0,Fort Smith,,p30,almonte
1947TSN,1946,Western Association,P10056,Almonte,,0,Fort Smith,,P30p,almonte
1947TSN,1946,Western Association,B00515,Alotta,Phil,0,Fort Smith,,B39,alotta
1947TSN,1946,Western Association,F20594,Alotta,,0,Fort Smith,,3b22,alotta
1947TSN,1946,Western Association,F20956,Alotta,,0,Fort Smith,,of17,alotta
1947TSN,1946,Western Association,B02320,Ammons,Victor,0,Muskogee,,,ammons
1947TSN,1946,Western Association,B02145,Arnold,Leslie,0,Joplin,,,arnold
1947TSN,1946,Western Association,B01428,Ayala,Maurice,1,Muskogee,,B5,ayala
1947TSN,1946,Western Association,B01428,Ayala,Maurice,2,Topeka,,B14,ayala
1947TSN,1946,Western Association,B01428,Ayala,Maurice,T,,,B19,ayala
1947TSN,1946,Western Association,F22116,Ayala,,1,Muskogee,,p,ayala
1947TSN,1946,Western Association,F22116,Ayala,,2,Topeka,,p,ayala
1947TSN,1946,Western Association,F22116,Ayala,,T,,,p17,ayala
1947TSN,1946,Western Association,P10478,Ayala,,1,Muskogee,,P5p,ayala
1947TSN,1946,Western Association,P10478,Ayala,,2,Topeka,,P12p,ayala
1947TSN,1946,Western Association,P10478,Ayala,,T,,,P17p,ayala
1947TSN,1946,Western Association,B00646,Bakay,John,0,St. Joseph,,B134,bakay
1947TSN,1946,Western Association,F20935,Bakay,,0,St. Joseph,,of78,bakay
1947TSN,1946,Western Association,F21356,Bakay,,0,St. Joseph,,c55,bakay
1947TSN,1946,Western Association,B00589,Baker,Charles,0,Muskogee,,B92,baker
1947TSN,1946,Western Association,F20038,Baker,,0,Muskogee,,1b14,baker
1947TSN,1946,Western Association,F20970,Baker,,0,Muskogee,,of75,baker
1947TSN,1946,Western Association,P11023,Baker,Charles,0,Muskogee,,P6p,baker
emilbb,1946,Western Association,M92370,Baker,Ray,,Muskogee,,,
1947TSN,1946,Western Association,B01947,Barbolla,Roldan,0,Hutchinson,,,barbolla
1947TSN,1946,Western Association,P11189,Barbolla,Roldan,0,Hutchinson,,P1p,barbolla
1947TSN,1946,Western Association,B00502,Bart,Edward,0,Topeka,,B48,bart
1947TSN,1946,Western Association,F20571,Bart,,0,Topeka,,3b27,bart
