source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
emilbb,1948,Alabma State League,,M93389,Beaugez,Joseph,,Brewton,,
emilbb,1948,Alabma State League,,M93344,Benish,Bob,,Troy,,
emilbb,1948,Alabma State League,,M93419,Bixby,Richard,,Enterprise,,
emilbb,1948,Alabma State League,,M93424,Ferenbacher,Harold,,Geneva,,
emilbb,1948,Alabma State League,,M93435,George,John,,Andalusia,,
emilbb,1948,Alabma State League,,M93408,Lambert,Dolly,,Enterprise,,
emilbb,1948,Alabma State League,,M93377,Martin,Frank,,Ozark,,
emilbb,1948,Alabma State League,,M93390,McGhee,Bill,,Brewton,,
emilbb,1948,Alabma State League,,M93366,Milner,"Holt ""Cat""",,Dothan,,
emilbb,1948,Alabma State League,,M93353,Tauscher,Walter,,Greenville,,
emilbb,1948,Alabma State League,,M93443,Wilcox,Charles,,Andalusia,,
