source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1948,Lone Star League,,M92695,Bartkowski,Stan,,Lufkin,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92646,Dalrymple,Jimmy,,Gladewater,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92667,Davis,Harry,,Marshall,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92623,Hicks,Mel,,Henderson,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92672,Jones,"Morris ""Red""",,Marshall,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92680,Jones,"Morris ""Red""",,Lufkin,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92566,Kracher,Joe,,Kilgore,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92638,Landrum,Jess,,Bryan,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92589,Miller,"James ""Hack""",,Tyler,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92614,Miller,Roland,,Henderson,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92705,Millican,Fred,,Lufkin,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92651,Nelson,Arthur,,Gladewater,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92577,Parsons,Dixie,,Longview,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92609,Stone,John,,Henderson,,,,,
minoraverages/emilbb,1948,Lone Star League,,M92590,Sturdy,Guy,,Henderson,,,,,
