source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1948,Southeastern League,,M91394,Arnovich,Morris,,Selma,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91305,Baron(ovic),Charlie,,Anniston,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91292,Blair,Buddy,,Vicksburg,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91339,Dashiell,Wally,,Pensacola,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91383,Davis,Harry,,Gadsden,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91326,Denning,Otto,,Pensacola,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91352,Geraghty,Ben,,Meridian,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91318,Hudlin,Willis,,Jackson,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91360,Maupin,Jack,,Meridian,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91347,McDowell,Clyde,,Pensacola,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91371,McGhee,Bill,,Gadsden,,,,,
minoraverages/emilbb,1948,Southeastern League,,M91284,Skaff,Frank,,Montgomery,,,,,
