source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
emilbb,1948,Western International League,M91686,Brenner,William,,Vancouver,,,
emilbb,1948,Western International League,M91664,Brillheart,Jack,,Tacoma,,,
emilbb,1948,Western International League,M91632,Camilli,Dolph,,Spokane,,,
emilbb,1948,Western International League,M91701,Cronin,Chuck,,Wenatchee,,,
emilbb,1948,Western International League,M91717,Johnson,Vernon,,Yakima,,,
emilbb,1948,Western International League,M91725,Kittle,Hub,,Yakima,,,
emilbb,1948,Western International League,M91678,Kuper,Earl,,Tacoma,,,
emilbb,1948,Western International League,M91655,Norbert,Ted,,Victoria,,,
emilbb,1948,Western International League,M91629,Ryan,Buddy,,Spokane,,,
emilbb,1948,Western International League,M91641,Strange,Alan,,Bremerton,,,
emilbb,1948,Western International League,M91693,Wilson,Jack,,Salem,,,
