source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1950TSN,1949,Blue Ridge League,akers,B01216,Akers,Willard,0,Radford,,B25
1950TSN,1949,Blue Ridge League,akers,F21037,Akers,,0,Radford,,p25
1950TSN,1949,Blue Ridge League,akers,P10277,Akers,,0,Radford,,P25p
1950TSN,1949,Blue Ridge League,akins,B00076,Akins,William,0,Mount Airy,,B87
1950TSN,1949,Blue Ridge League,akins,F20612,Akins,,0,Mount Airy,,of87
1950TSN,1949,Blue Ridge League,bachman,B01086,Bachman,C. Howard,0,Wytheville,,B36
1950TSN,1949,Blue Ridge League,bachman,F20526,Bachman,,0,Wytheville,,of15
1950TSN,1949,Blue Ridge League,bachman,F21427,Bachman,,0,Wytheville,,p12
1950TSN,1949,Blue Ridge League,bakaitis,B01093,Bakaitis,Peter,0,Radford,,B41
1950TSN,1949,Blue Ridge League,bakaitis,F21324,Bakaitis,,0,Radford,,p30
1950TSN,1949,Blue Ridge League,bakaitis,P10312,Bakaitis,,0,Radford,,P30p
1950TSN,1949,Blue Ridge League,bass,B00308,Bass,Thomas,0,Wytheville,,B117
1950TSN,1949,Blue Ridge League,bass,F20177,Bass,,0,Wytheville,,2b18
1950TSN,1949,Blue Ridge League,bass,F20713,Bass,,0,Wytheville,,of92
1950TSN,1949,Blue Ridge League,beane,B00491,Beane,Paul,0,Mount Airy,,B48
1950TSN,1949,Blue Ridge League,beane,F20131,Beane,,0,Mount Airy,,2b19
1950TSN,1949,Blue Ridge League,beane,F20298,Beane,,0,Mount Airy,,3b29
1950TSN,1949,Blue Ridge League,bentley,B01313,Bentley,Lee,0,North Wilkesboro,,B19
1950TSN,1949,Blue Ridge League,bentley,F21403,Bentley,,0,North Wilkesboro,,p19
1950TSN,1949,Blue Ridge League,bentley,P10266,Bentley,,0,North Wilkesboro,,P19p
1950TSN,1949,Blue Ridge League,bickford,B01250,Bickford,Bobby,0,Galax,,B18
1950TSN,1949,Blue Ridge League,bickford,F21356,Bickford,,0,Galax,,p18
1950TSN,1949,Blue Ridge League,bickford,P10081,Bickford,,0,Galax,,P18p
1950TSN,1949,Blue Ridge League,biggerstaff,B00957,Biggerstaff,Jack,0,Galax,,B22
1950TSN,1949,Blue Ridge League,biggerstaff,F20661,Biggerstaff,,0,Galax,,of17
1950TSN,1949,Blue Ridge League,bishop,B00833,Bishop,Jack,0,Elkin,,B94
1950TSN,1949,Blue Ridge League,bishop,F20233,Bishop,,0,Elkin,,2b32
1950TSN,1949,Blue Ridge League,bishop,F20327,Bishop,,0,Elkin,,3b28
1950TSN,1949,Blue Ridge League,bishop,F20539,Bishop,,0,Elkin,,of14
1950TSN,1949,Blue Ridge League,black,B00469,Black,Thomas,0,North Wilkesboro,,B33
1950TSN,1949,Blue Ridge League,black,F20594,Black,,0,North Wilkesboro,,of24
1950TSN,1949,Blue Ridge League,boles,B00092,Boles,Roy,0,Elkin,,B22
1950TSN,1949,Blue Ridge League,boles,F21293,Boles,,0,Elkin,,p19
1950TSN,1949,Blue Ridge League,boles,P10062,Boles,,0,Elkin,,P19p
1950TSN,1949,Blue Ridge League,braxton,M90155,Braxton,Garland,,Radford,19490814/,
emilbb,1949,Blue Ridge League,,M93801,Braxton,Garland,,Radford,,
1950TSN,1949,Blue Ridge League,brelich,B00037,Brelich,Michael,1,Wytheville,,B89
1950TSN,1949,Blue Ridge League,brelich,B00037,Brelich,Michael,2,Mount Airy,,B9
1950TSN,1949,Blue Ridge League,brelich,B00037,Brelich,Michael,T,,,B98
1950TSN,1949,Blue Ridge League,brelich,F20737,Brelich,,1,Wytheville,,of
1950TSN,1949,Blue Ridge League,brelich,F20737,Brelich,,2,Mount Airy,,of
1950TSN,1949,Blue Ridge League,brelich,F20737,Brelich,,T,,,of68
1950TSN,1949,Blue Ridge League,brelich,F20893,Brelich,,1,Wytheville,,c
1950TSN,1949,Blue Ridge League,brelich,F20893,Brelich,,2,Mount Airy,,c
1950TSN,1949,Blue Ridge League,brelich,F20893,Brelich,,T,,,c28
1950TSN,1949,Blue Ridge League,brown,B00182,Brown,Henry,0,Elkin,,B120
1950TSN,1949,Blue Ridge League,brown,F20699,Brown,H.,0,Elkin,,of119
1950TSN,1949,Blue Ridge League,bryson,B00973,Bryson,Herman,0,Mount Airy,,B20
1950TSN,1949,Blue Ridge League,bryson,F20265,Bryson,,0,Mount Airy,,3b20
1950TSN,1949,Blue Ridge League,church,B00948,Church,Cameron,0,Radford,,B23
1950TSN,1949,Blue Ridge League,church,F21174,Church,,0,Radford,,p12
1950TSN,1949,Blue Ridge League,church,P10410,Church,,0,Radford,,P12p
1950TSN,1949,Blue Ridge League,cirelli,B00854,Cirelli,Frank,0,Radford,,B100
1950TSN,1949,Blue Ridge League,cirelli,F20115,Cirelli,,0,Radford,,2b59
1950TSN,1949,Blue Ridge League,cirelli,F20832,Cirelli,,0,Radford,,of17
1950TSN,1949,Blue Ridge League,cirelli,F20962,Cirelli,,0,Radford,,c24
1950TSN,1949,Blue Ridge League,cirelli,M90141,Cirelli,Frank,,Radford,19490809/,
emilbb,1949,Blue Ridge League,,M93793,Cirelli,Frank,,Radford,,
1950TSN,1949,Blue Ridge League,claypool,B00149,Claypool,James,0,Galax,,B107
1950TSN,1949,Blue Ridge League,claypool,F20935,Claypool,,0,Galax,,c101
1950TSN,1949,Blue Ridge League,collins,B00695,Collins,John,0,Elkin,,B97
1950TSN,1949,Blue Ridge League,collins,F20886,Collins,,0,Elkin,,c90
1950TSN,1949,Blue Ridge League,cooper,B00475,Cooper,Joseph,0,North Wilkesboro,,B108
1950TSN,1949,Blue Ridge League,cooper,F20648,Cooper,,0,North Wilkesboro,,of107
1950TSN,1949,Blue Ridge League,crissman,B00739,Crissman,Samuel,0,Mount Airy,,B33
1950TSN,1949,Blue Ridge League,crissman,F21286,Crissman,,0,Mount Airy,,p29
1950TSN,1949,Blue Ridge League,crissman,P10192,Crissman,,0,Mount Airy,,P29p
1950TSN,1949,Blue Ridge League,cunningham-rad,B00840,Cunningham,Robert,0,Radford,,B82
1950TSN,1949,Blue Ridge League,cunningham-nw,B01181,Cunningham,Ralph,0,North Wilkesboro,,B21
1950TSN,1949,Blue Ridge League,cunningham-rad,F20190,Cunningham,R.,0,Radford,,2b59
1950TSN,1949,Blue Ridge League,cunningham-rad,F20375,Cunningham,R.,0,Radford,,ss14
1950TSN,1949,Blue Ridge League,cunningham-rad,F21000,Cunningham,,0,Radford,,c10
1950TSN,1949,Blue Ridge League,cunningham-nw,F21264,Cunningham,R.,0,North Wilkesboro,,p18
1950TSN,1949,Blue Ridge League,cunningham-nw,P10336,Cunningham,,0,North Wilkesboro,,P18p
1950TSN,1949,Blue Ridge League,cuthbertson,B01119,Cuthbertson,Worth,1,North Wilkesboro,,B17
