source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00101,Adair,Marion,0,Owensboro,,B101,adair
1950TSN,1949,Kentucky-Illinois-Tennessee League,F20189,Adair,,0,Owensboro,,2b92,adair
1950TSN,1949,Kentucky-Illinois-Tennessee League,M90018,Adair,Marion (Bill),,Owensboro,,,adair
emilbb,1949,Kentucky-Illinois-Tennessee League,M94757,Adair,Bill,,Owensboro,,,
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00370,Adams,Eugene,0,Owensboro,,B15,adams
1950TSN,1949,Kentucky-Illinois-Tennessee League,F20721,Adams,,0,Owensboro,,c15,adams
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00590,Addison,Leonard,0,Clarksville,,B94,addison
1950TSN,1949,Kentucky-Illinois-Tennessee League,F20893,Addison,,0,Clarksville,,c58,addison
1950TSN,1949,Kentucky-Illinois-Tennessee League,F21264,Addison,,0,Clarksville,,of27,addison
Hamilton,1949,Kentucky-Illinois-Tennessee League,P10100,Addison,,0,Clarksville,,p,addison
Hamilton,1949,Kentucky-Illinois-Tennessee League,B00680,Adduci,Cal,0,Union City,,,adduci
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00362,Afremow,Buddy,0,Hopkinsville,,B91,afremow
1950TSN,1949,Kentucky-Illinois-Tennessee League,F20505,Afremow,,0,Hopkinsville,,ss91,afremow
1950TSN,1949,Kentucky-Illinois-Tennessee League,B01674,Aldridge,Lee,0,Union City,,B34,aldridge
1950TSN,1949,Kentucky-Illinois-Tennessee League,F21771,Aldridge,,0,Union City,,p34,aldridge
1950TSN,1949,Kentucky-Illinois-Tennessee League,P10062,Aldridge,,0,Union City,,P34p,aldridge
1950TSN,1949,Kentucky-Illinois-Tennessee League,B01368,Arnett,Ernest,0,Hopkinsville,,B19,arnett
1950TSN,1949,Kentucky-Illinois-Tennessee League,F21912,Arnett,,0,Hopkinsville,,p17,arnett
1950TSN,1949,Kentucky-Illinois-Tennessee League,P10320,Arnett,,0,Hopkinsville,,P17p,arnett
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00695,Ashford,Carl,0,Fulton,,B121,ashford
1950TSN,1949,Kentucky-Illinois-Tennessee League,F20206,Ashford,,0,Fulton,,2b121,ashford
1950TSN,1949,Kentucky-Illinois-Tennessee League,B01779,Bailey,Leonard,0,Cairo,,B20,bailey
1950TSN,1949,Kentucky-Illinois-Tennessee League,F21491,Bailey,,0,Cairo,,p20,bailey
1950TSN,1949,Kentucky-Illinois-Tennessee League,P10100,Bailey,,0,Cairo,,P20p,bailey
1950TSN,1949,Kentucky-Illinois-Tennessee League,B01453,Baity,Donald,0,Owensboro,,B81,baity
1950TSN,1949,Kentucky-Illinois-Tennessee League,F20713,Baity,,0,Owensboro,,c81,baity
Hamilton,1949,Kentucky-Illinois-Tennessee League,B00308,Balunek,Andrew,1,Union City,,,balunek
Hamilton,1949,Kentucky-Illinois-Tennessee League,B00308,Balunek,Andrew,2,Hopkinsville,,,balunek
Hamilton,1949,Kentucky-Illinois-Tennessee League,B00308,Balunek,Andrew,T,,,,balunek
Hamilton,1949,Kentucky-Illinois-Tennessee League,P10312,Balunek,,1,Hopkinsville,,p,balunek
Hamilton,1949,Kentucky-Illinois-Tennessee League,P10312,Balunek,,2,Union City,,p,balunek
Hamilton,1949,Kentucky-Illinois-Tennessee League,P10312,Balunek,,T,,,p,balunek
Hamilton,1949,Kentucky-Illinois-Tennessee League,B00695,Bardol,Pete,0,Union City,,,bardol
Hamilton,1949,Kentucky-Illinois-Tennessee League,B00491,Bawel,Edward,0,Mayfield,,,bawel
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00566,Bellers,Carl,0,Union City,,B122,bellers
1950TSN,1949,Kentucky-Illinois-Tennessee League,F20265,Bellers,,0,Union City,,2b122,bellers
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00739,Berg,Donald,0,Madisonville,,B13,berg
1950TSN,1949,Kentucky-Illinois-Tennessee League,F22103,Berg,,0,Madisonville,,,berg
1950TSN,1949,Kentucky-Illinois-Tennessee League,B01812,Beyl,Paul,0,Clarksville,,B11,beyl
1950TSN,1949,Kentucky-Illinois-Tennessee League,F21450,Beyl,,0,Clarksville,,p11,beyl
Hamilton,1949,Kentucky-Illinois-Tennessee League,P10019,Beyl,,0,Clarksville,,P11p,beyl
1950TSN,1949,Kentucky-Illinois-Tennessee League,B00130,Bickering,Ralph,1,Mayfield,,,bickering
