source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1950TSN,1949,Mississippi-Ohio Valley League,B01181,Ackerman,Harry,0,Centralia,,B25,ackerman
1950TSN,1949,Mississippi-Ohio Valley League,F21045,Ackerman,,0,Centralia,,p22,ackerman
1950TSN,1949,Mississippi-Ohio Valley League,P10062,Ackerman,,0,Centralia,,P22p,ackerman
1950TSN,1949,Mississippi-Ohio Valley League,B00319,Anthony,Socrates,1,Paducah,,,anthony
1950TSN,1949,Mississippi-Ohio Valley League,B00319,Anthony,Socrates,2,Belleville,,,anthony
1950TSN,1949,Mississippi-Ohio Valley League,B00319,Anthony,Socrates,T,,,B94,anthony
1950TSN,1949,Mississippi-Ohio Valley League,F20956,Anthony,,1,Paducah,,c,anthony
1950TSN,1949,Mississippi-Ohio Valley League,F20956,Anthony,,2,Belleville,,c,anthony
1950TSN,1949,Mississippi-Ohio Valley League,F20956,Anthony,,T,,,c89,anthony
1950TSN,1949,Mississippi-Ohio Valley League,B01288,Applegate,Fred,0,West Frankfort,,B12,applegate
1950TSN,1949,Mississippi-Ohio Valley League,F21370,Applegate,,0,West Frankfort,,p10,applegate
1950TSN,1949,Mississippi-Ohio Valley League,P10019,Applegate,,0,West Frankfort,,P10p,applegate
1950TSN,1949,Mississippi-Ohio Valley League,B00912,Arnold,Lindell,0,Mount Vernon,,B32,arnold
1950TSN,1949,Mississippi-Ohio Valley League,F20855,Arnold,,0,Mount Vernon,,of29,arnold
1950TSN,1949,Mississippi-Ohio Valley League,B00566,Asal,William,0,West Frankfort,,B118,asal
1950TSN,1949,Mississippi-Ohio Valley League,F20449,Asal,,0,West Frankfort,,ss118,asal
1950TSN,1949,Mississippi-Ohio Valley League,B00324,Bekeza,Lewis,0,Centralia,,B100,bekeza
1950TSN,1949,Mississippi-Ohio Valley League,F20095,Bekeza,,0,Centralia,,1b48,bekeza
1950TSN,1949,Mississippi-Ohio Valley League,F20713,Bekeza,,0,Centralia,,of29,bekeza
1950TSN,1949,Mississippi-Ohio Valley League,F20943,Bekeza,,0,Centralia,,c29,bekeza
1950TSN,1949,Mississippi-Ohio Valley League,F21324,Bekeza,,0,Centralia,,p16,bekeza
1950TSN,1949,Mississippi-Ohio Valley League,M90018,Bekeza,Lewis,,Centralia,,,bekeza
emilbb,1949,Mississippi-Ohio Valley League,M94969,Bekeza,"Lew ""Zeke""",,Centralia,,,
1950TSN,1949,Mississippi-Ohio Valley League,B01156,Birkeland,Theodore,0,Belleville,,B21,birkeland
1950TSN,1949,Mississippi-Ohio Valley League,F21163,Birkeland,,0,Belleville,,p21,birkeland
1950TSN,1949,Mississippi-Ohio Valley League,P10361,Birkeland,,0,Belleville,,P21p,birkeland
1950TSN,1949,Mississippi-Ohio Valley League,B00076,Bleyer,William,0,Centralia,,B54,bleyer
1950TSN,1949,Mississippi-Ohio Valley League,F20583,Bleyer,,0,Centralia,,of54,bleyer
1950TSN,1949,Mississippi-Ohio Valley League,B00920,Bloxam,Loyal,0,Mount Vernon,,B16,bloxam
1950TSN,1949,Mississippi-Ohio Valley League,F21544,Bloxam,,0,Mount Vernon,,p14,bloxam
1950TSN,1949,Mississippi-Ohio Valley League,P10035,Bloxam,,0,Mount Vernon,,P14p,bloxam
1950TSN,1949,Mississippi-Ohio Valley League,B00163,Bracken,Herbert,0,Belleville,,B13,bracken
1950TSN,1949,Mississippi-Ohio Valley League,F21084,Bracken,,0,Belleville,,p13,bracken
1950TSN,1949,Mississippi-Ohio Valley League,P10244,Bracken,,0,Belleville,,P13p,bracken
1950TSN,1949,Mississippi-Ohio Valley League,B00130,Breidenbach,Donald,0,Mattoon,,B119,breidenbach
1950TSN,1949,Mississippi-Ohio Valley League,F20430,Bridenbach,,0,Mattoon,,ss119,breidenbach
1950TSN,1949,Mississippi-Ohio Valley League,B01135,Callo,Al,0,Belleville,,B27,callo
1950TSN,1949,Mississippi-Ohio Valley League,F20211,Callo,,0,Belleville,,2b27,callo
1950TSN,1949,Mississippi-Ohio Valley League,B00182,Campbell,Douglas,0,Paducah,,B41,campbell
1950TSN,1949,Mississippi-Ohio Valley League,F21293,Campbell,,0,Paducah,,p30,campbell
1950TSN,1949,Mississippi-Ohio Valley League,P10357,Campbell,,0,Paducah,,P30p,campbell
1950TSN,1949,Mississippi-Ohio Valley League,B00783,Cassidy,Ray,0,Mattoon,,B55,cassidy
1950TSN,1949,Mississippi-Ohio Valley League,F20648,Cassidy,,0,Mattoon,,of22,cassidy
1950TSN,1949,Mississippi-Ohio Valley League,F21491,Cassidy,,0,Mattoon,,p27,cassidy
1950TSN,1949,Mississippi-Ohio Valley League,P10304,Cassidy,,0,Mattoon,,P27p,cassidy
1950TSN,1949,Mississippi-Ohio Valley League,B00255,Catalano,Sonny,0,Mount Vernon,,B33,catalano
1950TSN,1949,Mississippi-Ohio Valley League,F20072,Catalano,,0,Mount Vernon,,1b32,catalano
1950TSN,1949,Mississippi-Ohio Valley League,B01078,Comer,Frank,0,Mount Vernon,,B12,comer
1950TSN,1949,Mississippi-Ohio Valley League,F20327,Comer,,0,Mount Vernon,,3b12,comer
1950TSN,1949,Mississippi-Ohio Valley League,B00865,Cruse,Robert,0,Belleville,,B23,cruse
1950TSN,1949,Mississippi-Ohio Valley League,F20222,Cruse,,0,Belleville,,2b23,cruse
1950TSN,1949,Mississippi-Ohio Valley League,B00887,Dailey,Gilbert,0,Paducah,,B14,dailey
1950TSN,1949,Mississippi-Ohio Valley League,F21308,Daily,,0,Paducah,,p12,dailey
1950TSN,1949,Mississippi-Ohio Valley League,P10228,Daily,,0,Paducah,,P12p,dailey
1950TSN,1949,Mississippi-Ohio Valley League,B00794,Davis,Herbert,0,Belleville,,B37,davis
1950TSN,1949,Mississippi-Ohio Valley League,F21362,Davis,H.,0,Belleville,,p31,davis
1950TSN,1949,Mississippi-Ohio Valley League,P10176,Davis,H.,0,Belleville,,P31p,davis
1950TSN,1949,Mississippi-Ohio Valley League,B01086,Deem,Cyrus,0,Centralia,,B21,deem
1950TSN,1949,Mississippi-Ohio Valley League,F21343,Deem,,0,Centralia,,p21,deem
1950TSN,1949,Mississippi-Ohio Valley League,P10478,Deem,,0,Centralia,,P21p,deem
1950TSN,1949,Mississippi-Ohio Valley League,B00833,Deibler,Mason,0,West Frankfort,,B18,deibler
1950TSN,1949,Mississippi-Ohio Valley League,F21196,Deibler,,0,West Frankfort,,p18,deibler
1950TSN,1949,Mississippi-Ohio Valley League,P10215,Deibler,,0,West Frankfort,,P18p,deibler
1950TSN,1949,Mississippi-Ohio Valley League,B00308,Della Betta,Roger,0,Centralia,,B95,dellabetta
1950TSN,1949,Mississippi-Ohio Valley League,F20153,Della Betta,,0,Centralia,,2b95,dellabetta
1950TSN,1949,Mississippi-Ohio Valley League,B00434,Dickens,Kenneth,0,Belleville,,B77,dickens
1950TSN,1949,Mississippi-Ohio Valley League,F21013,Dickens,,0,Belleville,,c55,dickens
1950TSN,1949,Mississippi-Ohio Valley League,B01010,Dobrino,Thomas,0,Mattoon,,B30,dobrino
1950TSN,1949,Mississippi-Ohio Valley League,F20908,Dobrino,,0,Mattoon,,c23,dobrino
1950TSN,1949,Mississippi-Ohio Valley League,B00502,Dunkovich,Walter,0,Mattoon,,B117,dunkovich
1950TSN,1949,Mississippi-Ohio Valley League,F20594,Dunkovich,,0,Mattoon,,of117,dunkovich
1950TSN,1949,Mississippi-Ohio Valley League,B00811,Eaves,Harley,0,Belleville,,B23,eaves
1950TSN,1949,Mississippi-Ohio Valley League,F21403,Eaves,,0,Belleville,,p20,eaves
1950TSN,1949,Mississippi-Ohio Valley League,P10429,Eaves,,0,Belleville,,P20p,eaves
1950TSN,1949,Mississippi-Ohio Valley League,B01064,Ecklund,William,0,Centralia,,B24,ecklund
1950TSN,1949,Mississippi-Ohio Valley League,F21335,Ecklund,,0,Centralia,,p23,ecklund
1950TSN,1949,Mississippi-Ohio Valley League,P10145,Ecklund,,0,Centralia,,P23p,ecklund
1950TSN,1949,Mississippi-Ohio Valley League,B00718,Edgar,I. James,0,Centralia,,B58,edgar
1950TSN,1949,Mississippi-Ohio Valley League,F20080,Edgar,,0,Centralia,,1b20,edgar
1950TSN,1949,Mississippi-Ohio Valley League,F21130,Edgar,,0,Centralia,,p22,edgar
1950TSN,1949,Mississippi-Ohio Valley League,F21590,Edgar,,0,Centralia,,,edgar
1950TSN,1949,Mississippi-Ohio Valley League,P10159,Edgar,,0,Centralia,,P22p,edgar
1950TSN,1949,Mississippi-Ohio Valley League,B01093,Fabris,Bruno,0,Centralia,,B33,fabris
1950TSN,1949,Mississippi-Ohio Valley League,F21502,Fabris,,0,Centralia,,p29,fabris
1950TSN,1949,Mississippi-Ohio Valley League,P10184,Fabris,,0,Centralia,,P29p,fabris
1950TSN,1949,Mississippi-Ohio Valley League,B01275,Fenchak,Paul,0,Mount Vernon,,B21,fenchak
1950TSN,1949,Mississippi-Ohio Valley League,F21469,Fenchak,,0,Mount Vernon,,p21,fenchak
1950TSN,1949,Mississippi-Ohio Valley League,P10441,Fenchak,,0,Mount Vernon,,P21p,fenchak
1950TSN,1949,Mississippi-Ohio Valley League,B01170,Fiori,Benjamin,0,Mount Vernon,,B12,fiori
1950TSN,1949,Mississippi-Ohio Valley League,F21515,Fiori,,0,Mount Vernon,,p11,fiori
1950TSN,1949,Mississippi-Ohio Valley League,P10348,Fiori,,0,Mount Vernon,,P11p,fiori
1950TSN,1949,Mississippi-Ohio Valley League,B01242,Fowler,James,1,Mattoon,,,fowler
1950TSN,1949,Mississippi-Ohio Valley League,B01242,Fowler,James,2,Mount Vernon,,,fowler
1950TSN,1949,Mississippi-Ohio Valley League,B01242,Fowler,James,T,,,B10,fowler
1950TSN,1949,Mississippi-Ohio Valley League,F21125,Fowler,,1,Mattoon,,p,fowler
1950TSN,1949,Mississippi-Ohio Valley League,F21125,Fowler,,2,Mount Vernon,,p,fowler
1950TSN,1949,Mississippi-Ohio Valley League,F21125,Fowler,,T,,,p10,fowler
1950TSN,1949,Mississippi-Ohio Valley League,B01143,Gabler,John,0,Belleville,,B16,gabler
1950TSN,1949,Mississippi-Ohio Valley League,F21531,Gabler,,0,Belleville,,p16,gabler
1950TSN,1949,Mississippi-Ohio Valley League,P10336,Gabler,,0,Belleville,,P16p,gabler
1950TSN,1949,Mississippi-Ohio Valley League,B01119,Gamble,Marcus,0,West Frankfort,,B11,gamble
1950TSN,1949,Mississippi-Ohio Valley League,F21397,Gamble,,0,West Frankfort,,p11,gamble
1950TSN,1949,Mississippi-Ohio Valley League,P10081,Gamble,,0,West Frankfort,,P24p,gamble
1950TSN,1949,Mississippi-Ohio Valley League,B00356,Gatto,George,0,Centralia,,B118,gatto
1950TSN,1949,Mississippi-Ohio Valley League,F20287,Gatto,,0,Centralia,,3b118,gatto
1950TSN,1949,Mississippi-Ohio Valley League,B00680,Gatts,Thomas,0,Centralia,,B104,gatts
1950TSN,1949,Mississippi-Ohio Valley League,F20919,Gatts,,0,Centralia,,c104,gatts
1950TSN,1949,Mississippi-Ohio Valley League,B00403,George,Floyd,0,West Frankfort,,B121,george
1950TSN,1949,Mississippi-Ohio Valley League,F20014,George,,0,West Frankfort,,1b121,george
1950TSN,1949,Mississippi-Ohio Valley League,B00985,Gibson,Jack,0,Paducah,,B86,gibson
1950TSN,1949,Mississippi-Ohio Valley League,F20102,Gibson,,0,Paducah,,1b86,gibson
1950TSN,1949,Mississippi-Ohio Valley League,B00343,Gisinger,Lewis S.,0,Centralia,,B18,gisinger
1950TSN,1949,Mississippi-Ohio Valley League,F21488,Gisinger,,0,Centralia,,p16,gisinger
1950TSN,1949,Mississippi-Ohio Valley League,P10192,Gisinger,,0,Centralia,,P16p,gisinger
1950TSN,1949,Mississippi-Ohio Valley League,B00335,Glover,Donald,0,Mount Vernon,,B21,glover
1950TSN,1949,Mississippi-Ohio Valley League,F20051,Glover,,0,Mount Vernon,,1b21,glover
1950TSN,1949,Mississippi-Ohio Valley League,B01291,Goodwin,William,1,Paducah,,,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,B01291,Goodwin,William,2,Belleville,,,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,B01291,Goodwin,William,3,Centralia,,,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,B01291,Goodwin,William,T,,,B23,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,F21068,Goodwin,,1,Paducah,,p,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,F21068,Goodwin,,2,Belleville,,p,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,F21068,Goodwin,,3,Centralia,,p,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,F21068,Goodwin,,T,,,p20,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,P10432,Goodwin,,1,Paducah,,p,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,P10432,Goodwin,,2,Belleville,,p,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,P10432,Goodwin,,3,Centralia,,p,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,P10432,Goodwin,,T,,,P20p,goodwin
1950TSN,1949,Mississippi-Ohio Valley League,B00416,Green,William,0,Centralia,,B118,green
1950TSN,1949,Mississippi-Ohio Valley League,F20233,Green,,0,Centralia,,2b23,green
