source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1950TSN,1949,Mountain States League,B00973,Adams,Eugene,0,Big Stone Gap,,B138,adams
1950TSN,1949,Mountain States League,B01300,Aguiar,Jose,0,Newport,,B20,aguiar
1950TSN,1949,Mountain States League,F21021,Aguiar,,0,Newport,,p23,aguiar
1950TSN,1949,Mountain States League,P10361,Aguiar,,0,Newport,,P23p,aguiar
1950TSN,1949,Mountain States League,B00528,Aguilar,Sergio,0,Newport,,B86,aguilar
1950TSN,1949,Mountain States League,F20594,Aguilar,,0,Newport,,c86,aguilar
1950TSN,1949,Mountain States League,B00343,Alexy,John,0,Big Stone Gap,,B107,alexy
1950TSN,1949,Mountain States League,F20080,Alexy,,0,Big Stone Gap,,1b107,alexy
1950TSN,1949,Mountain States League,B00232,Anderson,Robert,0,Jenkins,,B29,anderson-jen
1950TSN,1949,Mountain States League,B00590,Anderson,Charles,0,Big Stone Gap,,B122,anderson-bsg
1950TSN,1949,Mountain States League,F20505,Anderson,,0,Big Stone Gap,,of122,anderson-bsg
1950TSN,1949,Mountain States League,F20721,Anderson,,0,Jenkins,,p25,anderson-jen
1950TSN,1949,Mountain States League,P10320,Anderson,,0,Jenkins,,P25p,anderson-jen
1950TSN,1949,Mountain States League,B00794,Ayers,Charles,0,Big Stone Gap,,B32,ayers
1950TSN,1949,Mountain States League,F21092,Ayers,,0,Big Stone Gap,,p32,ayers
1950TSN,1949,Mountain States League,P10407,Ayers,,0,Big Stone Gap,,P23p,ayers
1950TSN,1949,Mountain States League,B01250,Badger,Charles,0,Harlan,,B10,badger
1950TSN,1949,Mountain States League,B00308,Baker,Roy,0,Middlesboro,,B12,baker
1950TSN,1949,Mountain States League,B00936,Ballard,Eugene,0,Hazard,,B105,ballard
1950TSN,1949,Mountain States League,F20240,Ballard,,0,Hazard,,3b105,ballard
1950TSN,1949,Mountain States League,B01078,Battavio,Anthony,0,Big Stone Gap,,B25,battavio
1950TSN,1949,Mountain States League,B01197,Baxter,Orville,0,Big Stone Gap,,B15,baxter
1950TSN,1949,Mountain States League,F20807,Baxter,,0,Big Stone Gap,,p15,baxter
1950TSN,1949,Mountain States League,P10228,Baxter,,0,Big Stone Gap,,P15p,baxter
1950TSN,1949,Mountain States League,B00381,Benintendi,Robert,0,Big Stone Gap,,B118,benintendi
1950TSN,1949,Mountain States League,F20474,Benintendi,,0,Big Stone Gap,,of118,benintendi
1950TSN,1949,Mountain States League,B00718,Bertram,Samuel,0,Newport,,B107,bertram
1950TSN,1949,Mountain States League,F20375,Bertram,,0,Newport,,of107,bertram
1950TSN,1949,Mountain States League,B01203,Bise,Darrell,0,Pennington Gap,,B23,bise
1950TSN,1949,Mountain States League,F21163,Bise,,0,Pennington Gap,,p23,bise
1950TSN,1949,Mountain States League,P10550,Bise,,0,Pennington Gap,,P23p,bise
1950TSN,1949,Mountain States League,B01658,Boelling,Forrest,0,Hazard,,B16,boelling
1950TSN,1949,Mountain States League,F21149,Boelling,,0,Hazard,,p16,boelling
1950TSN,1949,Mountain States League,P10527,Boelling,,0,Hazard,,P15p,boelling
1950TSN,1949,Mountain States League,B00092,Bosch,Ortelio,0,Middlesboro,,B52,bosch
1950TSN,1949,Mountain States League,F20279,Bosch,,0,Middlesboro,,ss52,bosch
1950TSN,1949,Mountain States League,B01345,Branham,Ballard,0,Jenkins,,B23,branham
1950TSN,1949,Mountain States League,F20699,Branham,,0,Jenkins,,p28,branham
1950TSN,1949,Mountain States League,P10231,Branham,,0,Jenkins,,P28p,branham
1950TSN,1949,Mountain States League,B01384,Brient,Joseph,0,Hazard,,B42,brient
1950TSN,1949,Mountain States League,F20700,Brient,,0,Hazard,,p42,brient
1950TSN,1949,Mountain States League,P10441,Brient,,0,Hazard,,P39p,brient
1950TSN,1949,Mountain States League,B01086,Brophy,Thomas,0,Pennington Gap,,B44,brophy
1950TSN,1949,Mountain States League,B01428,Brown,Joseph,0,Big Stone Gap,,B16,brown-bsg
1950TSN,1949,Mountain States League,B01444,Brown,Roger,0,Hazard,,B14,brown-haz
