source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93252,Brooks,Bearl,,Hopkinsville,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93239,Close,William,,Madisonville,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93271,Contini,Harold,,Paducah,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93205,Crater,Marvin,,Owensboro,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93218,Davis,"John ""Red""",,Mayfield,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93226,Latshaw,Bob,,Madisonville,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93294,Lucas,Louis,,Jackson/Central City,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93195,Mincy,"Russell ""Red""",,Fulton,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93180,Naylor,Earl,,Union City,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93283,Peterson,Lee,,Paducah,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93260,Ramsey,Richards,,Hopkinsville,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93315,Ray,Hayden,,Jackson/Central City,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93302,Richardson,Joe,,Jackson/Central City,,
minoraverages/emilbb,1954,Kentucky-Illinois-Tennessee League,,M93247,Wright,Edward,,Hopkinsville,,
