source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,ackley,B00362,Ackley,Florian,0,Dubuque,,,29,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,ackley,F21752,Ackley,,0,Dubuque,,,,,p22
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,ackley,P10100,Ackley,,0,Dubuque,,,,22,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,anderson,B02266,Anderson,Russell,0,Dubuque,,,8,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,angelos,B02432,Angelos,Clyde,0,Kokomo,,,2,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,arbuckle,B02767,Arbuckle,Finis,0,Paris,,,4,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,armour,B02687,Armour,Jerry,0,Mattoon,,,2,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,armour,P11327,Armour,,0,Mattoon,,,,2,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,avery,B02441,Avery,Richard,0,Kokomo,,,5,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,avery,P11038,Avery,,0,Kokomo,,,,5,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,badia,B00985,Badia,Armenio,0,Lafayette,,,44,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,badia,F21117,Badia,,0,Lafayette,,,,,of42
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,badia,P11189,Badia,,0,Lafayette,,,,4,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,baker,B02277,Baker,Daniel,0,Dubuque,,,6,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,baker,P10894,Baker,,0,Dubuque,,,,6,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,barner,B01119,Barner,Samuel,1,Kokomo,,,17,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,barner,B01119,Barner,Samuel,2,Hannibal,,,27,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,barner,B01119,Barner,Samuel,T,,,,44,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,barner,F21324,Barner,,1,Kokomo,,,,,of
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,barner,F21324,Barner,,2,Hannibal,,,,,of
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,barner,F21324,Barner,,T,,,,,,of41
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,battle,B00680,Battle,Donald,0,Kokomo,,,122,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,battle,F21163,Battle,,0,Kokomo,,,,,of122
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bauer,B01649,Bauer,Charles,0,Dubuque,,,26,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bauer,F21865,Bauer,,0,Dubuque,,,,,p25
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bauer,P10698,Bauer,,0,Dubuque,,,,25,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bethea,B01514,Bethea,William,0,Clinton,,,26,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bethea,F21811,Bethea,,0,Clinton,,,,,p24
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bethea,P10043,Bethea,,0,Clinton,,,,24,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bickel,B00726,Bickel,Philip,0,Hannibal,,,58,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bickel,F20539,Bickel,,0,Hannibal,,,,,3b21
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bickel,F20685,Bickel,,0,Hannibal,,,,,ss16
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bickel,F20997,Bickel,,0,Hannibal,,,,,of18
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bontz,B01538,Bontz,William,0,Decatur,,,28,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bontz,F22238,Bontz,,0,Decatur,,,,,p29
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bontz,P10429,Bontz,,0,Decatur,,,,29,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bowen,B02575,Bowen,James,0,Lafayette,,,2,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bowen,P11190,Bowen,,0,Lafayette,,,,2,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bower,B01288,Bower,James,0,Kokomo,,,12,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bower,F21912,Bower,,0,Kokomo,,,,,p12
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bower,P10606,Bower,,0,Kokomo,,,,12,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bridgeman,B02772,Bridgeman,James,0,Paris,,,4,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bridgeman,P11401,Bridgeman,,0,Paris,,,,4,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,brown-par,B00068,Brown,Daniel,0,Paris,,,98,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,brown-cli,B01466,Brown,William,0,Clinton,,,30,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,brown-par,F20046,Brown,,0,Paris,,,,,1b29
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,brown-par,F20810,Brown,,0,Paris,,,,,of21
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,brown-par,F21434,Brown,,0,Paris,,,,,c49
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,brown-cli,F22036,Brown,,0,Clinton,,,,,p27
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,brown-cli,P10121,Brown,,0,Clinton,,,,27,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,burbank,B02289,Burbank,Ronald,0,Dubuque,,,5,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,burbank,P10901,Burbank,,0,Dubuque,,,,5,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,burris,B02780,Burris,William,0,Paris,,,4,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,burris,P11417,Burris,,0,Paris,,,,4,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bush,B01696,Bush,Robert,0,Lafayette,,,25,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,bush,F20233,Bush,,0,Lafayette,,,,,2b16
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,buzhardt,B01625,Buzhardt,John,0,Paris,,,36,,
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,buzhardt,F22223,Buzhardt,,0,Paris,,,,,p36
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,buzhardt,P10192,Buzhardt,,0,Paris,,,,36,p
minoraverages/1956TSN,1955,Mississippi-Ohio Valley League,callaway,B02698,Callaway,Charles,0,Mattoon,,,7,,
