source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1956,Eastern League,,M90650,Calo,Frank,,Syracuse,,,,,
minoraverages/emilbb,1956,Eastern League,,M90598,Carter,Dick,,Schenectady,,,,,
minoraverages/emilbb,1956,Eastern League,,M90675,Fitzpatrick,John,,Williamsport,,,,,
minoraverages/emilbb,1956,Eastern League,,M90603,Fitzsimmons,Freddie,,Binghamton,,,,,
minoraverages/emilbb,1956,Eastern League,,M90691,Genovese,Frank,,Johnstown,,,,,
minoraverages/emilbb,1956,Eastern League,,M90688,Gilbert,Andy,,Johnstown,,,,,
minoraverages/emilbb,1956,Eastern League,,M90616,Heffner,Don,,Reading,,,,,
minoraverages/emilbb,1956,Eastern League,,M90627,LeBlanc,Roland,,Allentown,,,,,
minoraverages/emilbb,1956,Eastern League,,M90634,McQuillen,Red,,Syracuse,,,,,
minoraverages/emilbb,1956,Eastern League,,M90669,Robinson,"Everett ""Sheriff""",,Albany,,,,,
minoraverages/emilbb,1956,Eastern League,,M90642,Torpey,Joe,,Syracuse,,,,,
