source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1958TSN,1957,Nebraska State League,B00013,Aceto,Roger,0,Grand Island,,B39,aceto
1958TSN,1957,Nebraska State League,F20737,Aceto,,0,Grand Island,,of35,aceto
1958TSN,1957,Nebraska State League,B02503,Acosta,Jesus,0,Superior,,B1,acosta
1958TSN,1957,Nebraska State League,P11102,Acosta,,0,Superior,,P1p,acosta
1958TSN,1957,Nebraska State League,B00021,Anderson,Ronald,0,Lexington,,B15,anderson.r
1958TSN,1957,Nebraska State League,B00037,Anderson,Harley,0,Lexington,,B29,anderson.h
1958TSN,1957,Nebraska State League,F20685,Anderson,,0,Lexington,,ss29,anderson.h
1958TSN,1957,Nebraska State League,F21488,Anderson,,0,Lexington,,p15,anderson.r
1958TSN,1957,Nebraska State League,P10019,Anderson,,0,Lexington,,P15p,anderson.r
1958TSN,1957,Nebraska State League,B02024,Andrews,Gerald,0,Holdrege,,B1,andrews
1958TSN,1957,Nebraska State League,P10738,Andrews,,0,Holdrege,,P2p,andrews
1958TSN,1957,Nebraska State League,B02441,Aparo,Sebastian,0,North Platte,,B9,aparo
1958TSN,1957,Nebraska State League,P10024,Aparo,,0,North Platte,,P9p,aparo
1958TSN,1957,Nebraska State League,B02516,Applegate,Frank,0,Superior,,B3,applegate
1958TSN,1957,Nebraska State League,B00045,Ashby,Solomon,0,Holdrege,,B20,ashby
1958TSN,1957,Nebraska State League,P10746,Ashby,,0,Holdrege,,P9p,ashby
1958TSN,1957,Nebraska State League,B02168,Auleta,Kent,0,Kearney,,B1,auleta
1958TSN,1957,Nebraska State League,P10847,Auleta,,0,Kearney,,P1p,auleta
1958TSN,1957,Nebraska State League,B02176,Bain,Benny,0,Kearney,,B7,bain
1958TSN,1957,Nebraska State League,P10852,Bain,,0,Kearney,,P7p,bain
1958TSN,1957,Nebraska State League,M90071,Baker,C. Ray,,Superior,,,baker
emilbb,1957,Nebraska State League,M92293,Baker,Charles Ray,,Superior,,,baker
1958TSN,1957,Nebraska State League,B00059,Balkwell,James,0,Grand Island,,B50,balkwell
1958TSN,1957,Nebraska State League,F20518,Balkwell,,0,Grand Island,,3b45,balkwell
1958TSN,1957,Nebraska State League,B02184,Ballard,Dennis,0,Kearney,,B2,ballard
1958TSN,1957,Nebraska State League,P10860,Ballard,,0,Kearney,,P2p,ballard
1958TSN,1957,Nebraska State League,B02192,Ballou,Laurance,0,Kearney,,B3,ballou
1958TSN,1957,Nebraska State League,P10871,Ballou,,0,Kearney,,P2p,ballou
1958TSN,1957,Nebraska State League,B00068,Banks,George,0,Kearney,,B42,banks
1958TSN,1957,Nebraska State League,F20233,Banks,,0,Kearney,,2b21,banks
1958TSN,1957,Nebraska State League,F20458,Banks,,0,Kearney,,3b15,banks
1958TSN,1957,Nebraska State League,B00076,Barbee,James L.,0,Superior,,B29,barbee
1958TSN,1957,Nebraska State League,F21475,Barbee,,0,Superior,,p14,barbee
1958TSN,1957,Nebraska State League,P10035,Barbee,,0,Superior,,P14p,barbee
1958TSN,1957,Nebraska State League,B00084,Barboza,Raymond,0,Grand Island,,B39,barboza
1958TSN,1957,Nebraska State League,F21076,Barboza,,0,Grand Island,,of31,barboza
1958TSN,1957,Nebraska State League,B00092,Barnett,Russell,0,Superior,,B12,barnett
1958TSN,1957,Nebraska State League,F21680,Barnett,,0,Superior,,p12,barnett
1958TSN,1957,Nebraska State League,P11115,Barnett,,0,Superior,,P12p,barnett
1958TSN,1957,Nebraska State League,B02527,Barnette,George,0,Superior,,B6,barnette
1958TSN,1957,Nebraska State League,P11128,Barnette,,0,Superior,,P6p,barnette
1958TSN,1957,Nebraska State League,B02035,Basse,Hugh,0,Holdrege,,B3,basse
1958TSN,1957,Nebraska State League,P10751,Basse,,0,Holdrege,,P3p,basse
1958TSN,1957,Nebraska State League,B02043,Baxter,William,0,Holdrege,,B6,baxter
1958TSN,1957,Nebraska State League,P10767,Baxter,,0,Holdrege,,P6p,baxter
1958TSN,1957,Nebraska State League,B00101,Beck,Frederick,0,Superior,,B19,beck
1958TSN,1957,Nebraska State League,F20166,Beck,,0,Superior,,2b15,beck
1958TSN,1957,Nebraska State League,B01804,Beerbower,Dale,0,Hastings,,B4,beerbower
1958TSN,1957,Nebraska State League,P10633,Beerbower,,0,Hastings,,P4p,beerbower
1958TSN,1957,Nebraska State League,B00117,Belden,George,0,Grand Island,,B16,belden
1958TSN,1957,Nebraska State League,F21308,Belden,,0,Grand Island,,p14,belden
1958TSN,1957,Nebraska State League,P10043,Belden,,0,Grand Island,,P14p,belden
1958TSN,1957,Nebraska State League,B00125,Bennett,Charles,0,Holdrege,,B55,bennett
1958TSN,1957,Nebraska State League,F21045,Bennett,,0,Holdrege,,of55,bennett
1958TSN,1957,Nebraska State League,B02290,Bertram,Donald,0,Lexington,,B5,bertram
1958TSN,1957,Nebraska State League,B00130,Biles,Leonard,0,Kearney,,B10,biles
1958TSN,1957,Nebraska State League,F21491,Biles,,0,Kearney,,p10,biles
1958TSN,1957,Nebraska State League,P10056,Biles,,0,Kearney,,P10p,biles
1958TSN,1957,Nebraska State League,B00149,Blattner,John,0,Lexington,,B28,blattner
1958TSN,1957,Nebraska State League,F20713,Blattner,,0,Lexington,,of24,blattner
1958TSN,1957,Nebraska State League,B00158,Bond,Lenis,0,Superior,,B18,bond
1958TSN,1957,Nebraska State League,F20526,Bond,,0,Superior,,3b13,bond
1958TSN,1957,Nebraska State League,B00163,Bonomini,Donald,0,Holdrege,,B55,bonomini
1958TSN,1957,Nebraska State League,F20768,Bonomini,,0,Holdrege,,of55,bonomini
1958TSN,1957,Nebraska State League,B00174,Botto,Robert,0,North Platte,,B24,botto
1958TSN,1957,Nebraska State League,F21718,Botto,,0,North Platte,,p22,botto
1958TSN,1957,Nebraska State League,P10062,Botto,,0,North Platte,,P22p,botto
1958TSN,1957,Nebraska State League,B02202,Boulware,Wallace,0,Kearney,,B4,boulware
1958TSN,1957,Nebraska State League,B00182,Boyd,Robert,0,Superior,,B56,boyd
1958TSN,1957,Nebraska State League,F20864,Boyd,,0,Superior,,of56,boyd
1958TSN,1957,Nebraska State League,B01812,Brannon,Joseph,0,Hastings,,B1,brannon
1958TSN,1957,Nebraska State League,P10640,Brannon,,0,Hastings,,P1p,brannon
1958TSN,1957,Nebraska State League,B02534,Bravo,Danilo,0,Superior,,B5,bravo
1958TSN,1957,Nebraska State League,B02056,Bretsel,,0,Holdrege,,B1,bretsel
1958TSN,1957,Nebraska State League,P10772,Bretsel,,0,Holdrege,,P1p,bretsel
1958TSN,1957,Nebraska State League,B02455,Brideweser,John,0,North Platte,,B5,brideweser
1958TSN,1957,Nebraska State League,B00196,Brotz,Gary,0,Hastings,,B14,brotz
1958TSN,1957,Nebraska State League,B02304,Brown,Peter,0,Lexington,,B2,brown
1958TSN,1957,Nebraska State League,P10930,Brown,,0,Lexington,,P2p,brown
1958TSN,1957,Nebraska State League,B01820,Buhite,Russell,0,Hastings,,B4,buhite
1958TSN,1957,Nebraska State League,B02215,Burgess,William,0,Kearney,,B8,burgess
1958TSN,1957,Nebraska State League,B00207,Burke,Robert,0,North Platte,,B50,burke
1958TSN,1957,Nebraska State League,F21207,Burke,,0,North Platte,,c43,burke
1958TSN,1957,Nebraska State League,B00210,Caldwell,William,0,North Platte,,B52,caldwell
1958TSN,1957,Nebraska State League,F20190,Caldwell,,0,North Platte,,2b50,caldwell
1958TSN,1957,Nebraska State League,B00229,Campo,Milton,0,Kearney,,B55,campo
1958TSN,1957,Nebraska State League,F20115,Campo,,0,Kearney,,1b55,campo
1958TSN,1957,Nebraska State League,B01836,Canberg,Robert,0,Hastings,,B1,canberg
1958TSN,1957,Nebraska State League,B00232,Card,James,0,North Platte,,B55,card
1958TSN,1957,Nebraska State League,F20474,Card,,0,North Platte,,3b21,card
1958TSN,1957,Nebraska State League,F20673,Card,,0,North Platte,,ss35,card
1958TSN,1957,Nebraska State League,B00241,Carlsen,Raymond,0,McCook,,B45,carlsen
1958TSN,1957,Nebraska State League,F20425,Carlsen,,0,McCook,,3b29,carlsen
1958TSN,1957,Nebraska State League,P11009,Carlsen,,0,McCook,,P4p,carlsen
1958TSN,1957,Nebraska State League,B00255,Chaney,Roger,0,Kearney,,B56,chaney
1958TSN,1957,Nebraska State League,F20829,Chaney,,0,Kearney,,of56,chaney
1958TSN,1957,Nebraska State League,B00264,Charron,David,0,Lexington,,B41,charron
1958TSN,1957,Nebraska State League,F21149,Charron,,0,Lexington,,c37,charron
1958TSN,1957,Nebraska State League,B00278,Christopher,Anthony,0,Holdrege,,B54,christopher
1958TSN,1957,Nebraska State League,F20316,Christopher,,0,Holdrege,,2b35,christopher
1958TSN,1957,Nebraska State League,B00286,Clayton,Douglas,0,McCook,,B56,clayton
1958TSN,1957,Nebraska State League,F20222,Clayton,,0,McCook,,2b14,clayton
1958TSN,1957,Nebraska State League,F20401,Clayton,,0,McCook,,3b22,clayton
1958TSN,1957,Nebraska State League,F20552,Clayton,,0,McCook,,ss26,clayton
1958TSN,1957,Nebraska State League,B02312,Clift,Harland,0,Lexington,,B7,clift
1958TSN,1957,Nebraska State League,P10949,Clift,,0,Lexington,,P7p,clift
1958TSN,1957,Nebraska State League,B01658,Clone,Vincent,0,Grand Island,,B4,clone
1958TSN,1957,Nebraska State League,B00293,Corley,Pearce,0,Superior,,B17,corley
1958TSN,1957,Nebraska State League,F21502,Corley,,0,Superior,,p17,corley
1958TSN,1957,Nebraska State League,P10070,Corley,,0,Superior,,P17p,corley
1958TSN,1957,Nebraska State League,B00308,Cormack,Dennis,0,North Platte,,B28,cormack
1958TSN,1957,Nebraska State League,F20131,Cormack,,0,North Platte,,1b27,cormack
1958TSN,1957,Nebraska State League,B00319,Coughtry,Wayne,0,Lexington,,B19,coughtry
1958TSN,1957,Nebraska State League,F21381,Coughtry,,0,Lexington,,p19,coughtry
1958TSN,1957,Nebraska State League,P10081,Coughtry,,0,Lexington,,P19p,coughtry
1958TSN,1957,Nebraska State League,B01663,Coulter,Joseph,0,Grand Island,,B3,coulter
1958TSN,1957,Nebraska State League,B00324,Council,Claybon,0,Hastings,,B41,council-has
1958TSN,1957,Nebraska State League,B02062,Council,Emerson,0,Holdrege,,B4,council-hol
1958TSN,1957,Nebraska State League,F20375,Council,,0,Hastings,,3b11,council-has
1958TSN,1957,Nebraska State League,F21092,Council,,0,Hastings,,c26,council-has
1958TSN,1957,Nebraska State League,B02542,Cox,Benjamin,0,Superior,,B8,cox
1958TSN,1957,Nebraska State League,B00335,Creed,Jackie,0,Lexington,,B52,creed
1958TSN,1957,Nebraska State League,F20935,Creed,,0,Lexington,,of52,creed
1958TSN,1957,Nebraska State League,B00343,Cregan,John,0,Hastings,,B13,cregan
1958TSN,1957,Nebraska State League,F21229,Cregan,,0,Hastings,,p13,cregan
1958TSN,1957,Nebraska State League,P10097,Cregan,,0,Hastings,,P13p,cregan
1958TSN,1957,Nebraska State League,B00356,Cunningham,Michael,0,Lexington,,B10,cunningham
1958TSN,1957,Nebraska State League,F21255,Cunningham,,0,Lexington,,p10,cunningham
1958TSN,1957,Nebraska State League,P10100,Cunningham,,0,Lexington,,P10p,cunningham
1958TSN,1957,Nebraska State League,B00362,Davis,Wilton,0,North Platte,,B19,davis-np
1958TSN,1957,Nebraska State League,B01848,Davis,James,0,Hastings,,B5,davis-has
1958TSN,1957,Nebraska State League,F21264,Davis,,0,North Platte,,p18,davis-np
1958TSN,1957,Nebraska State League,P10113,Davis,,0,North Platte,,P18p,davis-np
1958TSN,1957,Nebraska State League,P10654,Davis,,0,Hastings,,P4p,davis-has
1958TSN,1957,Nebraska State League,B00370,Dawson,Gerald,0,McCook,,B50,dawson
1958TSN,1957,Nebraska State League,F20014,Dawson,,0,McCook,,1b20,dawson
1958TSN,1957,Nebraska State League,F20745,Dawson,,0,McCook,,of29,dawson
1958TSN,1957,Nebraska State League,B02320,Day,Raymond,0,Lexington,,B4,day
1958TSN,1957,Nebraska State League,P10958,Day,,0,Lexington,,P4p,day
1958TSN,1957,Nebraska State League,B00381,DeGennaro,Anthony,0,Grand Island,,B52,degennaro
1958TSN,1957,Nebraska State League,F21174,DeGennaro,,0,Grand Island,,c48,degennaro
1958TSN,1957,Nebraska State League,B00397,Dembia,Thomas,0,Grand Island,,B11,dembia
1958TSN,1957,Nebraska State League,F21646,Dembia,,0,Grand Island,,p11,dembia
1958TSN,1957,Nebraska State League,P10121,Dembia,,0,Grand Island,,P11p,dembia
1958TSN,1957,Nebraska State League,B00403,DiDomenico,Joseph,0,Kearney,,B34,didomenico
1958TSN,1957,Nebraska State League,F21059,DiDomenico,,0,Kearney,,of31,didomenico
1958TSN,1957,Nebraska State League,B01674,Diaz,Eduardo,0,Grand Island,,B3,diaz
1958TSN,1957,Nebraska State League,B01682,Donovan,David,0,Grand Island,,B4,donovan
1958TSN,1957,Nebraska State League,P10575,Donovan,,0,Grand Island,,P4p,donovan
1958TSN,1957,Nebraska State League,B00416,Dunham,Homer L.,0,Kearney,,B41,dunham
1958TSN,1957,Nebraska State League,F20449,Dunham,,0,Kearney,,3b34,dunham
1958TSN,1957,Nebraska State League,B01994,Dvenson,Donald,0,Hastings,,B8,svenson
1958TSN,1957,Nebraska State League,B00427,Eberly,Merl,0,Holdrege,,B43,eberly
1958TSN,1957,Nebraska State League,F21130,Eberly,,0,Holdrege,,c40,eberly
1958TSN,1957,Nebraska State League,B01696,Eltzholtz,Edward,0,Grand Island,,B9,eltzholtz
1958TSN,1957,Nebraska State League,B02550,Emanuele,Raymond,0,Superior,,B6,emanuele
1958TSN,1957,Nebraska State League,P11131,Emanuele,,0,Superior,,P5p,emanuele
1958TSN,1957,Nebraska State League,B02228,Erickson,Paul,0,Kearney,,B9,erickson
