source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1958TSN,1957,Western League,almenares,B00013,Almenares,Pedro,0,Pueblo,,,150,,
minoraverages/1958TSN,1957,Western League,almenares,F21207,Almenares,,0,Pueblo,,,,,of147
minoraverages/1958TSN,1957,Western League,anderton,B00021,Anderton,Robert,0,Lincoln,,,12,,
minoraverages/1958TSN,1957,Western League,anderton,F21590,Anderton,,0,Lincoln,,,,,p12
minoraverages/1958TSN,1957,Western League,anderton,P10019,Anderton,,0,Lincoln,,,,12,p
minoraverages/1958TSN,1957,Western League,arendt,B02654,Arendt,Robert,0,Topeka,,,8,,
minoraverages/1958TSN,1957,Western League,arendt,P11388,Arendt,,0,Topeka,,,,8,p
minoraverages/1958TSN,1957,Western League,arias,B00037,Arias,Rodolfo,0,Colorado Springs,,,58,,
minoraverages/1958TSN,1957,Western League,arias,F21840,Arias,,0,Colorado Springs,,,,,p53
minoraverages/1958TSN,1957,Western League,arias,P10024,Arias,,0,Colorado Springs,,,,53,p
minoraverages/1958TSN,1957,Western League,atkinson,B00045,Atkinson,Richard,0,Colorado Springs,,,24,,
minoraverages/1958TSN,1957,Western League,atkinson,F21887,Atkinson,,0,Colorado Springs,,,,,p24
minoraverages/1958TSN,1957,Western League,atkinson,P10035,Atkinson,,0,Colorado Springs,,,,24,p
minoraverages/1958TSN,1957,Western League,attyd,B00059,Attyd,Leonard,0,Amarillo,,,99,,
minoraverages/1958TSN,1957,Western League,attyd,F20552,Attyd,,0,Amarillo,,,,,3b37
minoraverages/1958TSN,1957,Western League,attyd,F21182,Attyd,,0,Amarillo,,,,,of38
minoraverages/1958TSN,1957,Western League,bacon,B00068,Bacon,Donald,0,Colorado Springs,,,50,,
minoraverages/1958TSN,1957,Western League,bacon,F20737,Bacon,,0,Colorado Springs,,,,,ss50
minoraverages/1958TSN,1957,Western League,baliga,B00076,Baliga,Joseph,0,Pueblo,,,18,,
minoraverages/1958TSN,1957,Western League,baliga,F22127,Baliga,,0,Pueblo,,,,,p15
minoraverages/1958TSN,1957,Western League,baliga,P10043,Baliga,,0,Pueblo,,,,15,p
minoraverages/1958TSN,1957,Western League,bartels,B00084,Bartels,Frederick,0,Albuquerque,,,76,,
minoraverages/1958TSN,1957,Western League,bartels,F20166,Bartels,,0,Albuquerque,,,,,1b57
minoraverages/1958TSN,1957,Western League,bartels,F21752,Bartels,,0,Albuquerque,,,,,p11
minoraverages/1958TSN,1957,Western League,bartels,P10839,Bartels,,0,Albuquerque,,,,11,p
minoraverages/1958TSN,1957,Western League,bean,B00092,Bean,Roger,0,Pueblo,,,10,,
minoraverages/1958TSN,1957,Western League,beeler,B02176,Beeler,Joseph,0,Amarillo,,,1,,
minoraverages/1958TSN,1957,Western League,bell-alb,B00101,Bell,Charles,0,Albuquerque,,,104,,
minoraverages/1958TSN,1957,Western League,bell-lin,B00117,Bell,William,0,Lincoln,,,41,,
minoraverages/1958TSN,1957,Western League,bell-alb,F20685,Bell,,0,Albuquerque,,,,,ss104
minoraverages/1958TSN,1957,Western League,bell-lin,F22329,Bell,,0,Lincoln,,,,,p32
minoraverages/1958TSN,1957,Western League,bell-lin,P10056,Bell,W.,0,Lincoln,,,,32,p
minoraverages/1958TSN,1957,Western League,bellotti,B00125,Bellotti,Carl,0,Sioux City,,,22,,
minoraverages/1958TSN,1957,Western League,bellotti,F20673,Bellotti,,0,Sioux City,,,,,ss22
