source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
1959TSN,1958,Appalachian League,B01321,Adair,Jack,0,Bluefield,,B2,adair
1959TSN,1958,Appalachian League,P10591,Adair,,0,Bluefield,,P2p,adair
1959TSN,1958,Appalachian League,B00013,Alvarez,Demetrio,0,Wytheville,,B24,alvarez
1959TSN,1958,Appalachian League,F20893,Alvarez,,0,Wytheville,,c24,alvarez
1959TSN,1958,Appalachian League,B00021,Ambrosino,Vincent,0,Salem,,B26,ambrosino
1959TSN,1958,Appalachian League,F20792,Ambrosino,,0,Salem,,of19,ambrosino
1959TSN,1958,Appalachian League,B01625,Anders,John,0,Salem,,B2,anders
1959TSN,1958,Appalachian League,B01337,Antwert,,0,Bluefield,,B1,antwert
1959TSN,1958,Appalachian League,B00037,Baker,George,0,Bluefield,,B17,baker
1959TSN,1958,Appalachian League,F20482,Baker,,0,Bluefield,,ss17,baker
1959TSN,1958,Appalachian League,B00045,Balling,Joseph,0,Johnson City,,B30,balling
1959TSN,1958,Appalachian League,F20265,Balling,,0,Johnson City,,3b24,balling
1959TSN,1958,Appalachian League,B01477,Baron,Victor,0,Johnson City,,B5,baron
1959TSN,1958,Appalachian League,B00059,Baughman,Larry,0,Johnson City,,B22,baughman
1959TSN,1958,Appalachian League,F21021,Baughman,,0,Johnson City,,c21,baughman
1959TSN,1958,Appalachian League,B01630,Bell,Brian,0,Salem,,B2,bell
1959TSN,1958,Appalachian League,P10780,Bell,,0,Salem,,P2p,bell
1959TSN,1958,Appalachian League,B00068,Bennett,Charles,0,Johnson City,,B27,bennett.c
1959TSN,1958,Appalachian League,B00076,Bennett,Dennis,0,Johnson City,,B13,bennett.d
1959TSN,1958,Appalachian League,F20970,Bennett,C.,0,Johnson City,,c24,bennett.c
1959TSN,1958,Appalachian League,F21324,Bennett,D.,0,Johnson City,,p13,bennett.d
1959TSN,1958,Appalachian League,P10019,Bennett,D.,0,Johnson City,,P13p,bennett.d
1959TSN,1958,Appalachian League,B00084,Blanton,Dexter,0,Pulaski,,B22,blanton
1959TSN,1958,Appalachian League,F20526,Blanton,,0,Pulaski,,of19,blanton
1959TSN,1958,Appalachian League,B00092,Blewett,Michael,0,Bluefield,,B43,blewett
1959TSN,1958,Appalachian League,F20449,Blewett,,0,Bluefield,,ss63,blewett
1959TSN,1958,Appalachian League,P10606,Blewett,,0,Bluefield,,P1p,blewett
1959TSN,1958,Appalachian League,B00101,Bolick,Steve,0,Pulaski,,B63,bolick
1959TSN,1958,Appalachian League,F20051,Bolick,,0,Pulaski,,1b23,bolick
1959TSN,1958,Appalachian League,F20177,Bolick,,0,Pulaski,,2b12,bolick
1959TSN,1958,Appalachian League,F20316,Bolick,,0,Pulaski,,3b12,bolick
1959TSN,1958,Appalachian League,F20648,Bolick,,0,Pulaski,,of15,bolick
1959TSN,1958,Appalachian League,B01345,Bradshaw,Derris,0,Bluefield,,B9,bradshaw
1959TSN,1958,Appalachian League,B01489,Brakus,Edward,0,Johnson City,,B2,brakus
1959TSN,1958,Appalachian League,P10698,Brakus,,0,Johnson City,,P2p,brakus
1959TSN,1958,Appalachian League,B00117,Branson,Donald,0,Wytheville,,B37,branson
1959TSN,1958,Appalachian League,F20594,Branson,,0,Wytheville,,of36,branson
1959TSN,1958,Appalachian League,B00125,Brink,Richard,0,Pulaski,,B26,brink
1959TSN,1958,Appalachian League,F20298,Brink,,0,Pulaski,,3b26,brink
1959TSN,1958,Appalachian League,B00130,Broughton,James,0,Wytheville,,B59,broughton
1959TSN,1958,Appalachian League,F20620,Broughton,,0,Wytheville,,of57,broughton
1959TSN,1958,Appalachian League,B01649,Bruce,Preston,0,Salem,,B9,bruce
1959TSN,1958,Appalachian League,P10024,Bruce,,0,Salem,,P8p,bruce
1959TSN,1958,Appalachian League,B01490,Bubash,Robert,0,Johnson City,,B4,bubash
1959TSN,1958,Appalachian League,P10709,Bubash,,0,Johnson City,,P4p,bubash
1959TSN,1958,Appalachian League,B00149,Buntin,William,0,Pulaski,,B54,buntin
1959TSN,1958,Appalachian League,F20855,Buntin,,0,Pulaski,,of15,buntin
1959TSN,1958,Appalachian League,F20943,Buntin,,0,Pulaski,,c34,buntin
1959TSN,1958,Appalachian League,B00158,Burr,James,0,Salem,,B12,burr
1959TSN,1958,Appalachian League,B00163,Butler,Phillip,0,Wytheville,,B29,butler
1959TSN,1958,Appalachian League,F20832,Butler,,0,Wytheville,,of26,butler
1959TSN,1958,Appalachian League,B00174,Byrd,Lawrence,0,Bluefield,,B23,byrd-blu
1959TSN,1958,Appalachian League,B01658,Byrd,,0,Salem,,B2,byrd-sal
1959TSN,1958,Appalachian League,B00182,Caldwell,James,0,Bluefield,,B27,caldwell
1959TSN,1958,Appalachian League,F20981,Caldwell,,0,Bluefield,,c21,caldwell
1959TSN,1958,Appalachian League,B00196,Campbell,Nolan,0,Johnson City,,B40,campbell-jc
1959TSN,1958,Appalachian League,B00207,Campbell,William,0,Wytheville,,B13,campbell-wyt
1959TSN,1958,Appalachian League,B01572,Campbell,Glenn,0,Pulaski,,B8,campbell-pul
1959TSN,1958,Appalachian League,F20131,Campbell,,0,Wytheville,,2b11,campbell-wyt
1959TSN,1958,Appalachian League,F20745,Campbell,,0,Johnson City,,of10,campbell-jc
1959TSN,1958,Appalachian League,F20956,Campbell,,0,Johnson City,,c27,campbell-jc
1959TSN,1958,Appalachian League,B00210,Capelle,Jack,0,Wytheville,,B24,capelle
1959TSN,1958,Appalachian League,F20334,Capelle,,0,Wytheville,,3b14,capelle
1959TSN,1958,Appalachian League,B00229,Carmo,Robert,0,Johnson City,,B40,carmo
1959TSN,1958,Appalachian League,F20776,Carmo,,0,Johnson City,,of38,carmo
1959TSN,1958,Appalachian League,B00232,Carver,James,0,Bluefield,,B42,carver
1959TSN,1958,Appalachian League,F20388,Carver,,0,Bluefield,,3b15,carver
1959TSN,1958,Appalachian League,F20908,Carver,,0,Bluefield,,c17,carver
1959TSN,1958,Appalachian League,B00241,Casteen,Adrian,0,Johnson City,,B10,casteen.a
1959TSN,1958,Appalachian League,B00255,Casteen,Danny,0,Johnson City,,B58,casteen.d
1959TSN,1958,Appalachian League,F20685,Casteen,D.,0,Johnson City,,of56,casteen.d
1959TSN,1958,Appalachian League,B00264,Cater,Danny,0,Johnson City,,B68,cater
1959TSN,1958,Appalachian League,F20430,Cater,,0,Johnson City,,ss63,cater
