source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1958,California League,,M91200,Edwards,Bruce,,Visalia,,,,,
minoraverages/emilbb,1958,California League,,M91276,Forthmann,Al,,Salinas,,,,,
minoraverages/emilbb,1958,California League,,M91268,Marasco,Victor,,Salinas,,,,,
minoraverages/emilbb,1958,California League,,M91213,Mattick,Bobby,,Visalia,,,,,
minoraverages/emilbb,1958,California League,,M91173,McCormick,Mike,,Fresno,,,,,
minoraverages/emilbb,1958,California League,,M91185,Owens,Paul,,Bakersfield,,,,,
minoraverages/emilbb,1958,California League,,M91259,Paepke,Jack,,San Jose/Las Vegas,,,,,
minoraverages/emilbb,1958,California League,,M91245,Perry,Ray,,Reno,,,,,
minoraverages/emilbb,1958,California League,,M91237,Phillips,Damon,,Modesto,,,,,
minoraverages/emilbb,1958,California League,,M91199,Pries,Don,,Stockton,,,,,
minoraverages/emilbb,1958,California League,,M91221,Taylor,Larry,,Visalia,,,,,
