source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/1959TSN,1958,Nebraska State League,,B00013,Abraham,William,0,Holdrege,,,25,,
minoraverages/1959TSN,1958,Nebraska State League,,F21241,Abraham,,0,Holdrege,,,,,c13
minoraverages/1959TSN,1958,Nebraska State League,,B00021,Ackerman,Charles,0,Grand Island,,,25,,
minoraverages/1959TSN,1958,Nebraska State League,,F21013,Ackerman,,0,Grand Island,,,,,of19
minoraverages/1959TSN,1958,Nebraska State League,,B00037,Alexander,George,0,Kearney,,,11,,
minoraverages/1959TSN,1958,Nebraska State League,,F21760,Alexander,,0,Kearney,,,,,p11
minoraverages/1959TSN,1958,Nebraska State League,,P10019,Alexander,,0,Kearney,,,,11,
minoraverages/1959TSN,1958,Nebraska State League,,B00045,Alexis,Ruben,0,Hastings,,,23,,
minoraverages/1959TSN,1958,Nebraska State League,,F20166,Alexis,,0,Hastings,,,,,1b21
minoraverages/1959TSN,1958,Nebraska State League,,B02304,Allen,Eloy,0,Kearney,,,2,,
minoraverages/1959TSN,1958,Nebraska State League,,P10996,Allen,,0,Kearney,,,,2,
minoraverages/1959TSN,1958,Nebraska State League,,B00059,Altamirano,Rene,0,Hastings,,,53,,
minoraverages/1959TSN,1958,Nebraska State League,,F20496,Altamirano,,0,Hastings,,,,,ss51
minoraverages/1959TSN,1958,Nebraska State League,,B02486,Andujar,Rafael,0,McCook,,,9,,
minoraverages/1959TSN,1958,Nebraska State League,,P10024,Andujar,,0,McCook,,,,9,
minoraverages/1959TSN,1958,Nebraska State League,,B00068,Asmus,Robert,0,Superior,,,31,,
minoraverages/1959TSN,1958,Nebraska State League,,F20014,Asmus,,0,Superior,,,,,1b16
minoraverages/1959TSN,1958,Nebraska State League,,B00076,Atkinson,Gary,0,McCook,,,12,,
minoraverages/1959TSN,1958,Nebraska State League,,F21879,Atkinson,,0,McCook,,,,,p12
minoraverages/1959TSN,1958,Nebraska State League,,P11115,Atkinson,,0,McCook,,,,12,
minoraverages/1959TSN,1958,Nebraska State League,,B02312,Averette,Robert,0,Kearney,,,2,,
minoraverages/1959TSN,1958,Nebraska State League,,P11009,Averette,,0,Kearney,,,,2,
minoraverages/1959TSN,1958,Nebraska State League,,B00084,Backhaus,Douglas,0,Kearney,,,27,,
minoraverages/1959TSN,1958,Nebraska State League,,F20924,Backhaus,,0,Kearney,,,,,of23
minoraverages/1959TSN,1958,Nebraska State League,,B00092,Barbee,Ronald,0,Superior,,,34,,
minoraverages/1959TSN,1958,Nebraska State League,,F20287,Barbee,,0,Superior,,,,,2b29
minoraverages/1959TSN,1958,Nebraska State League,,B00101,Barillo,James,0,Holdrege,,,40,,
minoraverages/1959TSN,1958,Nebraska State League,,F20265,Barillo,,0,Holdrege,,,,,2b37
minoraverages/1959TSN,1958,Nebraska State League,,B02320,Barker,James D.,0,Kearney,,,3,,
minoraverages/1959TSN,1958,Nebraska State League,,P11014,Barker,,0,Kearney,,,,3,
minoraverages/1959TSN,1958,Nebraska State League,,B00117,Belcher,Eugene,0,Hastings,,,11,,
minoraverages/1959TSN,1958,Nebraska State League,,B00125,Benner,Vernon,0,North Platte,,,46,,
minoraverages/1959TSN,1958,Nebraska State League,,F20189,Benner,,0,North Platte,,,,,2b14
minoraverages/1959TSN,1958,Nebraska State League,,F20327,Benner,,0,North Platte,,,,,3b23
minoraverages/1959TSN,1958,Nebraska State League,,B02527,Bettez,Ronald,0,North Platte,,,5,,
minoraverages/1959TSN,1958,Nebraska State League,,B00130,Biederman,Robert,0,McCook,,,50,,
minoraverages/1959TSN,1958,Nebraska State League,,F21101,Biedermann,,0,McCook,,,,,c50
minoraverages/1959TSN,1958,Nebraska State League,,B00149,Blackford,Robert,0,Lexington,,,43,,
minoraverages/1959TSN,1958,Nebraska State League,,F20449,Blackford,,0,Lexington,,,,,3b24
minoraverages/1959TSN,1958,Nebraska State League,,F20594,Blackford,,0,Lexington,,,,,ss10
minoraverages/1959TSN,1958,Nebraska State League,,B00158,Boos,Lawrence,0,Grand Island,,,15,,
minoraverages/1959TSN,1958,Nebraska State League,,F21840,Boos,,0,Grand Island,,,,,p15
minoraverages/1959TSN,1958,Nebraska State League,,P10035,Boos,,0,Grand Island,,,,15,
minoraverages/1959TSN,1958,Nebraska State League,,B00163,Brannon,Jerry,1,North Platte,,,11,,
minoraverages/1959TSN,1958,Nebraska State League,,B00163,Brannon,Jerry,2,Kearney,,,6,,
minoraverages/1959TSN,1958,Nebraska State League,,B00163,Brannon,Jerry,T,,,,17,,
minoraverages/1959TSN,1958,Nebraska State League,,B00174,Brockhoff,Joseph,0,Kearney,,,20,,
minoraverages/1959TSN,1958,Nebraska State League,,F21293,Brockhoff,,0,Kearney,,,,,c18
minoraverages/1959TSN,1958,Nebraska State League,,B00182,Brown,Benjamin,0,Kearney,,,41,,
minoraverages/1959TSN,1958,Nebraska State League,,B00196,Brown,Thomas E.,0,Holdrege,,,37,,
minoraverages/1959TSN,1958,Nebraska State League,,F20303,Brown,,0,Holdrege,,,,,2b23
minoraverages/1959TSN,1958,Nebraska State League,,F20417,Brown,,0,Kearney,,,,,3b39
minoraverages/1959TSN,1958,Nebraska State League,,B00207,Brunton,Raymond,0,Grand Island,,,14,,
minoraverages/1959TSN,1958,Nebraska State League,,F21475,Brunton,,0,Grand Island,,,,,p14
