source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1967TSN,1966,Mexican League,,B00013,Acea,Gregorio,0,Veracruz,,B27
1967TSN,1966,Mexican League,,F21158,Acea,,0,Veracruz,,of27
1967TSN,1966,Mexican League,,B00021,Acosta,Gabriel,0,Reynosa,,B21
1967TSN,1966,Mexican League,,F21771,Acosta,,0,Reynosa,,p21
1967TSN,1966,Mexican League,,P10019,Acosta,,0,Reynosa,,P21
1967TSN,1966,Mexican League,,B00037,Aguirre,Sergio,0,Monterrey,,B49
1967TSN,1966,Mexican League,,F21241,Aguirre,,0,Monterrey,,c39
1967TSN,1966,Mexican League,,B00045,Ahumada,Alejo,0,Reynosa,,B12
1967TSN,1966,Mexican League,,F21553,Ahumada,,0,Reynosa,,p12
1967TSN,1966,Mexican League,,P10024,Ahumada,,0,Reynosa,,P12
1967TSN,1966,Mexican League,,B00059,Alvarez,Arturo,0,Mexico City Reds,,B128
1967TSN,1966,Mexican League,,B00068,Alvarez,Oswaldo,0,Jalisco,,B2
1967TSN,1966,Mexican League,,F20166,Alvarez,A.,0,Mexico City Reds,,1b39
1967TSN,1966,Mexican League,,F20855,Alvarez,A.,0,Mexico City Reds,,of86
1967TSN,1966,Mexican League,,B00076,Arano,Efrain,0,Poza Rica,,B46
1967TSN,1966,Mexican League,,B00084,Arano,Ramon,0,Mexico City Reds,,B40
1967TSN,1966,Mexican League,,B00092,Arano,Wilfredo,0,Mexico City Reds,,B11
1967TSN,1966,Mexican League,,F21904,Arano,R.,0,Mexico City Reds,,p39
1967TSN,1966,Mexican League,,F22048,Arano,E.,0,Poza Rica,,p31
1967TSN,1966,Mexican League,,P10035,Arano,E.,0,Poza Rica,,P31
1967TSN,1966,Mexican League,,P10043,Arano,R.,0,Mexico City Reds,,P39
1967TSN,1966,Mexican League,,B00101,Arias,Rodolfo,0,Poza Rica,,B5
1967TSN,1966,Mexican League,,P10056,Arias,,0,Poza Rica,,P4
1967TSN,1966,Mexican League,,B00117,Ariosa,Mario,0,Veracruz,,B59
1967TSN,1966,Mexican League,,F20153,Ariosa,,0,Veracruz,,1b26
1967TSN,1966,Mexican League,,B00125,Armas,Abel,0,Reynosa,,B14
1967TSN,1966,Mexican League,,F22116,Armas,,0,Reynosa,,p14
1967TSN,1966,Mexican League,,P10062,Armas,,0,Reynosa,,P14
1967TSN,1966,Mexican League,,B00130,Armenta,Anselmo,0,Reynosa,,B16
1967TSN,1966,Mexican League,,F21210,Armenta,,0,Reynosa,,c13
1967TSN,1966,Mexican League,,B00149,Arvizu,Oscar,0,Mexico City Reds,,B13
1967TSN,1966,Mexican League,,F21531,Arvizu,,0,Mexico City Reds,,p13
1967TSN,1966,Mexican League,,P10070,Arvizu,,0,Mexico City Reds,,P13
1967TSN,1966,Mexican League,,B00158,Avena,Andres,0,Mexico City Tigers,,B10
1967TSN,1966,Mexican League,,F21614,Avena,,0,Mexico City Tigers,,p10
1967TSN,1966,Mexican League,,P10081,Avena,,0,Mexico City Tigers,,P10
1967TSN,1966,Mexican League,,M90071,Avila,Roberto,,Puebla,,
emilbb,1966,Mexican League,,M90317,Avila,Roberto,,Puebla,,
1967TSN,1966,Mexican League,,B00163,Ayon,Andres,0,Puebla,,B39
1967TSN,1966,Mexican League,,F21695,Ayon,,0,Puebla,,p34
1967TSN,1966,Mexican League,,P10097,Ayon,,0,Puebla,,P34
1967TSN,1966,Mexican League,,B00174,Balderas,Abelardo,0,Mexico City Reds,,B118
1967TSN,1966,Mexican League,,F20547,Balderas,,0,Mexico City Reds,,ss118
1967TSN,1966,Mexican League,,B00182,Bankhead,Daniel,0,Reynosa,,B11
1967TSN,1966,Mexican League,,M90141,Bankhead,Daniel,,Reynosa,19660602/,
1967TSN,1966,Mexican League,,P10100,Bankhead,,0,Reynosa,,P6
emilbb,1966,Mexican League,,M90374,Bankhead,Dan,,Reynosa,,
1967TSN,1966,Mexican League,,B00196,Barajas,Armando,0,Mexico City Reds,,B55
1967TSN,1966,Mexican League,,F20327,Barajas,,0,Mexico City Reds,,2b52
1967TSN,1966,Mexican League,,B00207,Barnes,Frank,0,Reynosa,,B27
1967TSN,1966,Mexican League,,F21920,Barnes,,0,Reynosa,,p26
1967TSN,1966,Mexican League,,P10113,Barnes,,0,Reynosa,,P26
1967TSN,1966,Mexican League,,B00210,Barrera,Jose Luis,0,Jalisco,,B3
1967TSN,1966,Mexican League,,B00229,Barrera,Olegario,0,Poza Rica,,B13
1967TSN,1966,Mexican League,,F22191,Barrera,O.,0,Poza Rica,,p13
1967TSN,1966,Mexican League,,P10121,Barrera,O.,0,Poza Rica,,P13
1967TSN,1966,Mexican League,,B00232,Bedolla,Eduardo,0,Poza Rica,,B5
1967TSN,1966,Mexican League,,P10137,Bedolla,,0,Poza Rica,,P5
1967TSN,1966,Mexican League,,B00241,Bernal,Arturo,0,Reynosa,,B37
1967TSN,1966,Mexican League,,F20997,Bernal,,0,Reynosa,,of17
1967TSN,1966,Mexican League,,B00255,Berzunza,William,0,Reynosa,,B123
1967TSN,1966,Mexican League,,F20072,Berzunza,,0,Reynosa,,1b115
1967TSN,1966,Mexican League,,B00264,Betancourt,Simon,0,Jalisco,,B28
1967TSN,1966,Mexican League,,F22134,Betancourt,,0,Jalisco,,p28
1967TSN,1966,Mexican League,,P10145,Betancourt,,0,Jalisco,,P28
1967TSN,1966,Mexican League,,B00278,Blanco,Rosendo,0,Veracruz,,B1
1967TSN,1966,Mexican League,,P10159,Blanco,,0,Veracruz,,P1
1967TSN,1966,Mexican League,,B00286,Brown,Winston,0,Poza Rica,,B42
1967TSN,1966,Mexican League,,F21957,Brown,,0,Poza Rica,,p40
1967TSN,1966,Mexican League,,P10168,Brown,,0,Poza Rica,,P40
1967TSN,1966,Mexican League,,B00293,Bueno,Roberto,0,Monterrey,,B7
1967TSN,1966,Mexican League,,P10176,Bueno,,0,Monterrey,,P7
1967TSN,1966,Mexican League,,B00308,Bustamante,Jesus,1,Veracruz,,B5
1967TSN,1966,Mexican League,,B00308,Bustamante,Jesus,2,Puebla,,B120
1967TSN,1966,Mexican League,,B00308,Bustamante,Jesus,T,,,B125
1967TSN,1966,Mexican League,,F20981,Bustamante,,1,Veracruz,,of
1967TSN,1966,Mexican League,,F20981,Bustamante,,2,Puebla,,of
1967TSN,1966,Mexican League,,F20981,Bustamante,,T,,,of43
1967TSN,1966,Mexican League,,B00319,Cacheux,Arturo,0,Mexico City Tigers,,B5
1967TSN,1966,Mexican League,,B00335,Calleja,Arturo,0,Poza Rica,,B17
1967TSN,1966,Mexican League,,F21589,Calleja,,0,Poza Rica,,p15
1967TSN,1966,Mexican League,,P10184,Calleja,,0,Poza Rica,,P15
1967TSN,1966,Mexican League,,M90060,Calvino,Wilfredo,,Monterrey,,
emilbb,1966,Mexican League,,M90273,Calvino,Wilfredo,,Monterrey,,
1967TSN,1966,Mexican League,,B00324,Calvo,Jorge,0,Mexico City Reds,,B5
1967TSN,1966,Mexican League,,B00343,Camacho,Moises,0,Mexico City Reds,,B134
1967TSN,1966,Mexican League,,B00356,Camacho,Ronaldo,0,Puebla,,B139
1967TSN,1966,Mexican League,,F20051,Camacho,R.,0,Puebla,,1b139
1967TSN,1966,Mexican League,,F20233,Camacho,M.,0,Mexico City Reds,,2b86
1967TSN,1966,Mexican League,,F20745,Camacho,M.,0,Mexico City Reds,,3b51
1967TSN,1966,Mexican League,,B00362,Camarero,Genaro,0,Mexico City Tigers,,B1
1967TSN,1966,Mexican League,,B00370,Camarero,Rolando,0,Veracruz,,B129
1967TSN,1966,Mexican League,,F20401,Camarero,R.,0,Veracruz,,2b43
1967TSN,1966,Mexican League,,F21130,Camarero,R.,0,Veracruz,,of68
1967TSN,1966,Mexican League,,P10192,Camarero,,0,Mexico City Tigers,,P1
1967TSN,1966,Mexican League,,B00381,Cansino,Guadalupe,0,Puebla,,B108
1967TSN,1966,Mexican League,,F21324,Cansino,,0,Puebla,,c104
1967TSN,1966,Mexican League,,B00397,Canul,Guadalupe,0,Mexico City Reds,,B9
1967TSN,1966,Mexican League,,P10202,Canul,,0,Mexico City Reds,,P9
1967TSN,1966,Mexican League,,B00403,Carrasquel,Domingo,0,Veracruz,,B126
