source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1966,Midwest League,,M91136,Bellino,Ray,,Wisconsin Rapids,,,,,
minoraverages/emilbb,1966,Midwest League,,M91120,Dixon,Walt,,Quincy,,,,,
minoraverages/emilbb,1966,Midwest League,,M91112,Dunlop,Harry,,Quad Cities,,,,,
minoraverages/emilbb,1966,Midwest League,,M91157,Klaus,Richard,,Decatur,,,,,
minoraverages/emilbb,1966,Midwest League,,M91161,Oceak,Frank,,Clinton,,,,,
minoraverages/emilbb,1966,Midwest League,,M91148,Philley,Dave,,Waterloo,,,,,
minoraverages/emilbb,1966,Midwest League,,M91087,Plaza,Ron,,Cedar Rapids,,,,,
minoraverages/emilbb,1966,Midwest League,,M91104,Ronning,Al,,Burlington,,,,,
minoraverages/emilbb,1966,Midwest League,,M91173,Valo,Elmer,,Dubuque,,,,,
minoraverages/emilbb,1966,Midwest League,,M91098,Wasiak,Stan,,Fox Cities,,,,,
