source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
1969TSN,1968,Mexican Rookie League,,B00013,Acuna,Alejandro,0,Empalme,,B20
1969TSN,1968,Mexican Rookie League,,F20810,Acuna,,0,Empalme,,of14
1969TSN,1968,Mexican Rookie League,,F21210,Antillo,,0,Caborca,,p16
1969TSN,1968,Mexican Rookie League,,B00021,Antillon,Gustavo,0,Caborca,,B48
1969TSN,1968,Mexican Rookie League,,F20841,Antillon,,0,Caborca,,of28
1969TSN,1968,Mexican Rookie League,,P10019,Antillon,,0,Caborca,,P16
1969TSN,1968,Mexican Rookie League,,B00037,Arano,Juan M.,0,Agua Prieta,,B38
1969TSN,1968,Mexican Rookie League,,F20864,Arano,,0,Agua Prieta,,of29
1969TSN,1968,Mexican Rookie League,,B00045,Arce,Alberto,0,Caborca,,B17
1969TSN,1968,Mexican Rookie League,,F21308,Arce,,0,Caborca,,p17
1969TSN,1968,Mexican Rookie League,,P10024,Arce,,0,Caborca,,P17
1969TSN,1968,Mexican Rookie League,,B00059,Arreguin,Enrique,0,Caborca,,B46
1969TSN,1968,Mexican Rookie League,,F20908,Arreguin,,0,Caborca,,c40
1969TSN,1968,Mexican Rookie League,,B00068,Arvizu,,0,Caborca,,B76
1969TSN,1968,Mexican Rookie League,,F20388,Arvizu,,0,Caborca,,3b24
1969TSN,1968,Mexican Rookie League,,F20829,Arvizu,,0,Caborca,,of47
1969TSN,1968,Mexican Rookie League,,B00076,Avalos,Hector,0,Empalme,,B10
1969TSN,1968,Mexican Rookie League,,F20893,Avalos,,0,Empalme,,c10
1969TSN,1968,Mexican Rookie League,,B00084,Ayala,Francisco,0,Empalme,,B15
1969TSN,1968,Mexican Rookie League,,F21092,Ayala,,0,Empalme,,p15
1969TSN,1968,Mexican Rookie League,,P10035,Ayala,,0,Empalme,,P15
1969TSN,1968,Mexican Rookie League,,B00092,Beltran,Tomas,0,Caborca,,B22
1969TSN,1968,Mexican Rookie League,,F20401,Beltran,,0,Caborca,,3b22
1969TSN,1968,Mexican Rookie League,,B00101,Campos,Carlos,0,Agua Prieta,,B50
1969TSN,1968,Mexican Rookie League,,F20095,Campos,,0,Agua Prieta,,1b29
1969TSN,1968,Mexican Rookie League,,F21278,Campos,,0,Agua Prieta,,p17
1969TSN,1968,Mexican Rookie League,,P10043,Campos,,0,Agua Prieta,,P17
1969TSN,1968,Mexican Rookie League,,B00117,Canevett,Jesus,0,Empalme,,B90
1969TSN,1968,Mexican Rookie League,,F20807,Canevett,,0,Empalme,,of90
1969TSN,1968,Mexican Rookie League,,B00125,Cano,Bernabe,0,Cananea,,B6
1969TSN,1968,Mexican Rookie League,,B00130,Cano,Jose L.,0,Empalme,,B21
1969TSN,1968,Mexican Rookie League,,F21229,Cano,,0,Empalme,,p21
1969TSN,1968,Mexican Rookie League,,F21416,Cano,,0,Cananea,,p6
1969TSN,1968,Mexican Rookie League,,P10056,Cano,B.,0,Cananea,,P6
1969TSN,1968,Mexican Rookie League,,P10062,Cano,J.,0,Empalme,,P21
1969TSN,1968,Mexican Rookie League,,B00149,Carmona,Rogelio,0,Caborca,,B69
1969TSN,1968,Mexican Rookie League,,F20919,Carmona,,0,Caborca,,c66
1969TSN,1968,Mexican Rookie League,,B00158,Casarin,Manuel,0,Agua Prieta,,B62
1969TSN,1968,Mexican Rookie League,,F20128,Casarin,,0,Agua Prieta,,1b2
1969TSN,1968,Mexican Rookie League,,F20962,Casarin,,0,Agua Prieta,,c59
1969TSN,1968,Mexican Rookie League,,B00163,Castillo,Carlos,0,Empalme,,B29
1969TSN,1968,Mexican Rookie League,,B00174,Castillo,Lauro,0,Cananea,,B63
1969TSN,1968,Mexican Rookie League,,F20222,Castillo,,0,Empalme,,2b21
1969TSN,1968,Mexican Rookie League,,F20474,Castillo,,0,Empalme,,3b2
1969TSN,1968,Mexican Rookie League,,F20759,Castillo,,0,Cananea,,of49
1969TSN,1968,Mexican Rookie League,,B00182,Castro,Jose L.,0,Empalme,,B17
1969TSN,1968,Mexican Rookie League,,F21264,Castro,,0,Empalme,,p17
1969TSN,1968,Mexican Rookie League,,P10070,Castro,,0,Empalme,,P17
1969TSN,1968,Mexican Rookie League,,B00196,Cedillo,Genaro,0,Empalme,,B89
1969TSN,1968,Mexican Rookie League,,F20051,Cedillo,,0,Empalme,,1b27
1969TSN,1968,Mexican Rookie League,,F20279,Cedillo,,0,Empalme,,2b1
1969TSN,1968,Mexican Rookie League,,F20430,Cedillo,,0,Empalme,,3b2
1969TSN,1968,Mexican Rookie League,,F20657,Cedillo,,0,Empalme,,ss1
1969TSN,1968,Mexican Rookie League,,F20745,Cedillo,,0,Empalme,,of58
1969TSN,1968,Mexican Rookie League,,B00207,Celestino,Victor,0,Agua Prieta,,B24
1969TSN,1968,Mexican Rookie League,,F21286,Celestino,,0,Agua Prieta,,p24
1969TSN,1968,Mexican Rookie League,,P10081,Celestino,,0,Agua Prieta,,P24
1969TSN,1968,Mexican Rookie League,,B00210,Chavez,Jesus,0,Agua Prieta,,B3
1969TSN,1968,Mexican Rookie League,,B00229,Chavez,Miguel A.,0,Agua Prieta,,B33
1969TSN,1968,Mexican Rookie League,,F20287,Chavez,J.,0,Agua Prieta,,2b1
1969TSN,1968,Mexican Rookie League,,F20334,Chavez,M.,0,Agua Prieta,,2b1
1969TSN,1968,Mexican Rookie League,,F20583,Chavez,J.,0,Agua Prieta,,ss2
1969TSN,1968,Mexican Rookie League,,F21013,Chavez,M.,0,Agua Prieta,,c5
1969TSN,1968,Mexican Rookie League,,F21207,Chavez,M.,0,Agua Prieta,,p27
1969TSN,1968,Mexican Rookie League,,P10097,Chavez,M.,0,Agua Prieta,,P27
1969TSN,1968,Mexican Rookie League,,B00232,Cota,Sergio,0,Empalme,,B74
1969TSN,1968,Mexican Rookie League,,F20943,Cota,,0,Empalme,,c73
1969TSN,1968,Mexican Rookie League,,B00241,Cruz,Juan A.,0,Agua Prieta,,B58
1969TSN,1968,Mexican Rookie League,,F20038,Cruz,,0,Agua Prieta,,1b22
1969TSN,1968,Mexican Rookie League,,F20240,Cruz,,0,Agua Prieta,,2b10
1969TSN,1968,Mexican Rookie League,,F21232,Cruz,,0,Agua Prieta,,p21
1969TSN,1968,Mexican Rookie League,,P10100,Cruz,,0,Agua Prieta,,P21
1969TSN,1968,Mexican Rookie League,,B00255,Davila,Luis,0,Cananea,,B68
1969TSN,1968,Mexican Rookie League,,F20046,Davila,,0,Cananea,,1b27
1969TSN,1968,Mexican Rookie League,,F20832,Davila,,0,Cananea,,of37
1969TSN,1968,Mexican Rookie League,,B00264,Diaz,Hector,0,Caborca,,B19
1969TSN,1968,Mexican Rookie League,,B00278,Diaz,Oscar,0,Cananea,,B6
1969TSN,1968,Mexican Rookie League,,B00286,Diaz,Rodolfo,0,Agua Prieta,,B16
1969TSN,1968,Mexican Rookie League,,F20886,Diaz,,0,Cananea,,of5
1969TSN,1968,Mexican Rookie League,,F21117,Diaz,,0,Caborca,,p16
1969TSN,1968,Mexican Rookie League,,F21174,Diaz,,0,Agua Prieta,,p16
1969TSN,1968,Mexican Rookie League,,P10113,Diaz,H.,0,Caborca,,P16
1969TSN,1968,Mexican Rookie League,,P10121,Diaz,R.,0,Agua Prieta,,P16
1969TSN,1968,Mexican Rookie League,,B00293,Dummer,Jorge,0,Cananea,,B68
1969TSN,1968,Mexican Rookie League,,F20612,Dummer,,0,Cananea,,ss7
1969TSN,1968,Mexican Rookie League,,F20673,Dummer,,0,Cananea,,of47
1969TSN,1968,Mexican Rookie League,,B00308,Duran,Gerardo,0,Empalme,,B23
1969TSN,1968,Mexican Rookie League,,F21343,Duran,,0,Empalme,,p22
1969TSN,1968,Mexican Rookie League,,P10137,Duran,,0,Empalme,,P22
1969TSN,1968,Mexican Rookie League,,B00319,Espinoza,Jose,0,Empalme,,B77
1969TSN,1968,Mexican Rookie League,,F20072,Espinoza,,0,Empalme,,1b71
1969TSN,1968,Mexican Rookie League,,B00324,Espitia,Francisco,0,Agua Prieta,,B14
1969TSN,1968,Mexican Rookie League,,F21335,Espitia,,0,Agua Prieta,,p14
1969TSN,1968,Mexican Rookie League,,P10145,Espitia,,0,Agua Prieta,,P14
1969TSN,1968,Mexican Rookie League,,F20526,Figuero,,0,Agua Prieta,,ss46
1969TSN,1968,Mexican Rookie League,,B00335,Figueroa,Juan,0,Agua Prieta,,B59
1969TSN,1968,Mexican Rookie League,,F20449,Figueroa,,0,Agua Prieta,,3b5
1969TSN,1968,Mexican Rookie League,,B00343,Fuentes,Martin,0,Cananea,,B33
1969TSN,1968,Mexican Rookie League,,F21255,Fuentes,,0,Cananea,,p33
1969TSN,1968,Mexican Rookie League,,P10159,Fuentes,,0,Cananea,,P33
1969TSN,1968,Mexican Rookie League,,B00356,Gallegos,Leonardo,0,Cananea,,B77
1969TSN,1968,Mexican Rookie League,,F20699,Gallegos,,0,Cananea,,of77
1969TSN,1968,Mexican Rookie League,,B00362,Garcia,Carlos,0,Caborca,,B2
1969TSN,1968,Mexican Rookie League,,B00370,Garcia,Fernando,0,Agua Prieta,,B38
1969TSN,1968,Mexican Rookie League,,B00381,Garcia,Javier,0,Cananea,,B62
1969TSN,1968,Mexican Rookie League,,B00397,Garcia,Jesus,0,Caborca,,B24
1969TSN,1968,Mexican Rookie League,,B00403,Garcia,Jesus,0,Cananea,,B91
1969TSN,1968,Mexican Rookie League,,F20189,Garcia,J.,0,Caborca,,2b23
1969TSN,1968,Mexican Rookie League,,F20206,Garcia,Jesus,0,Cananea,,2b91
1969TSN,1968,Mexican Rookie League,,F20560,Garcia,J.,0,Caborca,,ss1
