source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,S_FIRST,S_LAST,B_G,P_G,pos
minoraverages/emilbb,1979,Mexican League,,M90400,Alcaraz,Luis,,Leon,,,,,
minoraverages/emilbb,1979,Mexican League,,M90299,Camacho,Moises,,Union Laguna,,,,,
minoraverages/emilbb,1979,Mexican League,,M90468,Camacho,Ron,,Veracruz,,,,,
minoraverages/emilbb,1979,Mexican League,,M90484,Camarero,Rolando,,Veracruz,,,,,
minoraverages/emilbb,1979,Mexican League,,M90506,Cano,Raul,,Tabasco,,,,,
minoraverages/emilbb,1979,Mexican League,,M90459,Cerda,Benjamin,,Durango,,,,,
minoraverages/emilbb,1979,Mexican League,,M90317,Contreras,Mauro,,Chihuahua,,,,,
minoraverages/emilbb,1979,Mexican League,,M90396,Elizalde,Eusebio,,Leon,,,,,
minoraverages/emilbb,1979,Mexican League,,M90301,Fabela,Victor,,Coahuila,,,,,
minoraverages/emilbb,1979,Mexican League,,M90421,Fabela,Jaime,,Aguascalientes,,,,,
minoraverages/emilbb,1979,Mexican League,,M90413,Fitch,Jorge,,Puebla,,,,,
minoraverages/emilbb,1979,Mexican League,,M90445,Garcia,Jose Luis,,Mexico City Tigers,,,,,
minoraverages/emilbb,1979,Mexican League,,M90522,Gaspar,Miguel,,Coatzacoalcos,,,,,
minoraverages/emilbb,1979,Mexican League,,M90285,Guerrero,Jose,,Ciudad Juarez,,,,,
minoraverages/emilbb,1979,Mexican League,,M90330,Gutierrez,Gerardo,,Nuevo Laredo,,,,,
minoraverages/emilbb,1979,Mexican League,,M90358,Leal,Felipe,,Tampico,,,,,
minoraverages/emilbb,1979,Mexican League,,M90492,Llenas,Winston,,Cordoba,,,,,
minoraverages/emilbb,1979,Mexican League,,M90273,Luque,Gregorio,,Saltillo,,,,,
minoraverages/emilbb,1979,Mexican League,,M90325,McRae,Norman,,Chihuahua,,,,,
minoraverages/emilbb,1979,Mexican League,,M90540,Paz,Carlos,,Yucatan,,,,,
minoraverages/emilbb,1979,Mexican League,,M90511,Reyes,Ben,,Mexico City Reds,,,,,
minoraverages/emilbb,1979,Mexican League,,M90437,Rivera,Domingo,,Mexico City Tigers,,,,,
minoraverages/emilbb,1979,Mexican League,,M90533,Rodriguez,Ellie,,Coatzacoalcos,,,,,
minoraverages/emilbb,1979,Mexican League,,M90374,Sosa,Emilio,,Poza Rica,,,,,
minoraverages/emilbb,1979,Mexican League,,M90476,Sotelo,Miguel,,Veracruz,,,,,
minoraverages/emilbb,1979,Mexican League,,M90363,Trevino,Carlos,,Tampico,,,,,
minoraverages/emilbb,1979,Mexican League,,M90382,Valenzuela,Ben,,Leon,,,,,
minoraverages/emilbb,1979,Mexican League,,M90349,de Alejandro,Marte,,Monterrey,,,,,
