source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
emilbb,1979,Pacific Coast League,M90642,Bridges,Rocky,,Phoenix,,,
emilbb,1979,Pacific Coast League,M90603,Crandall,Del,,Albuquerque,,,
emilbb,1979,Pacific Coast League,M90627,Donnelly,Rich,,Tucson,,,
emilbb,1979,Pacific Coast League,M90565,Dusan,Gene,,Tacoma,,,
emilbb,1979,Pacific Coast League,M90554,Felske,John,,Vancouver,,,
emilbb,1979,Pacific Coast League,M90598,Lachemann,Rene,,Spokane,,,
emilbb,1979,Pacific Coast League,M90579,Lipon,John,,Portland,,,
emilbb,1979,Pacific Coast League,M90634,Pagan,Jose,,Ogden,,,
emilbb,1979,Pacific Coast League,M90587,Phillips,Dick,,Hawaii,,,
emilbb,1979,Pacific Coast League,M90616,Williams,Jimy,,Salt Lake City,,,
