source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
emilbb,1980,Texas League,M90862,Enright,George,,Midland,,,
emilbb,1980,Texas League,M90819,Gilbert,Andy,,Shreveport,,,
emilbb,1980,Texas League,M90843,Hundley,Randy,,Midland,,,
emilbb,1980,Texas League,M90835,LeJohn,Don Sr.,,San Antonio,,,
emilbb,1980,Texas League,M90856,Moss,Les,,Midland,,,
emilbb,1980,Texas League,M90789,Ruberto,Sonny,,Arkansas,,,
emilbb,1980,Texas League,M90870,Saul,Jim,,El Paso,,,
emilbb,1980,Texas League,M90790,Terwilliger,Wayne,,Tulsa,,,
emilbb,1980,Texas League,M90824,Watt,Eddie,,Amarillo,,,
emilbb,1980,Texas League,M90808,Wellman,Bob,,Jackson,,,
