source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/emilbb,1985,Gulf Coast League,alvarez-dod,M91678,Alvarez,Jose,,Dodgers,,
minoraverages/emilbb,1985,Gulf Coast League,gonzalez-bra,M91686,Gonzalez,Pedro,,Braves,,
minoraverages/emilbb,1985,Gulf Coast League,huyke,M91701,Huyke,Woody,,Pirates,,
minoraverages/emilbb,1985,Gulf Coast League,jaramillo,M91664,Jaramillo,Rudy,,Rangers,,
minoraverages/emilbb,1985,Gulf Coast League,jones-roy,M91730,Jones,Joe,,Royals,,
minoraverages/emilbb,1985,Gulf Coast League,linares,M91758,Linares,Julio,,Astros,,
minoraverages/emilbb,1985,Gulf Coast League,martin-ws,M91725,Martin,J. C.,,White Sox,,
minoraverages/emilbb,1985,Gulf Coast League,mejias,M91749,Mejias,Sam,,Reds,,
minoraverages/emilbb,1985,Gulf Coast League,tosca,M91717,Tosca,Carlos,,Yankees,,
minoraverages/emilbb,1985,Gulf Coast League,wheeler,M91693,Wheeler,"Ralph ""Rocket""",,Blue Jays,,
