source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
emilbb,1985,South Atlantic League,M91508,Bailey,Buddy,,Sumter,,,bailey
emilbb,1985,South Atlantic League,M91495,Camilli,Doug,,Greensboro,,,camilli.d
emilbb,1985,South Atlantic League,M91519,DeArmas,Rollie,,Spartanburg,,,dearmas
emilbb,1985,South Atlantic League,M91543,Harrelson,Bud,,Columbia,,,harrelson
emilbb,1985,South Atlantic League,M91480,Hatfield,Fred,,Asheville,,,hatfield
emilbb,1985,South Atlantic League,M91524,McBee,Bob,,Gastonia,,,mcbee
emilbb,1985,South Atlantic League,M91556,Miller,Rich,,Columbia,,,miller-col
emilbb,1985,South Atlantic League,M91570,Pitts,Gaylen,,Savannah,,,pitts
emilbb,1985,South Atlantic League,M91581,Quade,Mike,,Macon,,,quade
emilbb,1985,South Atlantic League,M91562,Skaalen,Jim,,Charleston,,,skaalen
emilbb,1985,South Atlantic League,M91535,Torres,Hector,,Florence,,,torres
