source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
emilbb,1987,Gulf Coast League,M91664,Alvarez,Jose,,Dodgers,,,
emilbb,1987,Gulf Coast League,M91725,Dillard,Steve,,White Sox,,,dillard
emilbb,1987,Gulf Coast League,M91686,Ferreira,Fred,,Yankees,,,ferreira
emilbb,1987,Gulf Coast League,M91701,Gonzalez,Pedro,,Braves,,,
emilbb,1987,Gulf Coast League,M91758,Hough,Stan,,Rangers,,,hough
emilbb,1987,Gulf Coast League,M91678,Huyke,Woody,,Pirates,,,huyke
emilbb,1987,Gulf Coast League,M91730,Linares,Julio,,Astros,,,linares
emilbb,1987,Gulf Coast League,M91693,McIntyre,Jethro,,Expos,,,mcintyre
emilbb,1987,Gulf Coast League,M91749,Mejias,Sam,,Reds,,,mejias
emilbb,1987,Gulf Coast League,M91717,Silverio,Luis,,Royals,,,silverio
