source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
emilbb,1988,Florida State League,,M91120,Alou,Felipe,,West Palm Beach,,
emilbb,1988,Florida State League,ault,M91185,Ault,Doug,,Dunedin,,
emilbb,1988,Florida State League,bialas,M91173,Bialas,Dave,,St. Petersburg,,
emilbb,1988,Florida State League,bodie,M91200,Bodie,Keith,,Osceola,,
emilbb,1988,Florida State League,,M91237,Camilli,Doug,,Winter Haven,,
emilbb,1988,Florida State League,foley,M91157,Foley,Marv,,Tampa,,
emilbb,1988,Florida State League,hamner,M91199,Hamner,Granny,,Clearwater,,
emilbb,1988,Florida State League,hurdle,M91112,Hurdle,Clint,,St. Lucie,,
emilbb,1988,Florida State League,,M91161,Jones,Bobby,,Charlotte,,
emilbb,1988,Florida State League,lipon,M91221,Lipon,John,,Lakeland,,
emilbb,1988,Florida State League,,M91148,Santiago,Jose,,Miami,,
emilbb,1988,Florida State League,shoemaker,M91104,Shoemaker,John,,Vero Beach ,,
emilbb,1988,Florida State League,showalter,M91136,Showalter,Buck,,Fort Lauderdale,,
emilbb,1988,Florida State League,silverio,M91213,Silverio,Luis,,Baseball City,,
