source,league.year,league.name,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos,ident
emilbb,1989,Southern League,M90598,Bailey,Buddy,,Greenville,,,
emilbb,1989,Southern League,M90627,Bannister,Alan,,Jacksonville,,,
emilbb,1989,Southern League,M90634,Barry,Ken,,Birmingham,,,
emilbb,1989,Southern League,M90675,Cox,Jeff,,Memphis,,,
emilbb,1989,Southern League,M90616,Essian,Jim,,Charlotte,,,
emilbb,1989,Southern League,M90650,Foote,Barry,,Knoxville,,,
emilbb,1989,Southern League,M90587,Gardenhire,Ron,,Orlando,,,
emilbb,1989,Southern League,M90642,Newman,Jeff,,Huntsville,,,
emilbb,1989,Southern League,M90669,Tracy,Jim,,Chattanooga,,,
emilbb,1989,Southern League,M90603,Wiedenbauer,Tom,,Columbus,,,
