source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/emilbb,1992,Southern League,,M90650,Foley,Marv,,Charlotte,,
minoraverages/emilbb,1992,Southern League,,M90731,Franklin,Tony,,Birmingham,,
minoraverages/emilbb,1992,Southern League,,M90669,Hartsfield,Bob,,Jacksonville,,
minoraverages/emilbb,1992,Southern League,,M90744,Iorg,Garth,,Knoxville,,
minoraverages/emilbb,1992,Southern League,,M90642,Little,Grady,,Greenville,,
minoraverages/emilbb,1992,Southern League,,M90691,Miley,Dave,,Chattanooga,,
minoraverages/emilbb,1992,Southern League,,M90702,Oester,Ron,,Chattanooga,,
minoraverages/emilbb,1992,Southern League,,M90715,Parsons,Casey,,Huntsville,,
minoraverages/emilbb,1992,Southern League,,M90728,Poldberg,Brian,,Memphis,,
minoraverages/emilbb,1992,Southern League,,M90675,Roof,Phil,,Orlando,,
minoraverages/emilbb,1992,Southern League,,M90688,Werner,Don,,Carolina,,
