source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,span,pos
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91438,Acta,Manny,,Auburn,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91423,Amaro,Ruben Sr.,,Williamsport,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91371,Davis,Doug,,Pittsfield,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91480,Fields,Bruce,,Jamestown,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91383,Gardner,Billy Jr.,,Lowell,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91360,Higgins,Kevin,,Vermont,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91414,Kubiak,Ted,,Watertown,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91451,McFarland,Steve,,Utica,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91409,Melvin,Scott,,New Jersey,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91472,Rayford,Floyd,,Batavia,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91495,Richardson,Jeff,,Erie,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91446,Tuck,Gary,,Oneonta,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91467,Wheeler,"Ralph ""Rocket""",,St. Catharines,,
minoraverages/emilbb,1996,New York-Pennsylvania League,,M91394,Wills,Bump,,Hudson Valley,,
