league.key,league.year,league.name.full,league.name.short
1960-ALFL,1960,Alabama-Florida League,Alabama-Florida
1960-AA,1960,American Association,American Association
1960-AL,1960,American League,American
1960-APPY,1960,Appalachian League,Appalachian
1960-AZIL,1960,Arizona Instructional League,Arizona Instructional
1960-CALL,1960,California League,California
1960-CARL,1960,Carolina League,Carolina
1960-CUBL,1960,Cuban League,Cuban
1960-CUPL,1960,Cuban Pro. League,Cuban Pro.
1960-CUWL,1960,Cuban Winter League,Cuban Winter
1960-DOWL,1960,Dominican Winter League,Dominican Winter
1960-EL,1960,Eastern League,Eastern
1960-FLIL,1960,Florida Instructional League,Florida Instructional
1960-FLOR,1960,Florida State League,Florida State
1960-FLWL,1960,Florida Winter League,Florida Winter
1960-IIIL,1960,Illinois-Indiana-Iowa League,Illinois-Indiana-Iowa
1960-IL,1960,International League,International
1960-JPCL,1960,Japan Central League,Japan Central
1960-JPPL,1960,Japan Pacific League,Japan Pacific
1960-MXCL,1960,Mexican Center League,Mexican Center
1960-MEX,1960,Mexican League,Mexican
1960-MXPW,1960,Mexican Pacific Winter League,Mexican Pacific Winter
1960-MIDW,1960,Midwest League,Midwest
1960-NL,1960,National League,National
1960-NAL,1960,Negro American League,Negro American
1960-NYPL,1960,New York-Pennsylvania League,New York-Pennsylvania
1960-NORL,1960,Northern League,Northern
1960-NORW,1960,Northwest League,Northwest
1960-OCCL,1960,Occidental Winter League,Occidental Winter
1960-PCL,1960,Pacific Coast League,Pacific Coast
1960-PAMA,1960,Pan American Association,Pan American Association
1960-PNWL,1960,Panama Winter League,Panama Winter
1960-PENW,1960,Peninsula Winter League,Peninsula Winter
1960-PION,1960,Pioneer League,Pioneer
1960-PLDN,1960,Pro. League De Nicaragua,Pro. De Nicaragua
1960-PLDP,1960,Pro. League De Panama,Pro. De Panama
1960-PRWL,1960,Puerto Rican Winter League,Puerto Rican Winter
1960-QUPL,1960,Quebec Provincial League,Quebec Provincial
1960-RALG,1960,Roberto Avila League,Roberto Avila
1960-SOWL,1960,Sonora Winter League,Sonora Winter
1960-SOPH,1960,Sophomore League,Sophomore
1960-SALL,1960,South Atlantic League,South Atlantic
1960-SOUA,1960,Southern Association,Southern Association
1960-TL,1960,Texas League,Texas
1960-VEWL,1960,Venezuelan Winter League,Venezuelan Winter
1960-WCAN,1960,Western Canada League,Western Canada
1960-WCAR,1960,Western Carolina League,Western Carolina
